sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;36.64;36.66;37.00;37.02;36.64;36.78;36.7754;"345851";"12,718,648.93";"1596"
2026-01-12;36.90;36.92;37.20;37.24;36.88;36.98;36.9995;"202239";"7,482,643.4";"1365"
2026-01-09;37.00;37.04;36.90;37.26;36.82;37.12;37.0511;"333216";"12,345,907.91";"1989"
2026-01-08;36.90;36.92;36.92;37.00;36.60;36.90;36.8598;"460035";"16,956,920.14";"2483"
2026-01-07;36.84;36.88;37.02;37.20;36.70;36.86;36.9147;"938354";"34,639,154.46";"4469"
2026-01-05;37.18;37.20;37.12;37.30;36.90;37.30;37.1896;"373947";"13,906,748.67";"1994"
2026-01-02;37.14;37.18;37.76;37.90;37.12;37.12;37.3014;"346765";"12,935,960.25";"2294"
2025-12-30;37.62;37.66;37.52;37.74;37.48;37.74;37.6754;"330198";"12,440,316";"1754"
2025-12-29;37.48;37.50;37.04;37.62;37.02;37.50;37.4276;"255326";"9,556,222.1";"1626"
2025-12-23;37.14;37.16;37.00;37.28;36.98;37.04;37.0979;"304186";"11,284,671.62";"1847"
2025-12-22;36.98;37.02;36.90;37.02;36.62;36.94;36.8783;"300247";"11,072,552.57";"1968"
2025-12-19;36.74;36.78;37.30;37.38;36.46;36.94;36.9177;"1354820";"50,015,926.09";"4595"
2025-12-18;37.42;37.44;37.36;37.58;37.28;37.44;37.4341;"501034";"18,755,785.68";"1872"
2025-12-17;37.40;37.44;37.66;37.74;37.12;37.36;37.39;"649331";"24,283,780.7";"2768"
2025-12-16;37.62;37.66;37.78;37.86;37.60;37.62;37.6746;"521437";"19,645,249.54";"2111"
2025-12-15;37.46;37.50;37.30;37.62;37.22;37.52;37.4858;"425872";"15,964,165.39";"2028"
2025-12-12;37.30;37.32;37.70;37.76;37.24;37.30;37.3545;"475188";"17,750,582.89";"2178"
2025-12-11;37.68;37.70;37.58;37.76;37.42;37.66;37.6499;"926079";"34,858,679.93";"2387"
2025-12-10;37.48;37.50;37.14;37.56;37.06;37.56;37.4719;"399994";"14,987,095.18";"1891"
