sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;18.975;18.98;19.085;19.175;18.77;19.01;18.9758;"1102683";"20,921,734.61";"2884"
2026-01-12;18.96;18.975;18.88;19.07;18.70;19.07;19.0135;"967933";"18,403,038.67";"2069"
2026-01-09;18.865;18.88;18.81;18.93;18.55;18.885;18.8165;"793171";"14,924,079.17";"2664"
2026-01-08;18.75;18.77;19.17;19.22;18.725;18.775;18.8264;"1024297";"19,284,794.78";"2353"
2026-01-07;19.27;19.295;18.635;19.405;18.605;19.16;19.137;"2033322";"38,911,244.09";"4566"
2026-01-05;18.61;18.625;18.665;18.70;18.22;18.635;18.5903;"862072";"16,024,052.26";"2247"
2026-01-02;18.56;18.57;18.20;18.64;18.19;18.50;18.478;"792126";"14,636,971.4";"1943"
2025-12-30;18.165;18.18;18.10;18.24;18.02;18.18;18.1592;"689306";"12,517,198.13";"1909"
2025-12-29;18.07;18.085;18.065;18.105;17.92;18.105;18.0816;"663990";"12,005,866.94";"1907"
2025-12-23;18.02;18.04;17.95;18.08;17.90;18.065;18.0406;"634775";"11,450,955.98";"1462"
2025-12-22;17.90;17.925;17.97;17.995;17.79;17.995;17.9572;"843968";"15,154,960.41";"2241"
2025-12-19;18.085;18.105;17.89;18.105;17.77;18.055;18.039;"2720208";"49,067,761.03";"2689"
2025-12-18;17.855;17.865;17.655;17.96;17.545;17.885;17.8599;"1302998";"23,274,685.14";"2357"
2025-12-17;17.65;17.665;18.055;18.235;17.635;17.655;17.7399;"1231809";"21,854,598.53";"2750"
2025-12-16;18.045;18.05;18.24;18.32;18.00;18.055;18.0793;"978694";"17,695,071.02";"2157"
2025-12-15;18.335;18.35;18.00;18.46;17.97;18.285;18.2802;"1165245";"21,300,505.34";"2381"
2025-12-12;18.03;18.05;18.00;18.15;17.895;17.97;17.9904;"1272919";"22,901,173.31";"2542"
2025-12-11;18.095;18.115;17.78;18.23;17.62;18.11;18.069;"1180213";"21,322,521.11";"2638"
2025-12-10;17.885;17.90;17.83;18.16;17.82;17.855;17.948;"1121553";"20,149,810.23";"2565"
2025-12-09;17.75;17.765;17.865;17.935;17.70;17.83;17.8311;"1203060";"21,452,009.77";"1867"
2025-12-08;17.74;17.75;17.50;17.865;17.495;17.865;17.8208;"1403254";"25,002,217.98";"1954"
2025-12-05;17.485;17.50;17.585;17.61;17.35;17.50;17.4817;"958297";"16,751,527.73";"2113"
2025-12-04;17.71;17.725;17.75;17.805;17.50;17.66;17.673;"779923";"13,784,475.33";"2378"
2025-12-03;17.74;17.755;17.70;17.95;17.70;17.725;17.752;"786337";"13,959,699.87";"1840"
2025-12-02;17.70;17.715;17.64;17.96;17.565;17.67;17.7011;"1394142";"24,686,944.03";"3017"
2025-12-01;17.615;17.625;17.66;17.90;17.585;17.59;17.6332;"1423201";"25,100,054.11";"2355"
2025-11-28;17.67;17.685;17.675;17.715;17.525;17.695;17.6748;"1169027";"20,661,700.43";"2142"
2025-11-27;17.665;17.675;17.71;17.815;17.64;17.675;17.7044;"565517";"10,012,656.41";"1917"
2025-11-26;17.71;17.735;17.355;17.805;17.28;17.675;17.6166;"1428866";"25,169,857.14";"3588"
2025-11-25;17.35;17.37;17.75;17.795;16.96;17.355;17.3082;"4307536";"74,567,387.5";"9381"
2025-11-24;18.36;18.365;18.24;18.435;17.99;18.365;18.34;"2407217";"44,147,524.08";"3709"
2025-11-21;18.155;18.18;18.71;18.855;18.07;18.195;18.2915;"1392610";"25,474,784.32";"4139"
2025-11-20;18.935;18.975;18.675;19.365;18.675;18.925;18.9849;"1237883";"23,509,195.47";"3451"
2025-11-19;18.585;18.605;18.58;18.835;18.50;18.525;18.574;"1322798";"24,573,679.76";"2801"
2025-11-18;18.535;18.55;18.55;18.735;18.505;18.655;18.6468;"1505589";"28,075,202.29";"2855"
2025-11-17;19.08;19.09;19.05;19.185;18.985;19.00;19.0193;"1070256";"20,357,222.37";"2351"
2025-11-14;19.13;19.14;19.205;19.315;18.78;19.05;19.0479;"1346110";"25,634,524.31";"3995"
2025-11-13;19.61;19.635;19.60;19.91;19.525;19.525;19.5737;"998181";"19,543,303.62";"2916"
2025-11-12;19.59;19.60;19.58;19.69;19.13;19.605;19.4337;"1372658";"26,673,920.5";"4128"
2025-11-11;19.595;19.60;19.675;19.825;19.445;19.55;19.5915;"1798492";"35,237,661.76";"3290"
2025-11-10;19.665;19.675;19.65;19.785;19.42;19.675;19.6405;"1275723";"25,055,802.2";"3313"
2025-11-07;19.695;19.725;20.00;20.19;19.515;19.615;19.6759;"1722774";"33,903,755.92";"3884"
2025-11-06;20.02;20.03;19.86;20.08;19.73;19.995;19.9514;"1485230";"29,628,497.32";"3683"
2025-11-05;19.95;19.97;20.11;20.17;19.86;19.86;19.938;"1658652";"33,072,947.91";"4258"
2025-11-04;20.27;20.29;20.11;20.38;19.82;20.21;20.1769;"1902922";"38,391,165.77";"4624"
2025-11-03;20.11;20.13;19.30;20.21;19.245;20.19;20.0195;"2727941";"54,600,458.88";"7790"
2025-10-31;19.40;19.41;19.76;19.835;19.275;19.34;19.4089;"2968765";"57,621,335.51";"6768"
2025-10-30;19.785;19.80;18.66;19.865;18.65;19.865;19.5817;"3533001";"69,107,526.65";"7856"
2025-10-29;18.66;18.68;17.40;18.85;17.16;18.73;18.5219;"4723472";"87,495,539.36";"12306"
2025-10-28;17.815;17.83;17.72;17.925;17.515;17.85;17.7857;"1658570";"29,492,273.32";"3887"
2025-10-27;17.825;17.84;17.80;17.86;17.58;17.765;17.7537;"1458458";"25,894,700.98";"3311"
2025-10-24;17.86;17.875;17.915;17.915;17.445;17.80;17.7672;"1000436";"17,773,829.39";"3046"
2025-10-23;17.935;17.95;17.65;18.005;17.65;18.005;17.942;"1154425";"20,706,084.41";"2905"
2025-10-22;17.57;17.575;17.60;17.705;17.505;17.67;17.6508;"868515";"15,327,007.2";"1864"
2025-10-21;17.645;17.66;17.785;17.91;17.50;17.705;17.7215;"1007374";"17,850,207.29";"2208"
2025-10-20;17.755;17.77;17.61;17.80;17.475;17.80;17.7502;"1299650";"23,062,772.31";"2236"
2025-10-17;17.61;17.625;17.80;17.80;17.265;17.645;17.583;"1573544";"27,663,792.96";"3326"
2025-10-16;17.785;17.80;17.21;17.845;17.205;17.845;17.6993;"1990371";"35,215,062.32";"3123"
2025-10-15;17.20;17.21;16.85;17.215;16.845;17.19;17.1261;"1370748";"23,473,364.34";"2962"
2025-10-14;16.745;16.76;16.585;16.83;16.585;16.83;16.7998;"1329364";"22,321,676.46";"2208"
2025-10-13;16.505;16.52;16.48;16.625;16.325;16.625;16.5841;"1033162";"17,127,788.23";"2395"
2025-10-10;16.50;16.51;16.25;16.53;16.235;16.515;16.4853;"1261737";"20,796,332.26";"2243"
2025-10-09;16.24;16.245;16.21;16.37;16.20;16.25;16.2606;"657018";"10,684,516.53";"1475"
2025-10-08;16.20;16.21;16.175;16.30;16.105;16.215;16.2118;"641918";"10,406,692.78";"1731"
2025-10-07;16.235;16.25;16.39;16.46;16.175;16.175;16.2208;"1304859";"21,168,508.5";"2606"
2025-10-06;16.42;16.43;16.265;16.425;16.135;16.39;16.3437;"855158";"13,976,126.34";"1536"
2025-10-03;16.265;16.28;16.15;16.315;16.02;16.315;16.2641;"783487";"12,741,262.89";"1637"
2025-10-02;16.115;16.125;16.25;16.25;15.97;16.15;16.1119;"1744417";"28,105,109.52";"1800"
2025-10-01;16.25;16.255;16.10;16.30;16.06;16.30;16.2691;"1205286";"19,604,837.27";"2002"
2025-09-30;16.105;16.125;16.035;16.115;15.765;16.105;16.0569;"1402117";"22,495,718.11";"2642"
2025-09-29;15.93;15.95;15.64;16.05;15.64;16.05;15.9923;"1883724";"30,119,184.2";"2725"
2025-09-26;15.605;15.615;15.47;15.675;15.46;15.555;15.5621;"641135";"9,978,491.96";"1465"
2025-09-25;15.50;15.505;15.475;15.62;15.425;15.47;15.4873;"904802";"14,017,029.27";"1646"
2025-09-24;15.49;15.50;15.495;15.565;15.39;15.475;15.4735;"739984";"11,450,322.02";"1632"
2025-09-23;15.455;15.46;15.295;15.495;15.29;15.475;15.4573;"841352";"13,001,839.54";"1590"
2025-09-22;15.25;15.26;15.115;15.28;15.08;15.24;15.2346;"527245";"8,032,442.86";"1372"
2025-09-19;15.11;15.125;15.295;15.355;15.02;15.125;15.1283;"2742925";"41,502,875.77";"3917"
2025-09-18;15.365;15.375;15.465;15.53;15.215;15.335;15.3338;"1042478";"15,984,659.61";"1859"
2025-09-17;15.455;15.465;15.40;15.745;15.40;15.465;15.5181;"1117634";"17,348,766.32";"2453"
2025-09-16;15.425;15.435;15.47;15.48;15.36;15.415;15.4178;"1027027";"15,834,820.13";"2154"
2025-09-15;15.42;15.44;15.32;15.47;15.245;15.47;15.4112;"1291028";"19,895,949.77";"2730"
2025-09-12;15.32;15.33;15.095;15.325;15.095;15.28;15.2603;"1446676";"22,075,897.12";"2689"
2025-09-11;15.14;15.15;15.165;15.26;15.095;15.095;15.1165;"742189";"11,221,072.3";"1427"
2025-09-10;15.19;15.20;14.95;15.205;14.91;15.165;15.1337;"831314";"12,580,420.36";"2300"
2025-09-09;14.905;14.915;14.805;14.94;14.805;14.915;14.903;"876110";"13,056,538.5";"1890"
2025-09-08;14.78;14.79;14.78;14.85;14.725;14.805;14.7991;"1070248";"15,837,478.17";"1777"
2025-09-05;14.74;14.745;14.685;14.805;14.66;14.74;14.7396;"928113";"13,680,052.38";"1809"
2025-09-04;14.67;14.685;14.585;14.895;14.585;14.65;14.6752;"898060";"13,183,213.58";"1988"
2025-09-03;14.615;14.62;14.535;14.655;14.525;14.655;14.631;"919900";"13,457,392.76";"2050"
2025-09-02;14.515;14.525;14.685;14.715;14.40;14.535;14.531;"1174092";"17,061,007.88";"3094"
2025-09-01;14.76;14.77;14.79;14.885;14.73;14.73;14.761;"864243";"12,757,840.35";"1717"
2025-08-29;14.76;14.77;14.775;14.84;14.715;14.79;14.7822;"1510569";"22,328,167.25";"2426"
2025-08-28;14.785;14.79;14.97;14.985;14.73;14.805;14.8096;"922917";"13,668,477.15";"2313"
2025-08-27;15.00;15.015;15.03;15.165;14.97;14.97;14.9953;"674215";"10,110,638.16";"1459"
2025-08-26;15.05;15.06;15.13;15.23;15.04;15.045;15.0571;"1204266";"18,134,413.57";"1972"
2025-08-25;15.16;15.17;15.31;15.315;15.13;15.13;15.1589;"481926";"7,306,113.46";"1471"
2025-08-22;15.30;15.305;15.205;15.41;15.17;15.31;15.3108;"653933";"10,012,228.73";"1428"
2025-08-21;15.215;15.23;15.135;15.245;15.09;15.215;15.1997;"693240";"10,537,028.72";"1783"
2025-08-20;15.235;15.245;15.00;15.35;14.945;15.135;15.1389;"1727322";"26,150,015.02";"2451"
2025-08-19;14.955;14.975;15.115;15.115;14.935;15.005;14.9974;"1271911";"19,075,292.89";"2440"
2025-08-18;15.085;15.105;15.155;15.40;15.045;15.12;15.1485;"1094248";"16,576,204.58";"2742"
2025-08-15;15.155;15.17;14.82;15.25;14.82;15.18;15.1194;"1911784";"28,896,569.25";"4608"
2025-08-14;15.58;15.595;15.70;15.725;15.50;15.605;15.5971;"784196";"12,231,174.62";"1666"
2025-08-13;15.685;15.695;15.765;15.875;15.66;15.71;15.7409;"753832";"11,866,451.77";"1787"
2025-08-12;15.79;15.81;15.70;15.835;15.515;15.755;15.7118;"1273722";"20,009,453.55";"3171"
2025-08-11;15.75;15.755;15.855;15.865;15.63;15.70;15.7228;"1069435";"16,815,759.2";"2672"
2025-08-08;15.87;15.885;15.91;16.05;15.875;15.88;15.9707;"1792177";"28,623,428.57";"1761"
2025-08-07;15.895;15.90;16.24;16.25;15.84;15.91;15.9893;"1091874";"17,457,515.14";"2805"
2025-08-06;16.25;16.26;16.17;16.345;16.13;16.305;16.2913;"1281411";"20,875,254.37";"1736"
2025-08-05;16.20;16.21;16.12;16.235;16.04;16.17;16.1676;"932634";"15,078,503.66";"1272"
2025-08-04;16.04;16.05;16.00;16.11;15.985;16.095;16.0752;"1264767";"20,330,879.19";"2112"
2025-08-01;16.035;16.05;16.06;16.18;15.935;16.00;16.0291;"970731";"15,561,666.73";"1795"
2025-07-31;16.085;16.095;16.04;16.15;16.03;16.09;16.0858;"954753";"15,358,010.42";"2097"
2025-07-30;16.065;16.075;16.00;16.38;15.995;16.08;16.0926;"1750686";"28,174,143.35";"3590"
2025-07-29;16.44;16.445;16.615;16.78;15.62;15.62;16.1765;"456765";"7,391,905.83";"1802"
2025-07-28;16.51;16.52;16.85;16.905;16.475;16.615;16.6362;"1012436";"16,843,738.44";"2469"
2025-07-25;16.695;16.715;16.695;16.795;16.455;16.795;16.7468;"1072543";"17,958,582.16";"1893"
2025-07-24;16.675;16.695;16.22;16.75;16.20;16.695;16.6178;"1857555";"30,862,279.68";"3964"
2025-07-23;16.22;16.235;16.20;16.26;16.045;16.225;16.2018;"1167518";"18,915,739.34";"2517"
2025-07-22;16.14;16.15;15.97;16.235;15.92;16.185;16.1486;"1490803";"24,072,346.55";"2513"
2025-07-21;15.94;15.96;15.77;15.955;15.69;15.935;15.9056;"1054699";"16,773,762.82";"2031"
2025-07-18;15.66;15.67;15.685;15.715;15.555;15.715;15.6978;"858433";"13,474,855.57";"1454"
2025-07-17;15.65;15.66;15.58;15.66;15.475;15.65;15.617;"710477";"11,094,960.08";"1663"
2025-07-16;15.64;15.65;15.68;15.76;15.605;15.605;15.6254;"733780";"11,466,917.32";"1213"
2025-07-15;15.685;15.70;15.74;15.80;15.59;15.66;15.6744;"614757";"9,635,900.81";"1763"
2025-07-14;15.705;15.72;15.565;15.77;15.54;15.73;15.7177;"866393";"13,617,785.87";"1912"
2025-07-11;15.52;15.54;15.47;15.61;15.435;15.53;15.534;"613136";"9,524,470.18";"1580"
2025-07-10;15.47;15.48;15.50;15.625;15.455;15.47;15.492;"846235";"13,109,904.16";"1602"
2025-07-09;15.49;15.51;15.45;15.565;15.32;15.465;15.4614;"1167499";"18,051,193.13";"2231"
2025-07-08;15.37;15.38;15.625;15.63;15.36;15.455;15.4492;"1102486";"17,032,173.72";"2004"
2025-07-07;15.605;15.62;15.645;15.695;15.57;15.645;15.6418;"704986";"11,027,277.02";"1206"
2025-07-04;15.675;15.685;15.67;15.69;15.54;15.645;15.639;"678356";"10,608,777.52";"1313"
2025-07-03;15.68;15.695;15.685;15.755;15.585;15.67;15.671;"684230";"10,722,592.32";"1197"
2025-07-02;15.645;15.665;15.75;15.845;15.63;15.685;15.6969;"834036";"13,091,780.21";"2061"
2025-07-01;15.665;15.68;15.905;15.965;15.66;15.71;15.7293;"1077380";"16,946,482.39";"2349"
2025-06-30;15.885;15.90;15.915;16.00;15.795;15.89;15.8936;"1005899";"15,987,436.83";"1816"
2025-06-27;15.795;15.805;15.695;15.855;15.65;15.855;15.832;"1139296";"18,036,852.66";"1657"
2025-06-26;15.685;15.695;15.60;15.75;15.57;15.655;15.6607;"1198953";"18,776,497.16";"2218"
2025-06-25;15.58;15.585;15.725;15.79;15.58;15.62;15.629;"1214162";"18,976,154.44";"1857"
2025-06-24;15.76;15.775;15.95;15.965;15.55;15.725;15.756;"2283970";"35,995,474.38";"4110"
2025-06-23;16.185;16.20;16.055;16.21;15.925;16.165;16.1185;"1367560";"22,043,039.54";"2899"
2025-06-19;15.915;15.925;15.70;15.96;15.70;15.96;15.9458;"2461215";"39,245,898.92";"2003"
2025-06-18;15.845;15.86;15.82;15.92;15.725;15.80;15.8132;"1443470";"22,825,746.36";"2221"
2025-06-17;15.87;15.885;16.05;16.10;15.75;15.86;15.8673;"1290406";"20,475,277.55";"2599"
2025-06-16;16.11;16.12;16.00;16.215;15.92;16.165;16.1528;"1468530";"23,720,814.41";"2421"
2025-06-13;15.99;15.995;16.07;16.205;15.97;16.01;16.049;"1304945";"20,943,246.48";"3273"
2025-06-12;16.07;16.085;15.88;16.10;15.78;16.095;16.0292;"1201391";"19,254,704.77";"2094"
2025-06-11;15.905;15.915;15.645;15.98;15.64;15.955;15.923;"1403011";"22,337,241.04";"2693"
2025-06-10;15.665;15.67;15.545;15.73;15.465;15.645;15.6336;"777284";"12,151,749.3";"2016"
2025-06-09;15.505;15.515;15.59;15.60;15.445;15.505;15.5144;"741846";"11,509,316.98";"2204"
2025-06-06;15.595;15.61;15.715;15.75;15.55;15.59;15.6037;"637756";"9,951,415.22";"1362"
2025-06-05;15.72;15.735;15.545;15.78;15.46;15.715;15.7054;"1077657";"16,926,269.07";"2563"
2025-06-04;15.605;15.61;15.425;15.70;15.33;15.595;15.5976;"1488786";"23,223,359.52";"3633"
2025-06-03;15.37;15.385;15.35;15.455;15.265;15.38;15.3797;"975171";"14,997,834.61";"1922"
2025-06-02;15.35;15.375;15.20;15.455;15.135;15.355;15.3587;"1848337";"28,387,996.82";"2983"
2025-05-30;15.205;15.235;15.21;15.25;15.11;15.20;15.1974;"3535830";"53,735,393.93";"2997"
2025-05-28;15.205;15.215;15.235;15.315;15.12;15.17;15.1822;"1051099";"15,957,967.21";"2004"
2025-05-27;15.285;15.29;15.175;15.345;15.085;15.295;15.2881;"1497562";"22,892,263.08";"2410"
