sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;12.90;12.96;12.92;12.96;12.80;12.92;12.8712;"12380";"159,344.58";145
2026-01-12;12.88;12.92;13.04;13.04;12.86;12.92;12.9404;"16669";"215,709.94";189
2026-01-09;12.94;13.04;12.96;13.02;12.92;13.02;12.9753;"12886";"167,206.99";165
2026-01-08;12.92;12.96;12.88;12.96;12.80;12.92;12.8648;"12163";"156,474.22";144
2026-01-07;12.82;12.86;12.62;12.86;12.62;12.86;12.7842;"26170";"334,568.33";269
2026-01-05;12.58;12.60;12.80;12.80;12.46;12.60;12.5531;"23921";"300,282.79";237
2026-01-02;12.60;12.72;12.70;12.80;12.60;12.68;12.6818;"21606";"274,006.37";255
2025-12-30;12.68;12.72;12.50;12.74;12.50;12.68;12.6215;"31145";"393,091.9";342
2025-12-29;12.56;12.60;12.24;12.64;12.24;12.60;12.4465;"42970";"534,842.77";329
2025-12-23;12.26;12.30;12.38;12.40;12.26;12.26;12.2955;"21764";"267,610.74";210
2025-12-22;12.34;12.42;12.32;12.42;12.20;12.38;12.2935;"33681";"414,055.72";266
2025-12-19;12.30;12.36;12.54;12.54;12.30;12.32;12.3637;"42296";"522,969.83";339
2025-12-18;12.50;12.58;12.64;12.74;12.52;12.54;12.6307;"39533";"499,556.89";277
2025-12-17;12.56;12.60;12.68;12.70;12.50;12.64;12.6206;"44532";"561,615.1";248
2025-12-16;12.62;12.68;12.46;12.76;12.44;12.68;12.6038;"21714";"273,679.13";157
2025-12-15;12.40;12.46;12.52;12.64;12.40;12.46;12.4921;"21227";"265,168.94";223
2025-12-12;12.46;12.58;12.34;12.66;12.34;12.52;12.4788;"24018";"299,701.37";228
2025-12-11;12.44;12.50;12.30;12.50;12.24;12.50;12.401;"21808";"270,442.34";165
2025-12-10;12.24;12.30;12.20;12.30;12.12;12.30;12.224;"41712";"509,888.58";251
2025-12-09;12.20;12.28;12.32;12.42;12.18;12.22;12.2424;"23412";"286,619.1";221
2025-12-08;12.28;12.36;12.64;12.64;12.28;12.32;12.4106;"29544";"366,659.94";284
2025-12-05;12.64;12.72;12.68;12.80;12.62;12.66;12.6834;"10978";"139,242.96";148
2025-12-04;12.62;12.68;12.66;12.74;12.54;12.66;12.6041;"31244";"393,809.38";197
2025-12-03;12.62;12.70;12.74;12.74;12.58;12.66;12.64;"7190";"90,969.67";116
2025-12-02;12.70;12.76;12.86;12.86;12.64;12.74;12.7326;"5418";"68,986.39";115
2025-12-01;12.68;12.80;12.72;12.88;12.54;12.84;12.7441;"9372";"119,404.79";133
2025-11-28;12.68;12.74;12.46;12.78;12.46;12.72;12.6584;"21355";"270,363.98";220
2025-11-27;12.40;12.46;12.44;12.58;12.40;12.48;12.4851;"12983";"162,091.8";148
2025-11-26;12.40;12.46;12.48;12.52;12.36;12.46;12.4362;"13224";"164,454.72";179
2025-11-25;12.42;12.52;12.40;12.52;12.18;12.48;12.3311;"26695";"329,432.69";207
2025-11-24;12.24;12.28;12.30;12.48;12.22;12.24;12.2962;"21397";"263,112.8";228
2025-11-21;12.28;12.34;12.60;12.76;12.28;12.30;12.4295;"35232";"438,044.9";307
2025-11-20;12.54;12.62;12.78;12.86;12.30;12.52;12.6224;"43787";"552,702.17";378
2025-11-19;13.14;13.48;12.94;13.30;12.88;13.14;13.147;"15730";"206,801.66";165
2025-11-18;12.98;13.00;13.44;13.50;12.88;13.02;13.0542;"14176";"185,050.16";182
2025-11-17;13.30;13.38;13.60;13.60;13.32;13.36;13.4095;"20185";"270,891.01";197
2025-11-14;13.50;13.56;13.56;13.58;13.36;13.56;13.482;"10018";"135,037.7";134
2025-11-13;13.60;13.76;13.90;13.92;13.56;13.56;13.6472;"11419";"156,133.14";157
2025-11-12;13.74;13.84;13.72;13.90;13.70;13.78;13.7962;"31493";"434,590.64";348
2025-11-11;13.66;13.74;13.34;13.74;13.34;13.72;13.5883;"19807";"268,978.23";151
2025-11-10;13.34;13.40;13.24;13.40;13.24;13.36;13.3388;"8566";"114,250.08";134
2025-11-07;13.20;13.24;13.24;13.24;12.96;13.24;13.1534;"11347";"149,231.13";138
2025-11-06;13.12;13.18;13.12;13.24;13.06;13.16;13.1584;"14436";"189,798.21";205
