sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;50.40;50.45;52.20;52.30;49.66;50.20;50.4014;"152515";"7,687,145.65";"1137"
2026-01-12;52.20;52.30;52.55;52.70;52.00;52.15;52.2481;"69312";"3,621,554.78";745
2026-01-09;52.45;52.55;52.30;52.60;52.00;52.55;52.4608;"37031";"1,942,445.61";527
2026-01-08;51.90;52.00;52.50;52.50;51.50;52.20;52.0847;"66614";"3,469,421.29";860
2026-01-07;52.50;52.65;51.00;52.95;50.95;52.50;52.3461;"104211";"5,452,731.45";"1115"
2026-01-05;50.60;50.70;49.78;50.95;49.78;50.70;50.568;"71000";"3,590,304.13";775
2026-01-02;49.52;49.60;49.52;49.76;49.26;49.54;49.535;"46474";"2,302,099.9";823
2025-12-30;49.40;49.46;49.24;49.62;49.24;49.52;49.4783;"42518";"2,103,729";666
2025-12-29;49.08;49.12;48.50;49.24;48.38;49.24;48.9892;"57754";"2,829,269.54";745
2025-12-23;48.48;48.54;48.12;48.66;47.92;48.48;48.3166;"77380";"3,736,976.42";872
2025-12-22;48.08;48.12;47.80;48.40;47.80;48.08;48.1139;"72826";"3,504,143.23";"1047"
2025-12-19;47.64;47.72;47.74;47.88;47.30;47.80;47.7808;"308004";"14,716,693.33";"1257"
2025-12-18;47.68;47.74;47.10;47.94;46.86;47.70;47.6247;"155043";"7,385,182.49";901
2025-12-17;47.10;47.18;47.82;47.86;46.98;47.10;47.4024;"126658";"6,003,686.93";834
2025-12-16;47.76;47.80;48.00;48.16;46.80;47.86;47.7391;"90858";"4,337,517.24";"1142"
2025-12-15;49.24;49.32;49.54;49.66;48.66;49.00;49.048;"72144";"3,538,516.42";841
2025-12-12;49.66;49.76;50.60;51.05;49.64;49.64;49.9818;"88383";"4,417,619.3";617
2025-12-11;50.50;50.60;49.90;50.95;49.78;50.55;50.4455;"57586";"2,903,497.97";705
2025-12-10;49.70;49.80;50.20;50.20;48.78;49.90;49.5888;"56310";"2,792,323.9";"1102"
2025-12-09;50.10;50.15;51.50;52.00;50.00;50.20;50.4486;"102753";"5,185,739.58";925
2025-12-08;51.95;52.10;52.00;52.70;51.85;51.85;52.0401;"62291";"3,241,687.43";830
2025-12-05;51.80;51.90;51.60;52.10;51.50;51.85;51.8415;"67671";"3,507,478.08";817
2025-12-04;51.55;51.65;49.90;51.65;49.88;51.60;51.3694;"151384";"7,774,887.84";"1214"
2025-12-03;49.90;50.05;50.10;50.55;49.54;49.82;49.9614;"54916";"2,743,709.04";811
2025-12-02;50.00;50.10;50.00;50.30;49.34;50.10;50.0248;"56295";"2,815,821.96";740
2025-12-01;49.62;49.70;49.50;49.70;49.00;49.54;49.4868;"49885";"2,468,621.45";678
2025-11-28;49.28;49.38;49.86;50.00;49.00;49.50;49.5301;"68162";"3,376,025.27";741
2025-11-27;49.74;49.80;48.78;49.90;48.78;49.90;49.6567;"78923";"3,919,041.75";937
2025-11-26;48.50;48.60;48.10;48.70;48.02;48.70;48.5817;"76414";"3,712,207.66";"1049"
2025-11-25;47.86;47.94;47.30;47.96;47.00;47.80;47.6733;"55044";"2,624,007.12";905
2025-11-24;47.16;47.24;45.68;47.32;45.68;47.28;47.1094;"107325";"5,055,996.24";"1066"
2025-11-21;45.50;45.58;45.62;45.68;44.94;45.54;45.4275;"69731";"3,167,677.1";892
2025-11-20;46.04;46.08;46.74;47.12;46.02;46.06;46.2172;"68024";"3,144,145.3";672
2025-11-19;46.46;46.56;45.62;46.96;45.62;46.44;46.4912;"53897";"2,505,830.81";725
2025-11-18;45.68;45.72;45.52;46.14;45.26;45.62;45.658;"74459";"3,399,672.9";"1009"
2025-11-17;46.44;46.50;46.44;46.96;46.34;46.38;46.4857;"51367";"2,388,785.79";728
2025-11-14;46.38;46.44;46.30;46.48;45.80;46.44;46.3179;"52182";"2,416,964";852
2025-11-13;46.42;46.50;46.80;47.06;46.26;46.26;46.3878;"45198";"2,096,866.35";637
2025-11-12;46.54;46.64;46.96;47.32;46.32;46.72;46.7304;"77876";"3,639,215.66";720
2025-11-11;46.80;46.84;46.00;46.96;45.80;46.96;46.6306;"136106";"6,346,033.15";994
2025-11-10;46.06;46.12;46.14;46.68;46.00;46.06;46.134;"59413";"2,741,624.27";773
2025-11-07;45.82;45.90;46.04;46.64;45.64;45.80;45.9242;"69648";"3,198,632.09";725
2025-11-06;46.08;46.20;47.00;47.46;46.08;46.18;46.5467;"75764";"3,526,671.98";"1030"
2025-11-05;47.18;47.20;47.30;47.74;47.04;47.04;47.2967;"87985";"4,161,544.57";968
2025-11-04;47.40;47.46;47.72;48.18;47.44;47.46;47.583;"142360";"6,776,853.8";"1218"
2025-11-03;48.54;48.64;47.76;48.80;47.74;48.38;48.4163;"122570";"5,934,682.76";"1020"
2025-10-31;48.20;48.30;46.92;48.56;46.92;48.02;48.0551;"119247";"5,730,432.86";"1300"
2025-10-30;47.10;47.20;47.90;48.12;46.96;46.96;47.2494;"110248";"5,208,472.95";"1261"
2025-10-29;48.42;48.48;46.86;48.58;46.48;48.24;48.0777;"170481";"8,195,213.43";"1554"
2025-10-28;46.98;47.10;47.04;47.14;45.84;47.00;46.7783;"151960";"7,108,234.23";"1602"
2025-10-27;47.30;47.38;45.48;47.40;45.48;47.20;46.795;"302501";"14,155,287.86";"2460"
2025-10-24;44.80;44.90;46.50;47.60;43.02;44.62;44.6827;"682459";"30,496,418.24";"5813"
2025-10-23;51.85;52.00;49.04;52.30;49.00;51.50;51.2624;"180329";"9,246,383.43";"2021"
2025-10-22;48.94;49.02;49.62;49.82;48.94;49.20;49.2502;"84041";"4,140,484.39";772
2025-10-21;49.82;49.88;49.46;49.92;49.28;49.92;49.7926;"35235";"1,753,426.49";576
2025-10-20;49.46;49.56;48.12;49.66;48.12;49.50;49.3932;"72032";"3,557,854.81";"1005"
2025-10-17;47.82;48.02;48.94;48.96;47.50;48.04;48.0561;"71856";"3,452,884.86";962
2025-10-16;49.18;49.26;49.00;49.52;48.70;49.18;49.1778;"55501";"2,729,688.69";805
2025-10-15;49.08;49.12;49.20;49.94;49.02;49.02;49.1006;"77824";"3,821,836.04";753
2025-10-14;49.42;49.52;49.94;49.94;49.22;49.50;49.4927;"47193";"2,335,530.63";772
2025-10-13;50.05;50.15;49.98;50.60;49.70;50.15;50.0706;"48770";"2,441,899.47";876
2025-10-10;50.35;50.45;51.65;51.65;50.00;50.00;50.4509;"74239";"3,751,466.72";877
2025-10-09;51.55;51.65;51.55;51.95;51.25;51.65;51.6231;"58011";"2,994,757.92";575
2025-10-08;51.50;51.55;52.40;52.40;51.20;51.50;51.5585;"82844";"4,271,910.07";892
2025-10-07;51.80;51.90;51.30;52.20;51.10;51.95;51.9248;"80196";"4,164,111.34";797
2025-10-06;51.30;51.40;50.70;51.45;50.45;51.45;51.2468;"82478";"4,225,794.33";801
2025-10-03;50.95;51.05;49.80;51.10;49.74;51.10;50.6929;"103584";"5,247,739.3";"1117"
2025-10-02;49.22;49.30;48.86;50.80;48.68;49.64;49.7114;"135841";"6,755,341.79";"1669"
2025-10-01;48.82;48.86;48.18;48.96;47.76;48.56;48.533;"94718";"4,596,941.03";"1119"
2025-09-30;49.72;49.78;49.72;50.15;49.08;49.62;49.5555;"95621";"4,739,718.17";"1568"
2025-09-29;49.72;49.78;49.68;50.20;49.54;49.66;49.7552;"50983";"2,536,777.08";985
2025-09-26;49.46;49.50;49.50;49.82;49.32;49.48;49.479;"58825";"2,910,504.06";"1045"
2025-09-25;49.46;49.54;50.05;50.40;49.16;49.40;49.5062;"61177";"3,028,656.76";984
2025-09-24;50.05;50.15;50.90;50.90;49.96;50.05;50.2075;"45409";"2,279,842.85";799
2025-09-23;50.55;50.65;50.35;51.15;50.30;50.90;50.8709;"87357";"4,443,692.43";864
2025-09-22;50.35;50.40;49.46;50.70;49.38;50.35;50.1742;"83416";"4,185,679.47";"1146"
2025-09-19;49.60;49.72;50.00;50.20;49.12;49.46;49.5299;"201341";"9,971,871.46";"1990"
2025-09-18;50.15;50.25;50.15;50.95;50.05;50.05;50.1968;"52068";"2,613,725.69";685
2025-09-17;50.20;50.30;51.40;51.70;50.15;50.15;50.3463;"69049";"3,477,852.66";690
2025-09-16;51.55;51.65;52.55;52.55;51.40;51.40;51.57;"62447";"3,221,661.71";957
2025-09-15;52.60;52.70;52.80;53.35;52.10;52.55;52.567;"46255";"2,432,280.52";588
2025-09-12;52.70;52.75;52.65;53.55;52.55;52.80;52.894;"97704";"5,164,279.38";746
2025-09-11;52.55;52.65;52.80;53.05;52.45;52.65;52.7651;"50674";"2,674,004.6";872
2025-09-10;52.80;52.90;53.10;53.40;52.50;52.90;52.8647;"44390";"2,346,610.24";787
2025-09-09;53.00;53.10;53.55;53.90;52.95;52.95;53.3441;"69694";"3,718,025.92";879
2025-09-08;53.55;53.65;53.85;54.55;53.45;53.50;53.5931;"85845";"4,600,698.15";"1185"
2025-09-05;53.70;53.75;53.25;54.20;53.00;53.90;53.7473;"47366";"2,545,795.42";751
2025-09-04;52.60;52.70;54.10;54.10;52.05;52.70;52.8813;"109966";"5,814,528.36";"1265"
