sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;30.08;30.12;30.32;30.40;29.94;30.10;30.1254;"157020";"4,730,698.84";"1327"
2026-01-12;30.28;30.30;30.44;30.46;30.02;30.22;30.2594;"212674";"6,434,631.07";"1856"
2026-01-09;30.36;30.38;30.10;30.42;30.10;30.40;30.3185;"137244";"4,161,084.79";"1059"
2026-01-08;30.10;30.14;30.60;30.70;29.48;30.10;29.9582;"265025";"7,939,633.5";"2057"
2026-01-07;30.48;30.52;30.12;30.78;29.98;30.60;30.5584;"337718";"10,320,108.47";"2049"
2026-01-05;29.72;29.76;29.90;30.00;29.40;29.76;29.687;"169311";"5,026,295.84";"1432"
2026-01-02;29.80;29.84;29.78;29.96;29.60;29.80;29.7921;"246557";"7,345,421.98";"1762"
2025-12-30;29.78;29.80;29.58;29.84;29.56;29.74;29.7435;"185282";"5,510,390.48";"1659"
2025-12-29;29.54;29.56;29.04;29.58;29.04;29.58;29.3964;"213160";"6,266,072.33";"1874"
2025-12-23;29.04;29.08;28.96;29.26;28.96;29.02;29.0634;"133037";"3,866,593.01";"1107"
2025-12-22;29.04;29.06;28.96;29.10;28.76;28.96;28.9325;"153576";"4,443,302.41";"1155"
2025-12-19;28.94;28.96;29.24;29.28;28.92;29.00;29.0194;"290114";"8,419,034.51";"1585"
2025-12-18;29.18;29.20;28.96;29.24;28.88;29.24;29.14;"236824";"6,900,653.21";"1133"
2025-12-17;28.90;28.92;28.80;28.96;28.60;28.96;28.8847;"256707";"7,413,854.42";"1020"
2025-12-16;28.70;28.74;28.62;28.84;28.52;28.80;28.7495;"247901";"7,124,439.44";"1059"
2025-12-15;28.36;28.38;28.50;28.86;28.32;28.50;28.5944;"406506";"11,624,840.33";"1436"
2025-12-12;28.42;28.46;28.72;28.88;28.40;28.52;28.5943;"280034";"8,007,680.68";"1173"
2025-12-11;28.64;28.68;28.56;28.78;28.52;28.72;28.6898;"219257";"6,290,285.51";"1151"
2025-12-10;28.54;28.58;28.68;28.68;28.30;28.54;28.4646;"259184";"7,377,573.59";"1708"
2025-12-09;28.70;28.72;29.30;29.30;28.60;28.70;28.8173;"194228";"5,597,529.66";"1444"
2025-12-08;29.36;29.40;29.70;29.80;29.30;29.30;29.4118;"179165";"5,269,760.4";"1196"
2025-12-05;29.64;29.68;29.66;29.90;29.54;29.70;29.7055;"125103";"3,716,146.21";960
2025-12-04;29.72;29.76;29.04;29.94;29.02;29.66;29.5432;"194717";"5,751,749.27";"1426"
2025-12-03;28.98;29.00;29.08;29.44;28.98;29.04;29.1087;"154229";"4,489,591.44";"1234"
2025-12-02;29.10;29.12;29.58;29.60;29.08;29.08;29.2112;"163912";"4,789,280.78";"1072"
2025-12-01;29.64;29.68;29.50;29.66;29.34;29.58;29.5194;"177995";"5,254,184.9";967
2025-11-28;29.68;29.70;29.54;29.72;29.36;29.70;29.6268;"209474";"6,206,032.32";"1277"
2025-11-27;29.52;29.54;29.30;29.54;29.24;29.48;29.4611;"100570";"2,962,900.8";746
2025-11-26;29.34;29.36;29.30;29.50;29.12;29.28;29.2936;"106315";"3,114,427.26";888
2025-11-25;29.40;29.44;28.96;29.44;28.78;29.26;29.1903;"230965";"6,741,928.26";"1581"
2025-11-24;28.92;28.96;28.90;29.02;28.72;28.96;28.9285;"160534";"4,643,988.51";994
2025-11-21;28.80;28.82;28.10;28.88;28.02;28.76;28.6728;"515544";"14,780,633.08";"1793"
2025-11-20;28.28;28.30;28.52;28.66;28.26;28.30;28.3577;"139336";"3,951,251.74";"1063"
2025-11-19;28.48;28.50;28.00;28.62;27.90;28.40;28.3856;"190963";"5,420,884.34";"1131"
2025-11-18;27.98;28.02;28.14;28.22;27.80;28.00;28.0228;"176877";"4,956,818.59";"1275"
2025-11-17;28.28;28.34;28.34;28.52;28.26;28.36;28.3877;"200255";"5,684,579.57";"1576"
2025-11-14;28.34;28.36;28.84;28.90;28.22;28.34;28.4202;"306809";"8,718,846.14";"2276"
2025-11-13;29.06;29.10;28.92;29.32;28.82;29.10;29.0622;"159988";"4,649,593.98";"1386"
2025-11-12;28.94;28.98;29.10;29.10;28.76;28.92;28.9412;"124746";"3,610,250.53";"1053"
2025-11-11;29.02;29.06;28.34;29.10;28.34;29.08;28.8897;"201996";"5,834,312";"1143"
2025-11-10;28.34;28.36;28.34;28.56;28.24;28.30;28.3549;"213509";"6,055,362.91";"1529"
2025-11-07;28.14;28.16;28.06;28.24;27.80;28.24;28.0638;"236203";"6,628,640.19";"1586"
2025-11-06;28.08;28.12;28.18;28.40;28.06;28.06;28.124;"216992";"6,105,384.38";"1213"
2025-11-05;28.28;28.30;28.32;28.48;28.04;28.04;28.1009;"409221";"11,504,217.17";"1350"
2025-11-04;28.42;28.44;28.76;28.76;28.24;28.50;28.4571;"214488";"6,103,243.91";"1919"
2025-11-03;28.86;28.90;29.14;29.16;28.82;28.84;28.9093;"173133";"5,006,153.55";"1408"
