sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;41.76;41.80;42.48;42.56;41.48;41.86;41.8516;"26284";"1,100,027.24";478
2026-01-12;42.34;42.40;42.94;42.94;42.28;42.44;42.4761;"26928";"1,143,865.23";525
2026-01-09;42.68;42.76;42.30;42.94;42.18;42.94;42.7537;"32126";"1,373,500.07";580
2026-01-08;42.16;42.24;42.30;42.30;41.86;42.22;42.1581;"31583";"1,331,425.3";562
2026-01-07;42.12;42.18;41.30;42.30;41.30;42.30;42.0974;"40676";"1,712,254.46";868
2026-01-05;41.16;41.24;40.76;41.24;40.58;41.24;41.0477;"30923";"1,269,318.04";609
2026-01-02;40.70;40.82;40.54;40.98;40.06;40.76;40.5941;"37863";"1,537,025.6";703
2025-12-30;40.40;40.48;40.28;40.70;40.18;40.54;40.4732;"28281";"1,144,614.51";562
2025-12-29;40.18;40.22;39.80;40.28;39.74;40.28;40.0315;"57833";"2,315,155.35";627
2025-12-23;39.74;39.96;39.74;39.86;39.42;39.78;39.7459;"31499";"1,251,959.5";678
2025-12-22;39.70;39.80;38.60;39.86;38.60;39.74;39.5792;"24751";"979,423.44";491
2025-12-19;38.70;38.76;38.82;38.90;38.44;38.60;38.6188;"110474";"4,266,379.51";549
2025-12-18;38.70;38.80;38.62;38.82;38.48;38.74;38.7094;"45386";"1,756,858.66";432
2025-12-17;38.56;38.80;39.22;39.56;38.54;38.68;38.8342;"22479";"872,980.08";453
2025-12-16;39.12;39.20;39.98;39.98;38.90;39.22;39.2986;"40859";"1,605,837.09";486
2025-12-15;39.86;39.94;40.26;40.44;39.80;39.92;40.0248;"32580";"1,303,983.82";714
2025-12-12;40.18;40.30;40.46;40.78;40.20;40.48;40.5226;"20888";"846,438.04";443
2025-12-11;40.40;40.46;40.00;40.50;40.00;40.42;40.3164;"28001";"1,128,769.97";515
2025-12-10;39.96;40.04;40.28;40.28;39.84;39.98;40.0385;"30833";"1,234,504.24";474
2025-12-09;40.12;40.28;39.96;40.56;39.92;40.10;40.189;"44234";"1,777,738.56";607
2025-12-08;39.90;39.94;39.50;40.50;39.50;39.92;40.0074;"63208";"2,528,956.61";"1035"
2025-12-05;39.20;39.40;38.96;39.44;38.82;39.20;39.1165;"47894";"1,873,418.26";549
2025-12-04;38.98;39.08;38.18;39.02;38.16;38.96;38.6635;"53769";"2,077,552.98";802
