sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;94.95;95.00;96.40;96.45;93.85;94.75;94.7555;"119307";"11,303,822.4";"1805"
2026-01-12;96.10;96.20;96.70;96.75;95.60;95.90;96.0544;"99448";"9,553,263.94";"1637"
2026-01-09;96.50;96.60;96.15;96.85;95.75;96.70;96.5343;"91288";"8,811,019.77";"1421"
2026-01-08;95.95;96.00;96.70;96.70;95.45;96.15;96.137;"81683";"7,852,803.84";"1153"
2026-01-07;96.45;96.55;95.35;96.75;94.00;96.70;96.1492;"175099";"16,830,197.07";"2751"
2026-01-05;93.95;94.10;93.70;94.25;92.75;94.25;93.8222;"106804";"10,019,282.19";"1414"
2026-01-02;93.40;93.50;93.90;94.35;92.95;93.50;93.5006;"60341";"5,641,849.46";"1208"
2025-12-30;93.75;93.85;93.15;94.20;93.10;93.90;93.8175;"91654";"8,598,719.74";"1441"
2025-12-29;93.10;93.15;92.30;93.20;92.20;93.00;92.8477;"81543";"7,570,544.13";"1240"
2025-12-23;92.40;92.50;92.35;92.75;92.00;92.30;92.2947;"46625";"4,303,469.48";807
2025-12-22;92.35;92.45;92.00;92.50;91.60;92.35;92.1954;"62888";"5,797,953.08";"1033"
2025-12-19;91.50;91.55;91.50;92.00;91.30;92.00;91.926;"234820";"21,584,983.51";"1857"
2025-12-18;91.30;91.35;90.00;91.40;88.90;91.10;90.9138;"161143";"14,647,730.8";"1166"
2025-12-17;90.20;90.30;90.95;92.15;90.10;90.15;90.7563;"124892";"11,337,710.05";"1859"
2025-12-16;90.25;90.30;90.00;90.80;89.45;90.25;90.1876;"73352";"6,615,672.02";"1085"
2025-12-15;90.40;90.45;90.30;90.75;89.50;90.30;90.2795;"83945";"7,578,403.72";"1307"
2025-12-12;90.30;90.40;90.90;92.20;90.30;90.30;91.0795;"109689";"9,993,102.66";"1413"
2025-12-11;90.85;90.90;90.00;91.20;89.85;90.90;90.8761;"152012";"13,814,111.06";"1605"
2025-12-10;89.55;89.60;89.65;90.80;89.25;89.65;89.8547;"92176";"8,282,741.07";"1413"
2025-12-09;89.90;89.95;90.60;90.85;89.45;89.75;90.126;"132880";"11,977,163.64";"1548"
2025-12-08;90.40;90.55;90.00;90.80;89.60;90.60;90.3499;"101502";"9,169,031.67";"1170"
