sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;20.06;20.10;20.16;20.18;19.91;20.04;20.0399;"120732";"2,419,497.97";718
2026-01-12;20.14;20.18;20.24;20.24;20.02;20.12;20.1187;"127062";"2,556,182.99";708
2026-01-09;20.22;20.26;19.95;20.26;19.86;20.26;20.191;"130025";"2,625,135.13";654
2026-01-08;19.90;19.93;20.24;20.24;19.70;19.95;19.8986;"189351";"3,767,574.99";"1162"
2026-01-07;20.30;20.34;19.66;20.36;19.66;20.28;20.1696;"286338";"5,773,821.73";"1165"
2026-01-05;19.54;19.56;19.67;19.76;19.35;19.63;19.5973;"225416";"4,417,658.63";"1060"
2026-01-02;19.54;19.56;19.51;19.65;19.45;19.64;19.5898;"141468";"2,771,237.55";839
2025-12-30;19.56;19.58;19.45;19.61;19.45;19.58;19.5667;"125867";"2,462,771.69";775
2025-12-29;19.45;19.48;19.30;19.52;19.28;19.51;19.4441;"136066";"2,645,630.7";719
2025-12-23;19.29;19.31;19.30;19.39;19.25;19.32;19.3171;"107061";"2,068,127.71";640
2025-12-22;19.30;19.31;19.26;19.33;19.13;19.30;19.2555;"116850";"2,249,954.69";723
2025-12-19;19.23;19.26;19.10;19.34;19.10;19.27;19.2536;"511989";"9,857,262.46";"1456"
2025-12-18;19.17;19.20;19.09;19.22;19.01;19.22;19.179;"262076";"5,026,321.09";728
2025-12-17;19.13;19.15;19.35;19.35;19.02;19.17;19.1418;"219044";"4,192,593.87";910
2025-12-16;19.31;19.33;19.22;19.47;19.20;19.35;19.3484;"199253";"3,855,152.32";793
2025-12-15;19.20;19.22;19.25;19.55;19.20;19.21;19.3275;"197780";"3,822,736.93";966
2025-12-12;19.21;19.24;19.51;19.60;19.20;19.25;19.3382;"238183";"4,606,582.57";"1146"
2025-12-11;19.37;19.39;19.10;19.46;19.09;19.38;19.331;"250093";"4,834,508.47";941
2025-12-10;19.03;19.05;18.91;19.05;18.80;19.03;18.9706;"214892";"4,076,312.51";964
2025-12-09;18.92;18.94;19.09;19.09;18.79;18.92;18.9096;"249468";"4,717,253.12";"1081"
2025-12-08;19.04;19.06;19.20;19.21;19.03;19.08;19.0905;"231484";"4,419,148.99";"1068"
2025-12-05;19.15;19.17;19.24;19.38;19.15;19.20;19.2526;"200312";"3,856,664.99";"1017"
2025-12-04;19.19;19.21;19.09;19.37;19.05;19.17;19.2279;"257932";"4,959,422.61";"1150"
2025-12-03;19.07;19.11;19.16;19.44;19.08;19.08;19.2332;"194465";"3,740,527.81";"1063"
2025-12-02;19.13;19.16;19.41;19.45;19.14;19.16;19.2925;"240305";"4,637,265.57";"1295"
2025-12-01;19.46;19.49;19.26;19.48;19.16;19.41;19.3979;"224898";"4,362,245.61";998
2025-11-28;19.28;19.30;19.35;19.39;19.23;19.26;19.2809;"222325";"4,286,779.51";"1060"
2025-11-27;19.34;19.36;19.28;19.38;19.20;19.35;19.3156;"174870";"3,377,476.4";906
2025-11-26;19.28;19.29;19.24;19.35;19.16;19.30;19.2814;"205116";"3,954,912.6";"1073"
2025-11-25;19.26;19.28;18.95;19.29;18.85;19.24;19.1257;"214617";"4,102,872.24";"1229"
2025-11-24;18.97;18.99;18.95;19.20;18.95;19.08;19.0634;"414072";"7,893,430.16";"1369"
2025-11-21;18.90;18.92;18.69;18.95;18.55;18.94;18.8109;"234255";"4,406,522.97";"1376"
2025-11-20;18.71;18.74;18.80;19.06;18.70;18.71;18.8276;"180048";"3,390,030.8";"1017"
2025-11-19;18.98;19.00;18.61;19.06;18.61;18.98;18.9149;"200501";"3,790,611.86";"1209"
2025-11-18;18.67;18.70;18.89;18.94;18.58;18.63;18.7204;"230595";"4,319,001.82";"1368"
2025-11-17;19.01;19.04;19.15;19.22;18.97;18.99;19.0396;"248021";"4,723,278.98";"1363"
