sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;19.04;19.08;19.28;19.30;18.94;19.02;19.0652;"15921";"303,577.52";281
2026-01-12;19.16;19.22;19.38;19.38;19.10;19.26;19.2176;"15362";"295,207.84";241
2026-01-09;19.48;19.52;19.50;19.52;19.34;19.52;19.4475;"13696";"266,345.85";213
2026-01-08;19.44;19.50;19.54;19.54;19.26;19.40;19.3876;"22191";"430,225.37";238
2026-01-07;19.48;19.52;19.16;19.66;19.16;19.54;19.5121;"34238";"668,040.55";341
2026-01-05;19.16;19.20;19.20;19.20;19.02;19.14;19.1057;"20840";"398,152.42";281
2026-01-02;19.10;19.16;19.28;19.34;19.10;19.20;19.2066;"21350";"410,064.04";306
2025-12-30;19.26;19.32;19.06;19.30;19.06;19.26;19.2033;"15834";"304,065.56";252
2025-12-29;19.08;19.10;18.80;19.10;18.76;19.04;18.9138;"25256";"477,686.76";334
2025-12-23;18.78;18.84;18.88;18.96;18.74;18.78;18.8331;"18588";"350,202.55";216
2025-12-22;18.78;18.88;18.92;18.94;18.68;18.84;18.7943;"30529";"573,676.68";274
2025-12-19;18.94;18.98;19.10;19.12;18.92;18.92;18.973;"16754";"317,872.84";206
2025-12-18;19.04;19.08;18.86;19.10;18.84;19.10;18.9893;"19112";"362,933.99";221
2025-12-17;18.86;18.94;18.70;18.88;18.66;18.80;18.7351;"24032";"450,239.98";214
2025-12-16;18.68;18.70;18.60;18.78;18.60;18.70;18.6978;"23889";"446,632.81";200
2025-12-15;18.54;18.58;18.68;18.92;18.54;18.58;18.6799;"33104";"618,287.47";249
2025-12-12;18.64;18.68;18.62;18.78;18.54;18.66;18.6508;"10915";"203,570.92";187
2025-12-11;18.60;18.66;18.52;18.68;18.42;18.60;18.5046;"18434";"341,111.12";189
2025-12-10;18.46;18.56;18.72;18.74;18.44;18.60;18.5833;"16865";"313,406.69";203
2025-12-09;18.64;18.70;18.72;18.76;18.62;18.74;18.705;"20106";"376,075.2";140
2025-12-08;18.62;18.68;18.70;18.82;18.60;18.70;18.7257;"28004";"524,396.38";349
2025-12-05;18.62;18.66;18.54;18.74;18.54;18.70;18.6571;"21873";"408,121.82";278
2025-12-04;18.50;18.54;18.30;18.66;18.30;18.54;18.4591;"13019";"240,316.42";133
2025-12-03;18.22;18.26;18.50;18.50;18.22;18.30;18.3525;"15598";"286,230.39";258
2025-12-02;18.46;18.50;18.62;18.62;18.46;18.56;18.5317;"6748";"125,049.8";143
2025-12-01;18.50;18.52;18.66;18.70;18.42;18.52;18.5125;"12140";"224,800.35";173
2025-11-28;18.62;18.70;18.74;18.74;18.58;18.66;18.6539;"12732";"237,498.4";153
2025-11-27;18.68;18.72;18.52;18.74;18.52;18.74;18.6401;"14700";"274,010.02";148
2025-11-26;18.52;18.58;18.58;18.58;18.40;18.52;18.4973;"13059";"241,566.48";155
2025-11-25;18.52;18.58;18.32;18.56;18.16;18.50;18.3868;"21449";"394,388";177
2025-11-24;18.24;18.34;18.40;18.44;18.20;18.24;18.2942;"16954";"310,160.01";227
2025-11-21;18.36;18.40;18.28;18.42;18.20;18.40;18.3307;"11987";"219,730.12";162
2025-11-20;18.22;18.30;18.24;18.34;18.16;18.28;18.2556;"7207";"131,570.56";140
2025-11-19;18.16;18.22;18.08;18.30;18.08;18.24;18.2105;"18577";"338,281.74";169
