sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;19.08;19.10;19.25;19.33;18.96;19.04;19.0645;"580404";"11,065,555.23";"1914"
2026-01-12;19.29;19.31;19.33;19.33;19.13;19.24;19.2324;"548614";"10,550,776.22";"1617"
2026-01-09;19.49;19.50;19.40;19.50;19.30;19.46;19.4392;"346638";"6,738,300.6";"1536"
2026-01-08;19.40;19.42;19.44;19.48;19.24;19.41;19.3751;"597539";"11,577,169.59";"1905"
2026-01-07;19.52;19.53;19.20;19.73;19.18;19.44;19.4786;"813075";"15,837,619.8";"2706"
2026-01-05;19.14;19.16;19.17;19.18;18.99;19.18;19.1137;"489292";"9,352,091.77";"1838"
2026-01-02;19.08;19.09;19.32;19.33;19.05;19.12;19.1565;"519940";"9,960,173.35";"2012"
2025-12-30;19.27;19.28;19.11;19.32;19.11;19.25;19.2278;"512006";"9,844,694.9";"1866"
2025-12-29;19.10;19.11;18.80;19.10;18.79;19.10;19.036;"692814";"13,188,489.83";"2790"
2025-12-23;18.84;18.85;18.85;18.94;18.80;18.80;18.8523;"221857";"4,182,506.14";959
2025-12-22;18.82;18.84;18.89;18.90;18.63;18.83;18.7906;"412114";"7,743,886.87";"1512"
2025-12-19;18.94;18.95;19.03;19.09;18.89;18.89;18.9084;"1222616";"23,117,825.21";"1823"
2025-12-18;19.08;19.10;18.86;19.11;18.83;19.06;19.0449;"944930";"17,996,370";"2095"
2025-12-17;18.85;18.87;18.72;18.87;18.64;18.81;18.7758;"638454";"11,987,508.1";"1835"
2025-12-16;18.67;18.68;18.60;18.72;18.53;18.72;18.68;"642741";"12,006,364.87";"1529"
2025-12-15;18.53;18.54;18.38;18.60;18.38;18.53;18.5291;"583327";"10,808,483.78";"1965"
2025-12-12;18.36;18.38;18.38;18.48;18.29;18.38;18.3785;"616938";"11,338,339.77";"1805"
2025-12-11;18.33;18.34;18.26;18.38;18.16;18.38;18.2935;"566334";"10,359,994.09";"1715"
2025-12-10;18.27;18.28;18.47;18.54;18.21;18.25;18.2886;"515576";"9,429,083.39";"1826"
2025-12-09;18.46;18.47;18.37;18.55;18.36;18.40;18.4225;"461153";"8,495,766.25";"1440"
2025-12-08;18.36;18.37;18.44;18.52;18.33;18.35;18.4095;"531396";"9,782,841.98";"2330"
2025-12-05;18.37;18.39;18.37;18.50;18.35;18.41;18.4159;"355579";"6,548,297.55";"1121"
2025-12-04;18.35;18.37;18.15;18.50;18.07;18.31;18.3393;"562931";"10,323,376.86";"1975"
2025-12-03;18.07;18.08;18.18;18.21;18.06;18.13;18.1198;"449752";"8,149,375.56";"1487"
2025-12-02;18.18;18.19;18.35;18.37;18.16;18.18;18.2178;"302155";"5,504,629.69";"1352"
2025-12-01;18.26;18.27;18.34;18.38;18.20;18.29;18.2812;"405375";"7,410,757.85";"1279"
2025-11-28;18.41;18.42;18.45;18.46;18.35;18.35;18.3664;"485707";"8,920,619.76";"1225"
2025-11-27;18.45;18.46;18.32;18.47;18.31;18.45;18.4294;"265792";"4,898,354.07";964
2025-11-26;18.31;18.32;18.23;18.32;18.13;18.29;18.2632;"304022";"5,552,445.29";"1191"
2025-11-25;18.26;18.28;17.91;18.29;17.89;18.27;18.1563;"374537";"6,800,299.32";"1393"
2025-11-24;18.01;18.03;18.11;18.15;17.94;17.98;17.9837;"2715751";"48,839,252.75";"2141"
2025-11-21;18.13;18.15;17.91;18.17;17.86;18.09;18.0488;"344252";"6,213,207.67";"1500"
2025-11-20;17.95;17.96;18.00;18.07;17.91;17.91;17.9519;"349397";"6,272,409.4";"1439"
2025-11-19;17.94;17.95;17.85;18.03;17.80;17.94;17.9297;"224298";"4,021,605.97";"1095"
2025-11-18;17.86;17.87;18.00;18.01;17.83;17.85;17.8788;"520607";"9,307,815.11";"2142"
2025-11-17;18.04;18.05;18.19;18.23;18.02;18.03;18.0548;"343907";"6,209,094.12";"1497"
2025-11-14;18.15;18.16;18.37;18.40;18.13;18.19;18.2184;"446965";"8,143,060.49";"2114"
2025-11-13;18.32;18.34;18.66;18.67;18.26;18.29;18.3431;"546315";"10,021,342.07";"2114"
2025-11-12;18.63;18.64;18.62;18.66;18.49;18.66;18.6138;"407985";"7,594,168.81";"1166"
2025-11-11;18.56;18.57;18.51;18.62;18.42;18.62;18.5928;"565338";"10,511,168.67";"1235"
2025-11-10;18.49;18.51;18.35;18.50;18.28;18.45;18.4271;"304759";"5,615,707.46";"1210"
2025-11-07;18.33;18.35;18.26;18.35;18.18;18.35;18.3129;"268385";"4,914,911.42";"1176"
2025-11-06;18.24;18.26;18.22;18.29;18.15;18.24;18.235;"243877";"4,447,051.08";"1066"
2025-11-05;18.19;18.21;18.10;18.31;18.07;18.14;18.1625;"565588";"10,272,831.55";"1419"
2025-11-04;18.17;18.19;18.18;18.22;18.10;18.11;18.1299;"466328";"8,454,501.88";"1531"
2025-11-03;18.13;18.15;18.27;18.27;18.12;18.18;18.1793;"527768";"9,594,498.63";"2002"
2025-10-31;18.33;18.34;18.53;18.63;18.22;18.30;18.3325;"847424";"15,537,020.65";"2468"
2025-10-30;18.50;18.52;18.99;18.99;18.33;18.51;18.5406;"903542";"16,752,492.94";"4548"
2025-10-29;19.08;19.09;19.21;19.31;19.04;19.04;19.1091;"688798";"13,164,629.4";"1952"
2025-10-28;19.19;19.21;19.15;19.21;18.98;19.21;19.168;"422208";"8,092,522.97";"1315"
2025-10-27;19.14;19.15;19.22;19.26;19.06;19.15;19.1457;"286620";"5,487,524.5";"1098"
2025-10-24;19.19;19.21;19.21;19.22;19.04;19.21;19.1763;"205708";"3,944,681.94";937
2025-10-23;19.19;19.22;19.33;19.33;19.10;19.21;19.2239;"302101";"5,808,384.09";"1506"
2025-10-22;19.31;19.33;19.25;19.34;19.20;19.33;19.2993;"416694";"8,041,897.24";"1484"
2025-10-21;19.27;19.28;19.25;19.29;19.13;19.25;19.2448;"294008";"5,658,112.96";"1175"
2025-10-20;19.13;19.15;19.17;19.21;19.05;19.20;19.1734;"562765";"10,789,977.5";"1616"
2025-10-17;19.15;19.17;18.92;19.19;18.83;19.19;19.0884;"625548";"11,940,689.11";"1733"
