sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;61.94;62.00;62.00;62.28;61.46;62.12;62.0332;"410247";"25,432,726.45";"2151"
2026-01-12;61.50;61.52;62.02;62.12;61.22;61.46;61.5392;"384112";"23,638,095.54";"2274"
2026-01-09;61.84;61.86;62.24;62.42;61.20;62.02;61.9077;"447189";"27,683,090.38";"2826"
2026-01-08;62.36;62.40;62.92;63.06;61.74;62.24;62.2914;"449436";"27,996,730";"3753"
2026-01-07;63.00;63.02;61.00;63.02;61.00;62.92;62.6013;"635093";"39,752,343.42";"2997"
2026-01-05;61.64;61.70;61.24;61.86;60.96;61.76;61.6948;"430536";"26,561,311.09";"2197"
2026-01-02;60.78;60.84;60.26;60.96;60.26;60.94;60.8675;"424178";"25,817,490.48";"2461"
2025-12-30;60.68;60.74;60.46;60.80;60.28;60.56;60.5725;"293715";"17,791,190.38";"1317"
2025-12-29;60.12;60.22;60.24;60.42;59.94;60.28;60.2411;"349670";"21,064,434.2";"2036"
2025-12-23;60.50;60.56;60.30;60.82;60.24;60.36;60.4064;"217185";"13,119,490.35";"1087"
2025-12-22;60.46;60.52;60.50;60.62;60.22;60.30;60.3569;"242791";"14,654,177.64";"1764"
2025-12-19;60.36;60.40;59.98;60.54;59.98;60.50;60.4769;"1095276";"66,235,964.51";"2492"
2025-12-18;60.02;60.06;58.98;60.14;58.92;60.14;60.0892;"807596";"48,527,275.98";"2073"
2025-12-17;59.02;59.04;59.30;59.30;58.70;59.16;59.1255;"473892";"28,018,467.24";"1786"
2025-12-16;59.42;59.44;60.00;60.14;59.30;59.30;59.3822;"434213";"25,791,085.77";"2407"
2025-12-15;59.92;59.94;59.32;60.22;59.32;59.88;59.8957;"496035";"29,711,356.57";"3398"
2025-12-12;59.60;59.64;59.00;60.00;58.56;59.54;59.5288;"408327";"24,307,055.65";"2312"
2025-12-11;58.74;58.78;58.82;58.90;57.88;58.90;58.7747;"470776";"27,662,506.93";"1622"
2025-12-10;58.66;58.70;58.52;58.82;57.94;58.74;58.6831;"523910";"30,738,388.36";"2184"
2025-12-09;58.82;58.88;59.60;59.60;58.64;58.68;58.743;"506169";"29,734,350.07";"1978"
2025-12-08;59.68;59.72;59.54;59.78;59.14;59.78;59.7188;"427775";"25,545,115.9";"1510"
2025-12-05;59.38;59.42;60.00;60.20;59.04;59.62;59.6602;"778253";"46,508,791.39";"3898"
2025-12-04;59.84;59.88;59.98;60.08;59.56;59.88;59.8758;"486825";"29,149,016.4";"1759"
2025-12-03;59.34;59.38;59.06;59.80;59.04;59.68;59.6553;"982194";"58,593,007.27";"2214"
2025-12-02;58.96;59.02;58.54;59.14;58.48;59.14;59.1112;"692396";"40,928,040.4";"1763"
2025-12-01;58.50;58.54;58.24;58.64;58.16;58.64;58.5801;"492861";"28,869,155.41";"1820"
2025-11-28;58.54;58.60;58.38;58.60;57.98;58.54;58.4894;"613603";"35,889,194.19";"1571"
2025-11-27;58.34;58.38;58.50;58.64;58.06;58.36;58.3734;"161570";"9,431,423.39";999
2025-11-26;58.52;58.56;57.88;58.54;57.76;58.36;58.286;"354780";"20,668,444.32";"1583"
2025-11-25;57.84;57.86;57.64;57.88;57.30;57.88;57.8211;"280157";"16,197,652.35";"1352"
2025-11-24;57.84;57.90;57.50;58.00;57.38;57.76;57.7562;"1430792";"82,634,795.86";"2016"
2025-11-21;57.34;57.40;56.24;57.48;56.08;57.46;57.3093;"782592";"44,848,716.76";"2100"
2025-11-20;56.58;56.62;56.84;57.02;56.54;56.76;56.7593;"443283";"25,160,343.1";"1800"
2025-11-19;56.60;56.64;56.84;56.98;56.38;56.38;56.4367;"383695";"21,655,160.51";"1503"
2025-11-18;56.98;57.04;57.56;57.56;56.84;56.88;56.9537;"255314";"14,541,389.46";"1299"
2025-11-17;57.90;57.94;58.42;58.46;57.78;57.84;57.8759;"291614";"16,877,499.13";"1309"
