sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;10.31;10.33;10.39;10.39;10.26;10.29;10.302;"329368";"3,393,142.28";844
2026-01-12;10.36;10.37;10.35;10.40;10.26;10.36;10.3461;"269711";"2,790,258.62";799
2026-01-09;10.33;10.35;10.46;10.46;10.24;10.35;10.3161;"407695";"4,206,022.9";965
2026-01-08;10.46;10.47;10.42;10.53;10.32;10.45;10.4606;"332580";"3,478,972.03";660
2026-01-07;10.36;10.38;10.20;10.47;10.16;10.42;10.3858;"425791";"4,422,177.08";"1030"
2026-01-05;10.06;10.07;10.08;10.10;9.95;10.09;10.0421;"277391";"2,785,584.02";699
2026-01-02;10.07;10.09;10.28;10.28;10.07;10.08;10.116;"440754";"4,458,681.92";924
2025-12-30;10.21;10.23;10.13;10.24;10.10;10.23;10.1879;"295661";"3,012,163.84";675
2025-12-29;10.13;10.15;10.02;10.19;10.01;10.16;10.1326;"239754";"2,429,371.79";618
2025-12-23;10.00;10.02;9.935;10.04;9.93;10.02;9.9901;"641292";"6,406,516.68";981
2025-12-22;9.94;9.95;10.08;10.08;9.915;9.94;9.955;"413093";"4,112,346.76";937
2025-12-19;10.09;10.11;10.19;10.22;10.06;10.08;10.0972;"496176";"5,009,955.67";762
2025-12-18;10.15;10.17;10.04;10.19;10.01;10.19;10.1426;"438156";"4,444,236.98";780
2025-12-17;10.02;10.04;10.03;10.07;9.96;10.05;10.0348;"532458";"5,343,096.33";"1059"
2025-12-16;9.975;9.99;9.94;10.01;9.915;9.99;9.9777;"397542";"3,966,531.84";755
2025-12-15;9.95;9.96;10.15;10.15;9.94;9.94;10.0183;"363345";"3,640,118.08";857
2025-12-12;10.08;10.10;10.09;10.16;10.06;10.08;10.0994;"450837";"4,554,762.37";901
2025-12-11;10.12;10.14;10.25;10.25;10.08;10.13;10.1259;"451188";"4,568,634.59";837
2025-12-10;10.26;10.28;10.22;10.29;10.18;10.25;10.2489;"235854";"2,417,240.29";540
2025-12-09;10.20;10.21;10.30;10.34;10.19;10.22;10.253;"300558";"3,081,708.04";618
2025-12-08;10.29;10.31;10.44;10.45;10.29;10.30;10.3493;"248589";"2,573,037.99";641
2025-12-05;10.45;10.47;10.54;10.56;10.40;10.44;10.4759;"434170";"4,548,359";612
2025-12-04;10.55;10.56;10.33;10.59;10.31;10.54;10.514;"278725";"2,930,284.35";695
2025-12-03;10.27;10.29;10.28;10.37;10.26;10.31;10.3076;"333248";"3,434,945.31";911
2025-12-02;10.25;10.26;10.44;10.44;10.23;10.28;10.3245;"1055707";"10,900,309.95";993
2025-12-01;10.41;10.42;10.56;10.57;10.38;10.44;10.4437;"342304";"3,574,765.05";757
2025-11-28;10.58;10.60;10.69;10.72;10.55;10.59;10.5906;"303039";"3,209,353.25";549
2025-11-27;10.65;10.67;10.57;10.69;10.52;10.69;10.638;"362806";"3,858,887.84";624
2025-11-26;10.55;10.56;10.56;10.59;10.48;10.54;10.5402;"284621";"2,999,964";614
2025-11-25;10.61;10.63;10.68;10.70;10.54;10.58;10.6002;"193063";"2,046,511.65";660
2025-11-24;10.65;10.67;10.56;10.69;10.50;10.64;10.6239;"903234";"9,593,338.02";640
2025-11-21;10.43;10.45;10.38;10.50;10.35;10.49;10.4475;"581424";"6,074,374.12";716
2025-11-20;10.40;10.41;10.38;10.51;10.36;10.38;10.4207;"219009";"2,282,225.67";714
2025-11-19;10.38;10.40;10.34;10.45;10.29;10.36;10.3524;"243543";"2,520,948.13";685
2025-11-18;10.35;10.37;10.43;10.43;10.32;10.36;10.3702;"233966";"2,428,258.15";521
2025-11-17;10.46;10.48;10.49;10.58;10.46;10.49;10.5078;"300674";"3,159,407.96";769
2025-11-14;10.50;10.52;10.49;10.54;10.42;10.53;10.5131;"186144";"1,956,913.2";483
2025-11-13;10.58;10.60;10.47;10.60;10.43;10.60;10.5651;"153964";"1,626,589.45";468
2025-11-12;10.46;10.47;10.45;10.54;10.38;10.47;10.457;"276951";"2,896,081.2";776
2025-11-11;10.53;10.55;10.41;10.58;10.38;10.58;10.5283;"198948";"2,094,582.93";522
2025-11-10;10.46;10.48;10.60;10.64;10.41;10.44;10.4812;"170147";"1,783,390.64";472
2025-11-07;10.58;10.59;10.60;10.64;10.54;10.61;10.5904;"179781";"1,903,930.19";501
2025-11-06;10.60;10.63;10.60;10.64;10.35;10.60;10.5506;"287753";"3,036,260.17";731
2025-11-05;10.36;10.38;10.42;10.50;10.34;10.34;10.3884;"251587";"2,613,587.83";651
2025-11-04;10.44;10.46;10.53;10.54;10.40;10.46;10.464;"295689";"3,094,096.31";824
2025-11-03;10.51;10.53;10.53;10.61;10.43;10.54;10.517;"365916";"3,848,380.64";881
2025-10-31;10.50;10.51;10.50;10.64;10.45;10.51;10.5257;"507848";"5,345,788.3";888
2025-10-30;10.50;10.54;10.43;10.97;10.32;10.49;10.5657;"660622";"6,981,172.28";"1748"
2025-10-29;10.40;10.42;10.25;10.42;10.16;10.40;10.3691;"397671";"4,123,635.99";848
2025-10-28;10.31;10.33;10.36;10.45;10.26;10.26;10.3116;"303787";"3,132,758.18";803
2025-10-27;10.39;10.41;10.50;10.55;10.31;10.39;10.3874;"229657";"2,385,325.77";702
2025-10-24;10.46;10.48;10.57;10.63;10.34;10.48;10.4424;"438932";"4,583,355.48";865
2025-10-23;10.59;10.60;10.65;10.70;10.57;10.60;10.616;"374333";"3,974,161.15";"1048"
2025-10-22;10.67;10.68;10.67;10.71;10.57;10.67;10.662;"242384";"2,584,328.74";660
2025-10-21;10.59;10.60;10.54;10.63;10.51;10.60;10.5879;"383238";"4,057,877.85";915
2025-10-20;10.54;10.55;10.50;10.62;10.45;10.54;10.5238;"302411";"3,182,127.25";807
2025-10-17;10.54;10.56;10.65;10.66;10.48;10.59;10.5663;"362505";"3,830,682.84";899
2025-10-16;10.66;10.68;10.66;10.67;10.57;10.65;10.6234;"238896";"2,537,346.88";671
2025-10-15;10.68;10.70;10.70;10.78;10.60;10.66;10.6617;"198464";"2,115,959.06";678
2025-10-14;10.71;10.73;10.58;10.86;10.58;10.72;10.7416;"278067";"2,986,946.4";952
2025-10-13;10.59;10.61;10.41;10.62;10.37;10.58;10.5422;"242278";"2,553,659.65";757
2025-10-10;10.38;10.40;10.26;10.50;10.26;10.41;10.4187;"265966";"2,771,449.34";798
2025-10-09;10.25;10.27;10.27;10.36;10.20;10.26;10.2714;"248111";"2,548,609.47";681
2025-10-08;10.26;10.28;10.30;10.37;10.23;10.26;10.2919;"255572";"2,630,515.08";848
2025-10-07;10.31;10.33;10.30;10.41;10.28;10.29;10.3149;"300847";"3,103,298.22";532
2025-10-06;10.37;10.39;10.45;10.48;10.28;10.34;10.3565;"273212";"2,829,411.63";669
2025-10-03;10.45;10.46;10.45;10.54;10.37;10.46;10.452;"339771";"3,551,027.15";813
2025-10-02;10.50;10.51;10.71;10.72;10.44;10.44;10.5066;"438538";"4,609,671.3";802
2025-10-01;10.68;10.69;10.83;10.89;10.64;10.65;10.7444;"571160";"6,137,615.02";955
2025-09-30;10.86;10.88;10.75;10.87;10.64;10.85;10.7439;"528527";"5,679,295.06";636
2025-09-29;10.73;10.75;10.42;10.75;10.42;10.71;10.6435;"221731";"2,360,038.31";672
2025-09-26;10.42;10.43;10.41;10.46;10.28;10.42;10.3899;"200379";"2,081,869.92";649
2025-09-25;10.43;10.45;10.56;10.57;10.39;10.41;10.4546;"217480";"2,273,693.92";699
2025-09-24;10.56;10.57;10.57;10.60;10.50;10.57;10.5591;"192564";"2,033,240.63";549
