sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;7.00;7.006;6.94;7.02;6.94;7.018;7.0037;"904262";"6,333,028.36";"1659"
2026-01-12;6.924;6.932;6.97;6.97;6.88;6.94;6.9232;"758211";"5,248,938.3";"1903"
2026-01-09;6.954;6.96;7.01;7.028;6.918;6.97;6.9592;"759699";"5,286,836.68";"1699"
2026-01-08;6.998;7.004;6.974;7.026;6.964;6.992;6.9972;"792003";"5,541,809.16";"1749"
2026-01-07;6.964;6.966;7.056;7.10;6.92;6.974;7.0053;"1246600";"8,733,159.56";"2764"
2026-01-05;7.00;7.002;6.96;7.008;6.848;7.008;6.9437;"915629";"6,357,479.47";"2314"
2026-01-02;6.904;6.908;6.90;6.978;6.89;6.922;6.9266;"1032534";"7,152,663.66";"2210"
2025-12-30;6.886;6.89;6.838;6.90;6.83;6.884;6.8716;"770040";"5,291,444.87";"2004"
2025-12-29;6.814;6.818;6.806;6.828;6.798;6.824;6.8159;"629040";"4,287,450.51";"1698"
2025-12-23;6.802;6.806;6.78;6.802;6.766;6.79;6.788;"503193";"3,416,047.61";"1101"
2025-12-22;6.772;6.776;6.716;6.78;6.692;6.78;6.7454;"539205";"3,637,071.97";"1471"
2025-12-19;6.71;6.716;6.706;6.74;6.682;6.716;6.7163;"1261590";"8,473,465.8";"2012"
2025-12-18;6.702;6.708;6.622;6.71;6.62;6.708;6.6869;"1124698";"7,519,596.46";"1639"
2025-12-17;6.614;6.62;6.62;6.672;6.59;6.612;6.6189;"1063274";"7,037,839.42";"1585"
2025-12-16;6.616;6.62;6.554;6.62;6.538;6.62;6.596;"773035";"5,098,673.5";"1371"
2025-12-15;6.552;6.558;6.54;6.576;6.51;6.554;6.5449;"856187";"5,603,121.94";"2504"
2025-12-12;6.506;6.512;6.572;6.594;6.508;6.516;6.5532;"1127265";"7,387,192.23";"1418"
2025-12-11;6.57;6.576;6.604;6.618;6.56;6.56;6.5748;"619320";"4,072,124.52";"1129"
2025-12-10;6.606;6.61;6.596;6.624;6.552;6.604;6.5971;"649827";"4,286,634.32";"1283"
2025-12-09;6.594;6.598;6.534;6.614;6.524;6.59;6.5845;"622644";"4,099,836.02";"1163"
2025-12-08;6.526;6.532;6.542;6.61;6.526;6.532;6.562;"1070268";"7,022,799.08";"2450"
2025-12-05;6.524;6.528;6.546;6.576;6.51;6.534;6.5359;"418236";"2,733,588";"1068"
2025-12-04;6.538;6.544;6.43;6.554;6.414;6.554;6.4952;"889898";"5,779,948.88";"1676"
2025-12-03;6.414;6.418;6.42;6.50;6.382;6.43;6.4426;"1103308";"7,108,479.49";"1981"
2025-12-02;6.406;6.414;6.456;6.458;6.40;6.41;6.4172;"906460";"5,816,950.08";"1943"
2025-12-01;6.45;6.456;6.494;6.50;6.416;6.452;6.452;"833766";"5,378,612.38";"1859"
2025-11-28;6.468;6.47;6.536;6.548;6.46;6.484;6.4836;"777458";"5,040,610";"1355"
2025-11-27;6.516;6.524;6.586;6.606;6.478;6.52;6.5207;"862464";"5,623,284.67";"1628"
2025-11-26;6.508;6.512;6.504;6.53;6.448;6.522;6.502;"999831";"6,500,581.2";"2076"
2025-11-25;6.466;6.47;6.43;6.486;6.392;6.478;6.452;"723681";"4,668,968.78";"1712"
2025-11-24;6.40;6.406;6.366;6.42;6.288;6.412;6.3841;"849410";"5,422,215.97";"1858"
2025-11-21;6.276;6.282;6.37;6.372;6.264;6.308;6.31;"1003807";"6,334,080.51";"2051"
2025-11-20;6.39;6.396;6.362;6.434;6.36;6.388;6.391;"710227";"4,539,281.01";"1586"
2025-11-19;6.312;6.32;6.268;6.354;6.236;6.302;6.3046;"698736";"4,405,427.34";"1333"
2025-11-18;6.262;6.272;6.306;6.306;6.24;6.268;6.2697;"578722";"3,628,428.13";"1390"
2025-11-17;6.364;6.372;6.442;6.442;6.346;6.36;6.374;"659031";"4,200,749.33";"1523"
2025-11-14;6.412;6.418;6.524;6.524;6.366;6.442;6.4295;"668110";"4,295,024.75";"1645"
2025-11-13;6.514;6.52;6.50;6.572;6.48;6.53;6.5286;"755978";"4,935,284.73";"1441"
2025-11-12;6.436;6.442;6.42;6.53;6.41;6.44;6.4496;"1117190";"7,205,689.79";"2129"
2025-11-11;6.382;6.388;6.25;6.508;6.25;6.412;6.3868;"2202751";"14,068,106.94";"3650"
2025-11-10;6.066;6.074;6.05;6.084;5.99;6.056;6.0561;"731181";"4,428,347.92";"1693"
2025-11-07;6.036;6.042;6.03;6.074;5.98;6.048;6.032;"578800";"3,491,265.13";"1323"
2025-11-06;6.02;6.026;6.046;6.06;6.014;6.03;6.0319;"404403";"2,439,333.29";"1328"
2025-11-05;6.036;6.042;6.05;6.05;5.976;6.046;6.0249;"780129";"4,699,832.76";"1564"
2025-11-04;6.078;6.08;6.32;6.32;6.07;6.07;6.1091;"1063440";"6,496,579.83";"2142"
2025-11-03;6.304;6.312;6.226;6.328;6.222;6.324;6.3055;"828338";"5,222,921.46";"1468"
2025-10-31;6.216;6.218;6.208;6.27;6.188;6.222;6.2234;"1011158";"6,292,934.94";"1864"
2025-10-30;6.19;6.196;6.19;6.21;6.14;6.194;6.1794;"502742";"3,106,544.37";"1405"
2025-10-29;6.182;6.188;6.16;6.198;6.11;6.186;6.1752;"911323";"5,627,475.44";"1824"
2025-10-28;6.144;6.148;6.13;6.15;6.05;6.15;6.1217;"443770";"2,716,481.65";"1291"
2025-10-27;6.124;6.128;6.08;6.128;6.056;6.12;6.0921;"812382";"4,949,084.21";"1533"
2025-10-24;6.06;6.066;6.028;6.07;5.968;6.07;6.0378;"658547";"3,975,832.51";"1177"
2025-10-23;6.01;6.014;5.926;6.04;5.926;6.028;6.0058;"796523";"4,783,435.08";"1400"
2025-10-22;5.906;5.914;5.93;5.948;5.87;5.926;5.9208;"939584";"5,563,048.6";900
2025-10-21;5.916;5.922;5.89;5.946;5.88;5.922;5.9196;"460670";"2,726,998.71";"1197"
2025-10-20;5.87;5.876;5.826;5.88;5.826;5.88;5.8669;"394128";"2,312,302.22";938
2025-10-17;5.802;5.806;5.908;5.908;5.774;5.818;5.813;"667080";"3,877,569.62";"1527"
2025-10-16;5.908;5.914;5.902;5.934;5.872;5.922;5.9074;"439181";"2,594,162.46";"1062"
2025-10-15;5.91;5.916;5.95;5.972;5.902;5.902;5.9184;"447994";"2,651,525.56";"1065"
2025-10-14;5.938;5.944;5.87;5.946;5.84;5.938;5.9122;"552033";"3,263,602.23";"1159"
2025-10-13;5.874;5.876;5.89;5.922;5.846;5.88;5.8783;"470591";"2,766,290.39";"1448"
2025-10-10;5.896;5.904;5.864;5.93;5.86;5.894;5.8922;"371456";"2,188,684.74";"1155"
2025-10-09;5.86;5.864;5.778;5.886;5.776;5.866;5.8574;"639790";"3,747,331.01";"1061"
2025-10-08;5.788;5.794;5.818;5.84;5.776;5.776;5.7918;"329206";"1,906,774.13";857
2025-10-07;5.818;5.824;5.754;5.826;5.726;5.818;5.7957;"451974";"2,619,405.41";"1134"
2025-10-06;5.75;5.754;5.712;5.758;5.688;5.742;5.7335;"624082";"3,578,330.13";"1370"
2025-10-03;5.706;5.714;5.73;5.766;5.654;5.716;5.7107;"573533";"3,275,319.02";"1136"
2025-10-02;5.718;5.722;5.71;5.748;5.692;5.73;5.726;"549901";"3,148,398.2";"1058"
2025-10-01;5.72;5.724;5.708;5.73;5.618;5.706;5.6889;"588499";"3,347,962.53";"1276"
