sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;5.36;5.42;5.50;5.72;5.30;5.42;5.5388;"6745";"37,371.14";63
2026-01-12;5.42;5.46;5.22;5.48;5.22;5.42;5.3849;"4176";"22,486.15";46
2026-01-09;5.22;5.28;5.20;5.30;5.20;5.22;5.2336;"1329";"6,955.42";34
2026-01-08;5.18;5.28;5.28;5.28;4.95;5.20;5.1183;"6738";"34,487.17";69
2026-01-07;5.20;5.30;4.87;5.30;4.87;5.30;5.2017;"8327";"43,311.7";77
2026-01-05;4.84;4.86;4.80;4.90;4.80;4.86;4.8565;"6892";"33,474.81";70
2026-01-02;4.59;4.79;4.39;4.75;4.39;4.75;4.5708;"15180";"69,384.97";76
2025-12-30;4.27;4.36;4.22;4.38;4.18;4.36;4.2588;"12778";"54,418.72";98
2025-12-29;4.22;4.25;4.27;4.32;4.18;4.25;4.2406;"15036";"63,762.04";137
2025-12-23;4.27;4.33;4.28;4.36;4.25;4.27;4.2765;"10807";"46,216.37";59
2025-12-22;4.24;4.28;4.35;4.35;4.22;4.28;4.2531;"8873";"37,737.92";66
2025-12-19;4.40;4.43;4.50;4.55;4.25;4.40;4.4388;"12572";"55,805.12";97
2025-12-18;4.40;4.49;4.36;4.48;4.36;4.40;4.379;713;"3,122.21";15
2025-12-17;4.37;4.43;4.34;4.43;4.20;4.36;4.3449;"4371";"18,991.75";50
2025-12-16;4.25;4.34;4.25;4.35;4.24;4.25;4.2611;"8457";"36,037.16";42
2025-12-15;4.25;4.29;4.30;4.30;4.11;4.25;4.2449;"8000";"33,959.2";61
2025-12-12;4.33;4.38;4.47;4.50;4.10;4.33;4.2835;"17666";"75,672.05";81
2025-12-11;4.42;4.46;4.45;4.50;4.40;4.46;4.4157;"5679";"25,077.7";30
2025-12-10;4.40;4.45;4.45;4.45;4.34;4.45;4.4095;"1843";"8,126.72";24
2025-12-09;4.46;4.49;4.59;4.63;4.46;4.46;4.5257;"1501";"6,793.31";26
2025-12-08;4.47;4.59;4.70;4.70;4.46;4.46;4.6021;"2522";"11,606.46";44
2025-12-05;4.69;4.75;4.65;4.70;4.64;4.70;4.6881;"2271";"10,646.67";26
2025-12-04;4.57;4.64;4.58;4.64;4.52;4.64;4.5654;"1860";"8,491.63";20
2025-12-03;4.51;4.59;4.55;4.60;4.45;4.58;4.5285;"3719";"16,841.41";37
2025-12-02;4.50;4.55;4.53;4.55;4.34;4.55;4.4954;"2358";"10,600.24";33
2025-12-01;4.44;4.53;4.41;4.53;4.41;4.53;4.4643;"2603";"11,620.54";34
2025-11-28;4.34;4.40;4.41;4.45;4.34;4.40;4.3864;"1493";"6,548.89";32
2025-11-27;4.33;4.41;4.42;4.42;4.34;4.41;4.376;"1966";"8,603.2";28
2025-11-26;4.34;4.42;4.19;4.49;4.19;4.42;4.3092;"2006";"8,644.28";36
2025-11-25;4.27;4.35;4.35;4.39;4.21;4.21;4.3218;"1419";"6,132.66";31
2025-11-24;4.35;4.40;4.34;4.47;4.34;4.35;4.3895;"1166";"5,118.16";22
2025-11-21;4.22;4.32;4.23;4.34;4.11;4.33;4.2063;"1658";"6,974.05";37
2025-11-20;4.23;4.31;4.30;4.30;4.20;4.23;4.2555;"3478";"14,800.58";41
2025-11-19;4.31;4.38;4.32;4.48;4.31;4.31;4.3277;"5904";"25,550.81";30
2025-11-18;4.20;4.31;4.50;4.50;4.24;4.31;4.3328;"6062";"26,265.71";47
2025-11-17;4.50;4.55;4.66;4.68;4.50;4.50;4.5812;"1403";"6,427.45";48
2025-11-14;4.65;4.66;4.65;4.66;4.51;4.66;4.6433;"1713";"7,954";26
2025-11-13;4.65;4.69;4.50;4.69;4.50;4.69;4.6071;"1126";"5,187.61";21
2025-11-12;4.47;4.49;4.52;4.53;4.47;4.49;4.503;"2017";"9,082.61";35
2025-11-11;4.52;4.53;4.52;4.56;4.52;4.53;4.5378;"1203";"5,458.93";22
2025-11-10;4.50;4.52;4.51;4.60;4.47;4.52;4.5267;"1354";"6,129.1";33
2025-11-07;4.47;4.51;4.57;4.61;4.50;4.51;4.5464;"2238";"10,174.87";28
2025-11-06;4.59;4.60;4.61;4.61;4.55;4.59;4.597;596;"2,739.8";12
2025-11-05;4.62;4.73;4.69;4.73;4.54;4.62;4.5875;958;"4,394.78";17
2025-11-04;4.69;4.74;4.75;4.75;4.61;4.74;4.7386;"1219";"5,776.3";19
2025-11-03;4.75;4.78;4.76;4.78;4.75;4.75;4.7586;597;"2,840.89";21
2025-10-31;4.70;4.75;4.66;4.79;4.60;4.75;4.742;"1978";"9,379.71";36
2025-10-30;4.66;4.79;4.80;4.80;4.65;4.65;4.6932;"2202";"10,334.49";27
2025-10-29;4.80;4.86;4.90;4.90;4.79;4.80;4.8735;"3054";"14,882.46";40
2025-10-28;4.79;4.88;4.80;4.89;4.65;4.89;4.7785;"4119";"19,681.69";52
2025-10-27;4.63;4.75;4.53;4.80;4.53;4.80;4.6149;"5894";"27,199.7";52
2025-10-24;4.44;4.50;4.50;4.52;4.37;4.52;4.4327;"3947";"17,430.62";37
2025-10-23;4.46;4.51;4.28;4.56;4.28;4.52;4.4556;"6701";"29,871.92";56
2025-10-22;4.27;4.28;4.20;4.28;4.20;4.28;4.2487;"1686";"7,163.28";33
2025-10-21;4.20;4.29;4.28;4.30;4.11;4.29;4.1997;"6970";"29,258.67";63
2025-10-20;4.31;4.38;4.50;4.57;4.28;4.28;4.4491;"5204";"23,159.27";63
2025-10-17;4.50;4.65;4.76;4.76;4.49;4.49;4.60;"5076";"23,349.48";54
2025-10-16;4.76;4.80;4.80;4.85;4.75;4.76;4.7935;"1146";"5,493.32";25
2025-10-15;4.84;4.93;4.84;4.87;4.80;4.80;4.8452;"1796";"8,702";24
2025-10-14;4.80;4.84;4.84;4.84;4.75;4.84;4.8015;385;"1,848.58";19
2025-10-13;4.85;4.91;4.75;4.93;4.75;4.85;4.8201;"3645";"17,570.84";43
2025-10-10;4.75;4.84;4.80;4.84;4.75;4.75;4.7798;"4143";"19,804.01";48
2025-10-09;4.93;4.94;4.90;4.94;4.79;4.93;4.9075;"3731";"18,299.02";40
2025-10-08;4.88;4.90;4.97;4.97;4.78;4.89;4.8471;"5254";"25,466.04";45
2025-10-07;4.85;4.96;4.97;5.00;4.85;4.96;4.916;"2311";"11,369.73";35
2025-10-06;4.91;4.97;4.98;5.06;4.79;4.97;4.9062;"12614";"61,893.59";92
2025-10-03;5.08;5.18;5.06;5.22;5.02;5.20;5.0966;"2753";"14,030.94";47
2025-10-02;5.06;5.10;5.18;5.24;5.00;5.06;5.1235;"4193";"21,469.81";49
2025-10-01;5.16;5.18;5.18;5.18;5.10;5.18;5.1659;"2718";"14,040.18";30
2025-09-30;5.18;5.20;5.22;5.24;5.14;5.18;5.1815;"1945";"10,078.06";32
2025-09-29;5.24;5.30;5.24;5.38;5.24;5.24;5.3081;"2419";"12,840.58";29
2025-09-26;5.18;5.30;5.22;5.30;5.22;5.24;5.2493;"2073";"10,881.78";25
2025-09-25;5.22;5.34;5.40;5.40;5.22;5.22;5.2573;"7168";"37,684.36";43
2025-09-24;5.28;5.30;5.34;5.40;5.24;5.30;5.30;"7400";"39,220.08";38
2025-09-23;5.34;5.46;5.36;5.48;5.30;5.40;5.4091;"1920";"10,385.56";22
2025-09-22;5.36;5.48;5.32;5.54;5.32;5.36;5.4585;"1759";"9,601.54";40
2025-09-19;5.32;5.34;5.40;5.54;5.26;5.34;5.3723;"1900";"10,207.44";37
2025-09-18;5.40;5.48;5.68;5.68;5.40;5.40;5.4846;"1580";"8,665.74";23
2025-09-17;5.54;5.64;5.52;5.64;5.52;5.64;5.5437;"12140";"67,299.94";22
2025-09-16;5.50;5.52;5.58;5.58;5.48;5.52;5.5263;"1321";"7,300.2";25
2025-09-15;5.54;5.56;5.50;5.56;5.50;5.54;5.5427;980;"5,431.88";23
2025-09-12;5.44;5.50;5.46;5.64;5.44;5.44;5.5546;"2131";"11,836.82";16
2025-09-11;5.52;5.56;5.42;5.56;5.42;5.44;5.5185;776;"4,282.36";26
2025-09-10;5.42;5.62;5.62;5.64;5.40;5.40;5.4873;"1384";"7,594.44";24
2025-09-09;5.54;5.58;5.60;5.62;5.40;5.62;5.5437;871;"4,828.52";23
2025-09-08;5.48;5.54;5.40;5.62;5.40;5.62;5.4431;472;"2,569.12";15
2025-09-05;5.40;5.46;5.38;5.54;5.36;5.40;5.4684;"1129";"6,173.84";20
2025-09-04;5.30;5.38;5.32;5.42;5.30;5.30;5.3304;977;"5,207.84";21
2025-09-03;5.28;5.32;5.34;5.48;5.24;5.24;5.3134;"3743";"19,888.22";32
2025-09-02;5.50;5.64;5.50;5.52;5.44;5.50;5.4876;448;"2,462.62";18
2025-09-01;5.42;5.60;5.80;5.80;5.44;5.50;5.5947;949;"5,296.52";35
2025-08-29;5.34;5.60;5.50;5.60;5.34;5.50;5.4819;"3371";"18,479.5";34
2025-08-28;5.40;5.48;5.30;5.46;5.30;5.40;5.3794;"1205";"6,486.42";18
2025-08-27;5.30;5.48;5.56;5.64;5.28;5.28;5.4198;"4258";"23,077.62";39
2025-08-26;5.42;5.58;5.60;5.60;5.38;5.58;5.4601;"2276";"12,427.22";22
2025-08-25;5.48;5.58;5.52;5.72;5.52;5.62;5.6002;"5325";"29,819.7";49
2025-08-22;5.44;5.48;5.34;5.52;5.26;5.52;5.3689;"3287";"17,651.88";37
2025-08-21;5.26;5.30;5.34;5.34;5.24;5.32;5.2605;"2882";"15,162.78";33
2025-08-20;5.36;5.48;5.36;5.50;5.36;5.36;5.3783;"2131";"11,461.1";15
2025-08-19;5.28;5.34;5.38;5.38;5.30;5.34;5.36;"1346";"7,214.5";17
2025-08-18;5.36;5.40;5.32;5.40;5.26;5.40;5.3251;651;"3,466.2";31
2025-08-15;5.28;5.44;5.38;5.44;5.26;5.32;5.3445;"3801";"20,314.52";36
2025-08-14;5.38;5.52;5.30;5.54;5.30;5.38;5.375;888;"4,773.02";30
2025-08-13;5.32;5.38;5.46;5.46;5.32;5.32;5.3651;"2587";"13,880.99";29
2025-08-12;5.46;5.50;5.54;5.54;5.32;5.46;5.4359;965;"5,245.66";21
2025-08-11;5.40;5.54;5.54;5.54;5.30;5.54;5.4823;"1715";"9,402.14";37
2025-08-08;5.52;5.58;5.54;5.62;5.42;5.58;5.512;"1736";"9,568.8";24
2025-08-07;5.48;5.54;5.58;5.58;5.38;5.44;5.4724;"2662";"14,566.98";36
2025-08-06;5.64;5.70;5.54;5.66;5.52;5.66;5.541;866;"4,798.54";17
2025-08-05;5.58;5.60;5.48;5.56;5.40;5.56;5.5014;"2640";"14,523.7";38
2025-08-04;5.40;5.52;5.30;5.56;5.30;5.52;5.3744;855;"4,595.14";30
2025-08-01;5.30;5.46;5.60;5.60;5.24;5.28;5.3186;"5595";"29,757.78";54
2025-07-31;5.62;5.76;5.46;5.88;5.46;5.62;5.7146;"5632";"32,184.62";51
2025-07-30;5.46;5.48;5.50;5.50;5.38;5.46;5.446;"3202";"17,438.14";27
2025-07-29;5.50;5.64;5.76;5.76;5.50;5.50;5.5518;"4678";"25,971.52";44
2025-07-28;5.82;5.84;5.82;5.86;5.82;5.82;5.8401;"1291";"7,539.54";17
2025-07-25;5.82;5.88;5.76;5.88;5.76;5.82;5.8167;"1377";"8,009.56";23
2025-07-24;5.66;5.76;5.56;5.92;5.56;5.76;5.7877;"6983";"40,415.54";46
2025-07-23;5.54;5.74;5.64;5.74;5.54;5.54;5.581;"1896";"10,581.66";24
2025-07-22;5.60;5.74;5.82;5.82;5.62;5.64;5.7273;830;"4,750.57";21
2025-07-21;5.52;5.78;5.52;5.84;5.52;5.78;5.6184;"1464";"8,225.33";36
2025-07-18;5.50;5.58;5.60;5.74;5.50;5.50;5.6069;"1724";"9,666.26";21
2025-07-17;5.58;5.64;5.66;5.66;5.58;5.58;5.6259;75;421.94;3
2025-07-16;5.58;5.64;5.76;5.76;5.58;5.64;5.6535;"1454";"8,220.16";23
2025-07-15;5.66;5.74;5.72;5.76;5.54;5.66;5.6584;"3436";"19,442.24";41
2025-07-14;5.70;5.72;5.70;5.72;5.54;5.72;5.6576;"2611";"14,772.08";19
2025-07-11;5.52;5.68;5.64;5.68;5.52;5.68;5.6108;"1053";"5,908.2";11
2025-07-10;5.64;5.72;5.56;5.72;5.56;5.64;5.6951;"2112";"12,028.06";22
2025-07-09;5.44;5.50;5.48;5.66;5.32;5.66;5.4662;"1637";"8,948.12";24
2025-07-08;5.50;5.58;5.50;5.60;5.22;5.50;5.405;"1543";"8,340.46";32
2025-07-07;5.40;5.50;5.42;5.48;5.18;5.40;5.3918;"4038";"21,773.3";47
2025-07-04;5.50;5.62;5.78;5.78;5.42;5.54;5.564;"4211";"23,430.06";32
2025-07-03;5.68;5.76;5.74;5.76;5.74;5.74;5.7423;321;"1,843.28";16
2025-07-02;5.70;5.74;5.72;5.78;5.70;5.74;5.7086;"5115";"29,198.83";32
2025-07-01;5.68;5.74;5.66;5.96;5.66;5.68;5.7495;"1600";"9,199.14";32
2025-06-30;5.64;5.68;5.58;5.70;5.58;5.64;5.6236;"4330";"24,350";51
2025-06-27;5.52;5.58;5.44;5.66;5.32;5.58;5.4344;"4405";"23,938.64";37
2025-06-26;5.40;5.48;5.52;5.52;5.38;5.48;5.435;779;"4,233.9";19
2025-06-25;5.22;5.30;5.38;5.56;5.16;5.28;5.2825;"7576";"40,019.36";60
2025-06-24;5.32;5.38;5.48;5.58;5.32;5.32;5.3953;"1713";"9,242.12";24
2025-06-23;5.42;5.56;5.58;5.72;5.40;5.40;5.5614;"1686";"9,376.48";23
2025-06-19;5.42;5.60;5.36;5.68;5.36;5.58;5.4557;"1023";"5,581.16";28
2025-06-18;5.36;5.48;5.40;5.64;5.30;5.48;5.3837;"2715";"14,616.72";25
2025-06-17;5.50;5.56;5.70;5.70;5.42;5.56;5.5174;720;"3,972.56";20
2025-06-16;5.40;5.70;5.50;5.72;5.38;5.72;5.5111;888;"4,893.82";31
2025-06-13;5.44;5.58;5.62;5.80;5.44;5.58;5.6593;538;"3,044.68";20
2025-06-12;5.50;5.62;5.66;5.70;5.38;5.62;5.6484;"2355";"13,301.94";36
2025-06-11;5.66;5.70;5.34;5.76;5.34;5.66;5.5581;"4226";"23,488.6";49
2025-06-10;5.38;5.50;5.60;5.68;5.34;5.34;5.6142;"1960";"11,003.86";34
2025-06-09;5.54;5.76;5.54;5.78;5.44;5.52;5.545;"2328";"12,908.82";27
2025-06-06;5.40;5.54;5.54;5.54;5.52;5.54;5.5282;922;"5,097.02";11
2025-06-05;5.48;5.52;5.52;5.74;5.26;5.52;5.4761;"3880";"21,247.2";40
2025-06-04;5.52;5.64;5.50;5.84;5.50;5.64;5.7296;839;"4,807.12";19
2025-06-03;5.48;5.70;5.50;5.70;5.46;5.48;5.5646;"2848";"15,847.9";42
2025-06-02;5.54;5.58;5.58;5.74;5.50;5.54;5.5603;"1201";"6,677.98";31
2025-05-30;5.52;5.72;5.56;5.72;5.52;5.52;5.5538;742;"4,120.92";16
2025-05-28;5.56;5.68;5.72;5.72;5.54;5.56;5.6416;"1068";"6,025.28";22
2025-05-27;5.60;5.70;5.50;5.76;5.38;5.70;5.6068;"1579";"8,853.2";29
2025-05-26;5.26;5.36;5.46;5.70;5.24;5.24;5.3548;"5786";"30,982.64";59
2025-05-23;5.46;5.60;5.76;5.76;5.46;5.46;5.5375;"1401";"7,758.02";31
2025-05-22;5.58;5.60;5.58;5.80;5.58;5.60;5.6217;657;"3,693.46";19
2025-05-21;5.56;5.58;5.58;5.58;5.44;5.58;5.5697;"2000";"11,139.32";22
2025-05-20;5.56;5.58;5.68;5.68;5.48;5.58;5.5103;"2520";"13,886.02";30
2025-05-19;5.62;5.76;5.50;5.76;5.50;5.68;5.5681;877;"4,883.18";24
2025-05-16;5.52;5.64;5.72;5.72;5.50;5.50;5.6458;605;"3,415.72";17
2025-05-15;5.60;5.72;5.80;5.80;5.52;5.72;5.751;"1289";"7,413.02";20
2025-05-14;5.78;5.88;5.76;6.00;5.72;5.78;5.8275;"7340";"42,773.62";59
2025-05-13;5.78;5.92;6.02;6.16;5.96;5.96;5.9956;834;"5,000.34";27
2025-05-12;5.96;6.00;6.02;6.06;5.96;6.02;6.0333;"1917";"11,565.86";28
2025-05-09;5.96;6.02;5.96;6.04;5.94;5.94;5.9896;489;"2,928.92";15
2025-05-08;5.92;5.94;6.00;6.00;5.94;5.94;5.9933;755;"4,524.92";13
2025-05-07;5.80;6.00;6.00;6.00;5.82;6.00;5.9654;608;"3,626.98";21
2025-05-06;6.00;6.005;5.999;6.007;5.635;6.00;5.816;"3425";"19,919.77";46
2025-05-05;5.902;5.999;6.00;6.00;5.801;6.00;5.9474;909;"5,406.24";30
2025-05-02;5.785;5.955;6.007;6.007;5.78;5.999;5.8661;"2397";"14,060.99";47
2025-04-30;5.862;6.00;5.80;6.00;5.799;6.00;5.8973;"2520";"14,861.15";48
2025-04-29;5.60;5.798;5.703;5.864;5.55;5.799;5.7311;"2179";"12,488.02";49
2025-04-28;5.64;5.70;5.799;5.80;5.64;5.70;5.7169;"2717";"15,532.89";49
2025-04-25;5.80;5.829;5.70;5.955;5.70;5.831;5.8123;"1394";"8,102.44";32
2025-04-24;5.656;5.819;5.673;5.846;5.65;5.65;5.7724;"1011";"5,835.88";16
2025-04-23;5.78;5.83;5.76;6.007;5.76;5.78;5.8187;"1145";"6,662.39";23
2025-04-22;5.701;5.76;5.76;5.76;5.585;5.76;5.7163;"1656";"9,466.27";23
2025-04-17;5.764;5.77;5.769;5.77;5.764;5.77;5.7694;"1485";"8,567.52";14
2025-04-16;5.602;5.768;5.821;5.83;5.602;5.77;5.7285;"1442";"8,260.52";39
2025-04-15;5.80;5.82;5.86;5.86;5.80;5.80;5.8165;"1342";"7,805.78";19
2025-04-14;5.817;5.818;5.55;5.82;5.55;5.818;5.7834;"4369";"25,267.53";50
2025-04-11;5.50;5.55;5.62;5.62;5.50;5.55;5.5893;957;"5,348.98";20
2025-04-10;5.62;5.67;5.50;5.78;5.50;5.62;5.6525;"7558";"42,725.53";71
2025-04-09;5.329;5.33;5.739;5.739;5.302;5.33;5.5021;"2985";"16,423.75";53
2025-04-08;5.562;5.739;4.999;5.779;4.999;5.739;5.4881;"4753";"26,085.11";82
2025-04-07;4.885;5.001;5.001;5.173;4.95;4.9985;4.9998;"7069";"35,343.37";129
2025-04-04;4.97;5.00;5.30;5.30;4.99;5.00;5.0808;"3086";"15,679.32";60
2025-04-03;5.24;5.28;5.48;5.48;5.24;5.26;5.3581;"3038";"16,279.08";43
2025-04-02;5.44;5.48;5.50;5.50;5.44;5.48;5.4802;713;"3,907.38";14
2025-04-01;5.44;5.46;5.28;5.56;5.24;5.44;5.3444;"1770";"9,459.6";38
2025-03-31;5.24;5.28;5.32;5.40;5.26;5.26;5.336;"1902";"10,148.94";50
2025-03-28;5.40;5.44;5.50;5.50;5.40;5.40;5.452;"1208";"6,586.02";29
2025-03-27;5.42;5.50;5.56;5.80;5.46;5.50;5.5305;"1600";"8,848.86";24
2025-03-26;5.46;5.56;5.44;5.58;5.44;5.56;5.4852;"1944";"10,663.18";36
2025-03-25;5.44;5.46;5.48;5.50;5.44;5.46;5.4652;"1323";"7,230.4";20
2025-03-24;5.46;5.50;5.74;5.74;5.46;5.50;5.5926;952;"5,324.12";25
2025-03-21;5.60;5.74;5.84;5.84;5.58;5.60;5.6645;"6018";"34,089.22";54
2025-03-20;5.74;5.84;5.56;5.82;5.56;5.74;5.6386;"3172";"17,885.76";36
2025-03-19;5.40;5.50;5.56;5.58;5.34;5.50;5.5048;"3036";"16,712.58";43
2025-03-18;5.54;5.56;5.60;5.60;5.50;5.52;5.5789;"4340";"24,212.58";44
2025-03-17;5.58;5.60;5.60;5.72;5.58;5.60;5.6433;"3378";"19,062.92";35
2025-03-14;5.58;5.66;5.62;5.66;5.60;5.62;5.6312;"2239";"12,609.62";41
2025-03-13;5.62;5.64;5.64;5.64;5.48;5.62;5.599;"4817";"26,970.6";38
2025-03-12;5.46;5.54;5.48;5.66;5.32;5.66;5.4533;"1945";"10,606.68";30
2025-03-11;5.30;5.40;5.66;5.66;5.30;5.42;5.4534;"1081";"5,895.14";26
2025-03-10;5.44;5.46;5.44;5.50;5.36;5.44;5.4182;"3771";"20,432.24";39
2025-03-07;5.44;5.50;5.52;5.52;5.34;5.44;5.4219;920;"4,988.18";14
2025-03-06;5.52;5.60;5.72;5.72;5.48;5.52;5.5311;992;"5,486.82";25
2025-03-05;5.32;5.44;5.30;5.58;5.26;5.44;5.4126;"2837";"15,355.5";47
2025-03-04;5.26;5.30;5.54;5.54;5.26;5.26;5.3565;"1507";"8,072.2";41
2025-03-03;5.50;5.54;5.54;5.62;5.50;5.54;5.5481;"3730";"20,694.4";52
2025-02-28;5.50;5.54;5.70;5.72;5.46;5.54;5.6209;"3624";"20,372.17";66
2025-02-27;5.54;5.58;5.62;5.62;5.58;5.58;5.6081;"2204";"12,358.68";39
2025-02-26;5.60;5.62;5.60;5.62;5.60;5.62;5.6184;"2941";"16,523.82";26
2025-02-25;5.54;5.60;5.62;5.62;5.54;5.54;5.597;"1194";"6,682.82";21
2025-02-24;5.62;5.70;5.60;5.62;5.54;5.62;5.6063;"2514";"14,093.82";31
2025-02-21;5.60;5.62;5.62;5.72;5.60;5.62;5.6106;"3064";"17,190.94";56
2025-02-20;5.62;5.64;5.66;5.68;5.60;5.62;5.6327;"1361";"7,666.56";29
2025-02-19;5.64;5.68;5.64;5.76;5.64;5.64;5.6602;"2823";"15,979.58";48
2025-02-18;5.66;5.74;5.62;5.80;5.62;5.66;5.6961;"3647";"20,773.58";56
2025-02-17;5.62;5.72;5.78;5.78;5.62;5.62;5.7087;"2829";"16,149.98";47
2025-02-14;5.72;5.78;5.76;5.78;5.60;5.78;5.713;"2890";"16,510.64";64
2025-02-13;5.76;5.84;5.72;5.86;5.72;5.84;5.764;"2230";"12,853.64";38
2025-02-12;5.68;5.78;5.80;5.80;5.66;5.74;5.74;"3087";"17,721.29";54
2025-02-11;5.72;5.80;5.96;5.96;5.78;5.80;5.8124;"1965";"11,421.3";34
2025-02-10;5.96;6.00;6.04;6.04;5.84;5.96;5.9326;"5393";"31,994.28";61
2025-02-07;6.00;6.06;6.04;6.16;6.00;6.04;6.0789;"1639";"9,962.64";30
2025-02-06;6.12;6.20;6.34;6.34;6.06;6.20;6.1896;"2272";"14,062.8";40
2025-02-05;6.14;6.22;6.24;6.34;6.20;6.20;6.2517;"1568";"9,802.89";26
2025-02-04;6.16;6.24;6.30;6.38;6.20;6.28;6.2608;"1014";"6,348.46";23
2025-02-03;6.20;6.22;6.22;6.34;6.20;6.22;6.2308;"4701";"29,291.08";55
2025-01-31;6.22;6.24;6.34;6.36;6.20;6.24;6.297;"4885";"30,767.22";47
2025-01-30;6.30;6.32;6.30;6.36;6.30;6.34;6.3342;798;"5,054.03";11
2025-01-29;6.24;6.30;6.32;6.32;6.22;6.26;6.28;"1298";"8,151.57";21
2025-01-28;6.28;6.30;6.36;6.36;6.30;6.30;6.3274;"2552";"16,147.4";28
2025-01-27;6.26;6.32;6.28;6.36;6.24;6.32;6.2738;"3311";"20,772.46";47
2025-01-24;6.32;6.36;6.28;6.36;6.20;6.32;6.3241;"2874";"18,175.5";37
2025-01-23;6.20;6.28;6.34;6.34;6.16;6.28;6.1892;"3103";"19,204.94";29
2025-01-22;6.26;6.34;6.62;6.72;6.14;6.34;6.38;"5336";"34,043.64";85
2025-01-21;6.58;6.62;6.30;6.64;6.30;6.56;6.4677;"6074";"39,284.8";40
2025-01-20;6.64;6.74;6.90;7.06;6.42;6.64;6.6753;"3198";"21,347.6";87
2025-01-17;6.84;6.90;7.32;7.32;6.76;6.90;6.9496;"3495";"24,288.88";75
2025-01-16;7.24;7.34;6.70;7.38;6.64;7.34;7.0176;"2858";"20,056.42";65
2025-01-15;6.60;6.70;6.68;6.68;6.56;6.62;6.6491;"1010";"6,715.6";35
2025-01-14;6.62;6.68;6.68;6.70;6.54;6.54;6.6314;405;"2,685.72";21
2025-01-13;6.70;6.74;6.62;6.74;6.62;6.74;6.6718;"1166";"7,779.36";30
2025-01-10;6.62;6.66;6.76;6.76;6.60;6.62;6.6815;"1969";"13,155.82";34
2025-01-09;6.78;6.84;6.82;6.88;6.64;6.78;6.7496;"2407";"16,246.4";43
2025-01-08;6.82;6.84;6.84;6.98;6.82;6.82;6.9111;"4037";"27,901.68";81
2025-01-07;6.66;6.82;6.10;6.92;6.10;6.84;6.5421;"7604";"49,745.84";145
2025-01-03;5.98;6.08;5.60;6.04;5.60;6.00;5.8902;"4223";"24,874.16";75
2025-01-02;5.58;5.60;5.60;5.60;5.50;5.60;5.5797;"3864";"21,560.14";61
2024-12-30;5.56;5.60;5.66;5.66;5.44;5.60;5.5657;"7717";"42,950.5";89
2024-12-27;5.66;5.70;5.52;5.68;5.52;5.66;5.5996;"6016";"33,685.96";81
2024-12-23;5.50;5.52;5.50;5.58;5.40;5.52;5.488;"3166";"17,374.94";66
2024-12-20;5.56;5.58;5.64;5.66;5.56;5.58;5.5868;"1236";"6,905.24";28
2024-12-19;5.64;5.66;5.70;5.70;5.54;5.66;5.6352;"2659";"14,984.06";36
2024-12-18;5.70;5.76;5.72;5.74;5.70;5.70;5.7091;"1827";"10,430.58";28
2024-12-17;5.70;5.72;5.88;5.88;5.64;5.70;5.7155;"1207";"6,898.6";37
2024-12-16;5.82;5.88;5.60;5.92;5.60;5.88;5.7678;"4157";"23,976.82";55
2024-12-13;5.62;5.72;5.74;5.88;5.60;5.60;5.7388;"5689";"32,648.18";75
2024-12-12;5.74;5.88;6.00;6.04;5.72;5.74;5.8613;"1492";"8,745.1";39
2024-12-11;5.94;6.00;6.20;6.20;5.94;6.00;6.0359;"2119";"12,790.5";40
2024-12-10;6.20;6.22;6.36;6.36;6.20;6.20;6.3103;779;"4,915.7";29
