sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;15.57;15.58;15.605;15.635;15.40;15.535;15.5227;"1451818";"22,535,997.08";"2871"
2026-01-12;15.555;15.57;15.455;15.63;15.42;15.605;15.579;"1224653";"19,078,533.2";"1869"
2026-01-09;15.445;15.455;15.265;15.49;15.23;15.455;15.4339;"1453533";"22,434,622.95";"2802"
2026-01-08;15.25;15.265;15.75;15.77;15.15;15.36;15.3581;"1671888";"25,678,926.48";"3715"
2026-01-07;15.825;15.845;15.375;15.915;15.345;15.785;15.7463;"2244642";"35,356,006.79";"2849"
2026-01-05;15.295;15.31;15.185;15.315;15.105;15.295;15.2603;"814835";"12,434,377.2";"1628"
2026-01-02;15.05;15.06;15.00;15.125;14.88;15.075;15.0388;"700083";"10,528,427.02";"1663"
2025-12-30;15.00;15.01;14.895;15.06;14.85;14.98;14.985;"936903";"14,039,535.61";"1740"
2025-12-29;14.885;14.90;14.67;14.94;14.67;14.895;14.8793;"907201";"13,498,472.03";"1862"
2025-12-23;14.695;14.70;14.66;14.73;14.58;14.65;14.6546;"692640";"10,151,506.33";904
2025-12-22;14.70;14.715;14.58;14.75;14.58;14.67;14.6708;"1039272";"15,247,031.37";"1419"
2025-12-19;14.60;14.61;14.585;14.66;14.455;14.58;14.5746;"2135694";"31,127,264.74";"2394"
2025-12-18;14.62;14.64;14.275;14.68;14.27;14.68;14.588;"1753589";"25,567,206.29";"2278"
2025-12-17;14.315;14.32;14.64;14.715;14.295;14.295;14.4459;"1238137";"17,879,845.55";"1807"
2025-12-16;14.64;14.655;14.55;14.73;14.47;14.67;14.6474;"1057345";"15,487,316.68";"1828"
2025-12-15;14.54;14.55;14.41;14.60;14.41;14.60;14.5537;"1142521";"16,627,533.04";"1796"
2025-12-12;14.415;14.43;14.725;14.755;14.41;14.41;14.4752;"1102986";"15,968,334.62";"1556"
2025-12-11;14.57;14.58;14.725;14.725;14.455;14.62;14.5897;"1088466";"15,880,154.4";"2327"
2025-12-10;14.605;14.62;14.665;14.73;14.595;14.67;14.6689;"1125710";"16,512,886.17";"1609"
2025-12-09;14.675;14.685;14.66;14.72;14.44;14.72;14.6863;"995326";"14,617,495.52";"1314"
2025-12-08;14.755;14.765;14.75;14.90;14.705;14.755;14.761;"645494";"9,528,144.42";"1123"
2025-12-05;14.72;14.73;14.645;14.795;14.62;14.775;14.7603;"1146759";"16,925,214.66";"1388"
2025-12-04;14.615;14.63;14.82;14.88;14.48;14.55;14.6035;"1724428";"25,188,256.11";"2500"
2025-12-03;14.70;14.71;14.44;14.84;14.44;14.70;14.6973;"990529";"14,558,270.7";"2139"
2025-12-02;14.39;14.40;14.32;14.495;14.27;14.405;14.4022;"787690";"11,343,908.05";"1831"
2025-12-01;14.27;14.28;14.17;14.31;14.105;14.31;14.2874;"820896";"11,726,563.16";"1463"
2025-11-28;14.28;14.295;14.215;14.325;14.18;14.18;14.1985;"1836391";"26,074,810.32";"1654"
2025-11-27;14.215;14.225;14.285;14.325;14.13;14.21;14.2203;"800041";"11,376,770.23";"1189"
2025-11-26;14.25;14.27;14.11;14.305;14.085;14.305;14.2663;"1360352";"19,406,105.82";"3118"
2025-11-25;13.99;14.005;13.76;14.05;13.655;14.05;13.997;"1177634";"16,478,096.06";"2461"
2025-11-24;13.735;13.75;13.61;13.79;13.56;13.76;13.7516;"3545154";"48,750,332.9";"2141"
2025-11-21;13.405;13.425;13.235;13.45;13.06;13.45;13.4098;"2531868";"33,948,594.84";"2997"
2025-11-20;13.61;13.625;13.745;13.77;13.555;13.565;13.5931;"673173";"9,150,876.53";"1744"
2025-11-19;13.60;13.615;13.52;13.735;13.465;13.585;13.5936;"1205897";"16,394,384.22";"1654"
2025-11-18;13.52;13.535;13.51;13.62;13.385;13.555;13.5489;"956018";"12,953,259.49";"1556"
2025-11-17;13.735;13.75;14.04;14.04;13.72;13.765;13.8031;"582290";"8,038,633.66";"1468"
2025-11-14;14.085;14.095;14.015;14.10;13.84;14.07;14.0315;"757704";"10,631,443.98";"1642"
2025-11-13;14.07;14.09;14.39;14.495;14.01;14.085;14.1577;"955305";"13,526,015.72";"1874"
2025-11-12;14.42;14.43;14.615;14.62;14.345;14.415;14.439;"930739";"13,441,520.75";"2208"
2025-11-11;14.505;14.515;14.345;14.56;14.25;14.56;14.4905;"1228461";"17,800,789.67";"1761"
2025-11-10;14.31;14.32;14.30;14.40;14.26;14.355;14.3482;"981741";"14,077,758.26";"1579"
2025-11-07;13.98;13.995;14.025;14.13;13.96;14.085;14.0766;"1479690";"20,822,650.41";"1873"
2025-11-06;13.86;13.875;13.94;14.025;13.84;13.945;13.946;"1493892";"20,833,411.17";"1749"
2025-11-05;13.895;13.90;13.70;13.98;13.645;13.98;13.9289;"931119";"12,968,557.16";"1735"
2025-11-04;13.785;13.795;13.91;13.97;13.76;13.85;13.8592;"838110";"11,615,885.25";"1935"
2025-11-03;14.035;14.045;14.165;14.21;14.00;14.08;14.0797;"1009184";"14,209,282.92";"1797"
2025-10-31;14.08;14.09;14.22;14.30;14.04;14.21;14.1966;"1663168";"23,610,109.93";"2157"
2025-10-30;14.13;14.14;14.45;14.455;14.105;14.22;14.2326;"1597088";"22,735,331.55";"2043"
2025-10-29;14.435;14.445;14.275;14.54;14.12;14.50;14.4364;"1746315";"25,209,452.82";"2675"
2025-10-28;14.265;14.275;13.85;14.28;13.82;14.28;14.1422;"1492975";"21,104,284.97";"3779"
2025-10-27;13.865;13.875;13.90;13.93;13.67;13.87;13.8576;"2042603";"28,305,465.79";"2088"
2025-10-24;13.715;13.73;13.835;13.89;13.445;13.735;13.6802;"1785286";"24,422,136.98";"3100"
2025-10-23;13.59;13.60;12.825;13.865;12.825;13.70;13.5059;"4951198";"66,855,376.05";"9103"
2025-10-22;12.07;12.08;12.05;12.165;11.99;12.145;12.1239;"1898401";"23,015,732.75";"2242"
2025-10-21;12.01;12.025;11.995;12.055;11.88;12.05;12.0204;"2232487";"26,831,632.36";"2133"
2025-10-20;11.89;11.905;11.575;11.96;11.435;11.96;11.8339;"2079254";"24,553,415.64";"2741"
2025-10-17;11.55;11.56;11.59;11.73;11.53;11.53;11.573;"857200";"9,921,907.67";"1569"
2025-10-16;11.765;11.78;11.625;11.775;11.515;11.76;11.7193;"1046450";"12,263,201.46";"1603"
2025-10-15;11.59;11.605;11.625;11.66;11.465;11.625;11.6066;"762230";"8,846,907.75";"1318"
2025-10-14;11.475;11.49;11.43;11.50;11.285;11.48;11.4612;"895292";"10,260,908.52";"1552"
2025-10-13;11.535;11.55;11.62;11.675;11.46;11.57;11.5707;"791193";"9,154,226.96";"1395"
2025-10-10;11.585;11.605;11.745;11.97;11.57;11.615;11.7069;"1127783";"13,217,687.9";"2051"
2025-10-09;11.765;11.775;11.76;11.855;11.745;11.745;11.7545;"827491";"9,727,556.56";"1156"
2025-10-08;11.76;11.775;11.815;11.89;11.68;11.72;11.7315;"1638561";"19,226,389.62";"1967"
2025-10-07;11.56;11.57;11.595;11.65;11.465;11.565;11.5688;"1328833";"15,373,580.48";"2024"
2025-10-06;11.595;11.61;11.815;11.815;11.545;11.60;11.616;"1067151";"12,396,104.37";"1789"
2025-10-03;11.855;11.87;11.95;11.99;11.77;11.86;11.8603;"1234431";"14,634,949.25";"1490"
2025-10-02;11.885;11.90;11.855;12.03;11.85;11.865;11.884;"1455573";"17,303,978.13";"1909"
2025-10-01;11.79;11.81;11.605;11.815;11.515;11.81;11.7597;"947744";"11,140,779.72";"1701"
2025-09-30;11.64;11.645;11.55;11.685;11.44;11.685;11.6422;"1701152";"19,802,627.79";"2577"
2025-09-29;11.615;11.63;11.825;11.855;11.56;11.60;11.6211;"1683895";"19,570,900.14";"2061"
2025-09-26;11.805;11.81;11.815;11.88;11.68;11.80;11.7981;"1112071";"13,121,185.2";"1659"
2025-09-25;11.79;11.795;11.915;11.99;11.70;11.745;11.7697;"1221539";"14,379,732.16";"1964"
2025-09-24;11.96;11.97;12.00;12.15;11.51;11.96;11.9031;"1810759";"21,553,606.17";"3765"
2025-09-23;12.10;12.11;11.965;12.17;11.965;12.10;12.0988;"1022061";"12,365,564.4";"2247"
2025-09-22;11.955;11.965;12.25;12.265;11.855;11.925;11.9517;"1953466";"23,348,484.64";"2865"
2025-09-19;12.25;12.26;12.29;12.375;12.24;12.25;12.269;"1975774";"24,241,245.63";"2914"
