sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;16.525;16.535;16.45;16.605;16.40;16.52;16.5184;"4145163";"68,472,994.31";"4246"
2026-01-12;16.35;16.36;16.34;16.405;16.10;16.355;16.2773;"5640125";"91,804,421.21";"5864"
2026-01-09;16.32;16.335;16.325;16.37;16.015;16.34;16.2592;"6728734";"109,396,910.41";"8299"
2026-01-08;16.285;16.29;16.19;16.305;16.08;16.27;16.2352;"4129797";"67,045,276.25";"4092"
2026-01-07;16.275;16.285;16.46;16.53;16.205;16.205;16.2868;"5979717";"97,408,425.57";"6299"
2026-01-05;16.465;16.47;16.42;16.475;16.26;16.44;16.4146;"4241485";"69,620,057.89";"4151"
2026-01-02;16.34;16.35;16.11;16.395;16.055;16.365;16.3188;"5840697";"95,302,397.66";"4976"
2025-12-30;16.13;16.14;15.93;16.14;15.895;16.085;16.0694;"3569694";"57,362,340.13";"3603"
2025-12-29;15.92;15.93;16.06;16.08;15.875;15.90;15.9231;"4676768";"74,470,377.43";"3800"
2025-12-23;15.99;16.00;15.85;16.015;15.835;15.97;15.945;"3617981";"57,686,798.85";"2891"
2025-12-22;15.835;15.845;15.84;15.86;15.765;15.84;15.8273;"2432593";"38,501,056.36";"3032"
2025-12-19;15.80;15.805;15.77;15.875;15.755;15.825;15.8228;"12925696";"204,520,174.47";"6019"
2025-12-18;15.645;15.65;15.56;15.685;15.475;15.675;15.635;"6704330";"104,821,656.5";"4572"
2025-12-17;15.50;15.51;15.555;15.59;15.37;15.50;15.4875;"4255948";"65,914,861.98";"4213"
2025-12-16;15.46;15.47;15.525;15.58;15.405;15.49;15.485;"5515516";"85,407,559.94";"4447"
2025-12-15;15.43;15.44;15.515;15.57;15.38;15.42;15.4409;"4206862";"64,974,386.57";"3806"
2025-12-12;15.405;15.415;15.79;15.825;15.395;15.425;15.5362;"4376710";"67,996,728.78";"4174"
2025-12-11;15.74;15.745;15.56;15.76;15.51;15.69;15.683;"3098527";"48,594,081.43";"3049"
2025-12-10;15.56;15.57;15.515;15.615;15.405;15.56;15.5333;"3718242";"57,749,600.41";"3483"
2025-12-09;15.46;15.465;15.465;15.57;15.405;15.485;15.4851;"3055176";"47,307,922.09";"3115"
2025-12-08;15.43;15.44;15.41;15.465;15.31;15.465;15.4156;"4463150";"68,801,737.73";"3670"
2025-12-05;15.405;15.41;15.50;15.545;15.40;15.41;15.4453;"3098086";"47,851,211.35";"3067"
2025-12-04;15.385;15.395;15.465;15.48;15.125;15.41;15.3379;"5872941";"90,072,979.29";"5592"
2025-12-03;15.525;15.53;15.53;15.69;15.44;15.50;15.545;"4122821";"64,104,652.98";"3898"
2025-12-02;15.505;15.51;15.375;15.53;15.345;15.50;15.4859;"3426725";"53,064,964.97";"3712"
2025-12-01;15.32;15.33;15.26;15.385;15.175;15.37;15.3402;"3925420";"60,216,517.33";"3341"
2025-11-28;15.30;15.31;15.285;15.31;15.20;15.24;15.2524;"5783634";"88,214,401.26";"3308"
2025-11-27;15.275;15.285;15.235;15.32;15.15;15.285;15.2536;"3159675";"48,173,712.53";"3205"
2025-11-26;15.27;15.275;15.095;15.285;15.075;15.235;15.2142;"3717811";"56,561,844.82";"3585"
2025-11-25;15.07;15.08;14.87;15.085;14.85;15.04;15.0111;"4253439";"63,850,470.95";"3658"
2025-11-24;14.935;14.94;14.80;14.945;14.765;14.895;14.8902;"9035639";"134,543,726.88";"4757"
2025-11-21;14.625;14.635;14.545;14.69;14.405;14.69;14.6273;"5641585";"82,515,571.37";"4736"
