sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;20.33;20.34;19.94;20.39;19.62;20.38;20.2371;"2013743";"40,743,540.04";"3662"
2026-01-12;19.88;19.905;19.87;19.94;19.58;19.91;19.8476;"978434";"19,417,969.1";"2520"
2026-01-09;19.92;19.93;19.465;19.955;19.465;19.87;19.7789;"1013992";"20,048,110.79";"3269"
2026-01-08;19.675;19.685;19.97;20.04;19.58;19.59;19.6967;"900614";"17,741,145.34";"2497"
2026-01-07;19.97;19.995;20.19;20.19;19.27;20.02;19.7985;"2386289";"47,176,250.33";"6404"
2026-01-05;20.17;20.19;20.25;20.47;19.54;20.31;20.1787;"1523935";"30,744,747.31";"4823"
2026-01-02;20.05;20.06;19.44;20.27;19.43;19.92;19.9786;"1496545";"29,906,313.3";"3989"
2025-12-30;19.395;19.44;19.24;19.535;19.135;19.41;19.3706;"1062618";"20,582,581.23";"3459"
2025-12-29;19.325;19.345;18.86;19.35;18.82;19.24;19.1449;"1341771";"25,686,820.73";"3497"
2025-12-23;18.82;18.845;18.685;18.885;18.56;18.885;18.8286;"652981";"12,294,229.01";"1938"
2025-12-22;18.735;18.75;18.50;19.025;18.50;18.685;18.7643;"1007947";"18,916,092.63";"3182"
2025-12-19;18.35;18.375;18.395;18.54;18.26;18.50;18.4799;"1805160";"33,356,859.27";"3236"
2025-12-18;18.375;18.385;18.355;18.59;18.315;18.42;18.424;"1128420";"20,789,887.03";"2692"
2025-12-17;18.43;18.445;18.22;18.525;18.01;18.355;18.3123;"1393092";"25,509,139.54";"4065"
2025-12-16;18.16;18.19;18.55;18.765;17.975;18.215;18.2354;"1429237";"26,062,713.9";"3970"
2025-12-15;18.585;18.60;18.585;19.025;18.52;18.60;18.7236;"971127";"18,183,808.95";"4079"
2025-12-12;18.215;18.24;18.98;19.075;18.21;18.315;18.4338;"1539330";"28,380,348.04";"3817"
2025-12-11;18.94;18.945;19.105;19.14;18.72;18.98;18.9535;"1631904";"30,928,621.7";"3416"
2025-12-10;19.16;19.17;18.05;19.33;18.025;19.08;18.9842;"2333657";"44,299,834.58";"6655"
2025-12-09;18.04;18.05;18.38;18.475;17.975;18.045;18.1112;"1223000";"22,150,476.08";"3677"
2025-12-08;18.39;18.42;18.305;18.55;18.12;18.34;18.3509;"937643";"17,205,721.22";"3282"
2025-12-05;18.26;18.29;17.97;18.585;17.945;18.305;18.2773;"2407687";"44,006,110.25";"7448"
2025-12-04;17.54;17.55;17.75;17.75;17.15;17.365;17.362;"1029346";"17,871,597.02";"3725"
2025-12-03;17.785;17.79;17.14;17.79;17.14;17.655;17.5791;"1096689";"19,274,885.39";"3379"
2025-12-02;17.01;17.035;17.00;17.155;16.735;17.14;17.0797;"1093304";"18,670,413.86";"2859"
2025-12-01;16.99;17.025;16.64;17.10;16.555;16.89;16.882;"1274179";"21,500,959.53";"3287"
2025-11-28;16.655;16.67;16.72;16.84;16.44;16.64;16.6381;"1015010";"16,887,535.1";"2715"
2025-11-27;16.71;16.73;16.54;16.93;16.48;16.72;16.7123;"598594";"10,003,590.52";"2174"
2025-11-26;16.505;16.52;16.685;16.90;16.21;16.50;16.4751;"1250823";"20,598,865.23";"3551"
2025-11-25;16.015;16.03;16.165;16.435;15.965;15.965;16.0897;"1050666";"16,907,433.41";"3524"
2025-11-24;16.04;16.055;16.75;16.86;16.00;16.10;16.1348;"3934868";"63,495,645.46";"5114"
2025-11-21;16.805;16.815;16.95;17.05;16.535;16.725;16.7034;"1602152";"26,760,626.26";"4440"
2025-11-20;17.37;17.385;17.35;17.66;17.275;17.36;17.3798;"800992";"13,920,504.17";"2428"
2025-11-19;17.25;17.27;17.66;18.06;17.175;17.175;17.376;"1203331";"20,917,619.3";"2992"
