sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;5.59;5.594;5.638;5.682;5.548;5.592;5.5991;"8956825";"50,154,570.65";"4986"
2026-01-12;5.568;5.572;5.564;5.612;5.46;5.582;5.5593;"7073432";"39,320,578.36";"5160"
2026-01-09;5.58;5.586;5.608;5.664;5.56;5.60;5.6029;"11511090";"64,498,626.24";"7464"
2026-01-08;5.562;5.566;5.826;5.844;5.528;5.574;5.6222;"13749501";"77,311,891.48";"8393"
2026-01-07;5.764;5.766;5.472;5.89;5.402;5.768;5.7459;"28427092";"163,325,119.63";"15512"
2026-01-05;5.572;5.58;5.55;5.624;5.544;5.564;5.5739;"8264169";"46,064,960.84";"5583"
2026-01-02;5.53;5.536;5.60;5.69;5.524;5.524;5.5987;"10532665";"58,973,157.25";"6155"
2025-12-30;5.578;5.582;5.578;5.62;5.566;5.572;5.5813;"7419350";"41,409,807.11";"4443"
2025-12-29;5.57;5.574;5.57;5.582;5.48;5.578;5.5619;"6284061";"34,949,557.4";"4641"
2025-12-23;5.53;5.536;5.55;5.56;5.51;5.518;5.5286;"5491923";"30,359,094.5";"3732"
2025-12-22;5.498;5.504;5.50;5.566;5.476;5.502;5.5072;"7428453";"40,911,841.68";"4416"
2025-12-19;5.446;5.45;5.396;5.50;5.388;5.458;5.4571;"19498495";"106,404,799.47";"6152"
2025-12-18;5.418;5.422;5.296;5.47;5.274;5.43;5.4216;"10358710";"56,153,273.19";"4747"
2025-12-17;5.306;5.31;5.294;5.326;5.28;5.314;5.3105;"6480434";"34,413,581.57";"3758"
2025-12-16;5.264;5.27;5.27;5.28;5.208;5.278;5.2699;"10574272";"55,715,258.96";"3680"
2025-12-15;5.288;5.294;5.27;5.334;5.252;5.278;5.2836;"6971620";"36,838,213.22";"4329"
2025-12-12;5.256;5.262;5.40;5.408;5.254;5.27;5.2974;"10329945";"54,753,044.94";"5649"
2025-12-11;5.436;5.442;5.284;5.552;5.282;5.406;5.4189;"14184070";"76,872,587.48";"8400"
2025-12-10;5.286;5.29;5.30;5.334;5.258;5.306;5.3041;"7727836";"40,989,842.86";"3443"
