sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;62.40;62.70;65.00;65.00;62.40;62.40;63.7106;"6902";"439,604.35";197
2026-01-12;64.90;65.20;65.30;65.60;64.90;64.90;65.2806;"4140";"270,260.6";137
2026-01-09;65.30;65.60;66.00;66.00;64.90;65.30;65.1963;"4606";"300,292.4";140
2026-01-08;65.90;66.10;65.60;66.40;65.00;65.80;65.9096;"3748";"247,031.6";132
2026-01-07;65.30;65.70;63.00;65.70;63.00;65.70;64.9399;"11019";"715,572.3";265
2026-01-05;62.80;62.90;63.00;63.30;62.30;62.70;62.7552;"9202";"577,473";197
2026-01-02;63.10;63.20;63.40;63.90;62.90;62.90;63.3428;"5229";"331,189.1";138
2025-12-30;63.30;63.50;63.50;63.70;63.30;63.30;63.4925;"3572";"226,795.3";113
2025-12-29;63.40;63.50;63.10;63.60;63.00;63.30;63.272;"7919";"501,081.7";194
2025-12-23;63.00;63.20;62.70;63.30;62.60;63.00;62.8919;"3376";"212,370.65";117
2025-12-22;62.70;62.90;61.90;62.60;61.70;62.60;62.1283;"3933";"244,389.15";130
2025-12-19;62.00;62.10;60.90;62.00;60.30;61.90;61.189;"16474";"1,008,028.8";286
2025-12-18;60.90;61.20;60.60;61.10;60.30;61.10;60.6188;"22320";"1,352,381.6";328
2025-12-17;60.60;60.80;61.30;61.60;60.30;60.60;60.7468;"9669";"587,267.9";158
2025-12-16;61.00;61.10;60.80;61.90;60.30;60.90;61.2388;"5366";"328,638";119
2025-12-15;61.00;61.10;59.70;61.00;59.20;60.90;60.1479;"3306";"199,053.4";121
2025-12-12;59.80;59.90;61.00;61.00;59.60;59.70;59.8896;"8334";"499,025.1";170
2025-12-11;60.80;61.00;60.80;61.20;60.70;61.00;60.8619;"14522";"883,875.7";154
2025-12-10;60.50;60.60;60.60;60.80;59.90;60.70;60.6744;"14253";"864,791.7";160
2025-12-09;60.40;60.60;60.80;60.90;60.30;60.30;60.6861;"17203";"1,043,938.7";197
2025-12-08;60.30;60.60;60.60;60.90;60.10;60.30;60.4383;"2825";"170,737.7";105
2025-12-05;60.30;60.50;59.80;61.00;59.80;60.40;60.7815;"39156";"2,380,085.7";409
2025-12-04;59.60;59.90;60.30;60.90;59.50;59.90;60.5512;"9906";"600,201.8";138
2025-12-03;60.10;60.30;62.20;62.30;59.40;60.30;60.9498;"23626";"1,440,000.1";319
2025-12-02;61.10;61.30;60.90;61.60;60.80;61.40;61.2832;"10649";"652,597.6";125
2025-12-01;60.90;61.20;61.60;61.60;60.90;61.30;61.1896;"2512";"153,708.3";86
2025-11-28;61.30;61.50;61.60;61.80;61.00;61.80;61.6442;"9121";"562,256.4";175
2025-11-27;61.40;61.60;61.00;61.70;60.70;61.60;61.2586;"1658";"101,566.8";77
2025-11-26;60.90;61.10;60.40;61.00;60.30;60.90;60.6524;"3490";"211,692.3";120
2025-11-25;60.30;60.40;59.90;60.50;59.40;60.10;60.0095;"8666";"520,076";234
2025-11-24;59.80;60.10;59.90;60.20;59.70;59.80;59.9537;"4439";"266,134.25";153
2025-11-21;59.60;59.90;59.20;59.90;58.90;59.90;59.2471;"5072";"300,501.3";116
2025-11-20;59.50;59.70;59.40;60.70;59.40;59.80;60.046;"3554";"213,402.05";123
2025-11-19;59.00;59.20;59.10;59.40;58.90;59.00;59.0519;"2439";"144,032.4";76
2025-11-18;59.10;59.40;59.80;60.00;58.90;59.10;59.3329;"5974";"354,441.7";152
2025-11-17;59.90;60.10;59.80;60.10;59.60;59.90;59.8468;"6448";"385,895.2";151
2025-11-14;59.70;59.90;59.50;59.80;59.00;59.80;59.2032;"5495";"325,321.6";112
2025-11-13;59.40;59.50;59.80;60.40;59.00;59.50;59.5871;"2239";"133,437.5";118
2025-11-12;59.60;59.70;59.50;59.90;59.20;59.70;59.5439;"3631";"216,204.6";124
2025-11-11;59.00;59.20;58.00;59.20;58.00;59.20;58.5973;"5895";"345,440.9";150
2025-11-10;57.70;57.90;57.00;58.10;57.00;57.80;57.6639;"4135";"238,440.4";117
2025-11-07;56.90;57.10;57.60;58.00;56.30;57.00;57.0865;"8907";"508,469.5";172
2025-11-06;57.50;57.80;58.30;58.30;57.00;57.60;57.5093;"7630";"438,780.6";197
2025-11-05;58.20;58.30;58.80;58.90;58.10;58.10;58.3989;"6065";"354,189.2";155
2025-11-04;59.30;59.50;60.20;60.20;58.70;59.20;59.3588;"8123";"482,171.2";232
2025-11-03;60.20;60.30;60.60;60.60;59.90;60.10;60.2101;"3780";"227,594.1";158
2025-10-31;60.50;60.80;61.90;61.90;60.50;60.70;60.8815;"6420";"390,845";180
2025-10-30;61.70;61.90;62.90;62.90;61.30;61.70;61.8637;"9544";"590,349.4";239
2025-10-29;62.60;62.90;61.50;63.50;61.40;62.90;62.69;"7619";"477,767.3";300
2025-10-28;60.90;61.20;68.30;70.50;60.60;60.70;64.2668;"29727";"1,909,907.1";703
2025-10-27;67.90;68.10;68.00;68.40;67.40;67.90;67.7903;"4980";"337,594.2";154
2025-10-24;68.00;68.20;67.80;68.10;67.20;68.00;67.6861;"2696";"182,451";125
2025-10-23;67.70;67.90;67.30;68.30;67.30;67.80;67.8316;"8201";"556,283.1";184
2025-10-22;67.10;67.20;66.80;67.50;66.80;67.30;67.0978;"3648";"244,772.7";137
2025-10-21;66.70;66.90;67.30;67.30;66.40;66.90;66.7476;"4323";"288,549.7";136
2025-10-20;67.20;67.30;66.80;67.50;66.80;67.30;67.2269;"3509";"235,899.2";116
2025-10-17;67.00;67.10;67.20;67.60;66.50;66.80;66.9387;"3241";"216,951.8";144
