sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;62.80;62.85;65.20;65.20;62.75;62.75;63.2481;"313644";"19,841,859.97";"1408"
2026-01-12;65.35;65.45;65.80;66.20;65.20;65.20;65.3484;"149867";"9,793,682.8";"1278"
2026-01-09;65.75;65.85;65.90;66.25;65.30;65.95;65.7887;"113181";"7,445,988.93";"1201"
2026-01-08;66.30;66.40;66.10;66.70;65.90;66.30;66.3054;"127655";"8,464,283.99";"1515"
2026-01-07;65.75;65.85;64.25;66.10;64.00;66.10;65.6442;"254280";"16,691,590.06";"2239"
2026-01-05;63.20;63.25;63.80;63.80;62.70;63.30;63.2224;"106932";"6,760,311.81";"1077"
2026-01-02;63.40;63.50;63.80;64.20;63.30;63.30;63.5541;"101429";"6,446,364.8";"1129"
2025-12-30;63.75;63.80;63.65;64.05;63.65;63.65;63.7407;"102504";"6,533,679.45";907
2025-12-29;63.80;63.90;63.55;64.00;63.50;63.70;63.7141;"133330";"8,495,119.56";"1086"
2025-12-23;63.40;63.50;63.10;63.55;62.90;63.55;63.4734;"129933";"8,247,100.13";819
2025-12-22;63.10;63.15;62.20;63.15;62.00;63.10;62.863;"111069";"6,982,071.57";"1000"
2025-12-19;62.30;62.35;61.25;62.35;60.80;62.20;62.1175;"564915";"35,090,505.44";"1994"
2025-12-18;61.35;61.40;60.70;61.40;60.60;61.30;61.1835;"250387";"15,317,784.04";"1430"
2025-12-17;61.00;61.05;61.55;61.95;60.70;60.70;60.8486;"238517";"14,513,432.09";"1278"
2025-12-16;61.40;61.45;61.30;62.30;61.05;61.55;61.57;"234159";"14,417,161.68";"1153"
2025-12-15;61.30;61.40;60.05;61.40;59.40;61.25;61.0061;"149865";"9,142,672.6";"1240"
2025-12-12;60.10;60.15;61.05;61.05;60.00;60.05;60.1999;"211223";"12,715,600.76";"1217"
2025-12-11;61.25;61.30;61.05;61.55;60.90;61.25;61.2753;"189286";"11,598,551.76";"1148"
2025-12-10;60.80;60.90;60.65;61.20;60.20;61.05;60.954;"138313";"8,430,660.76";"1135"
2025-12-09;60.75;60.85;60.90;61.30;60.60;60.90;60.935;"178408";"10,871,310.62";"1205"
2025-12-08;60.70;60.75;60.85;61.05;60.35;60.90;60.8036;"155937";"9,481,211.23";"1118"
2025-12-05;60.70;60.75;60.00;61.50;60.00;60.85;60.9011;"230274";"14,023,709.67";"1534"
2025-12-04;59.85;59.90;60.35;61.15;59.40;59.70;59.971;"347526";"20,842,191.39";"1844"
2025-12-03;60.25;60.30;62.10;62.40;59.40;60.30;60.5571;"407090";"24,652,039.13";"2864"
2025-12-02;61.25;61.30;61.15;61.60;60.90;61.30;61.323;"159204";"9,762,871.03";"1606"
2025-12-01;61.10;61.25;61.60;61.60;61.00;61.30;61.2834;"163092";"9,994,850.44";"1102"
2025-11-28;61.45;61.50;61.65;61.75;61.15;61.65;61.5982;"172081";"10,599,819.9";908
2025-11-27;61.65;61.70;60.90;61.95;60.75;61.65;61.6217;"131531";"8,105,164.65";"1153"
2025-11-26;61.05;61.15;60.60;61.45;60.25;60.95;60.9107;"223117";"13,590,161.81";"2056"
2025-11-25;60.50;60.60;59.95;60.80;59.65;60.25;60.2956;"271294";"16,358,573.3";"1783"
2025-11-24;60.00;60.10;60.35;60.40;59.85;60.10;60.0989;"594375";"35,721,359.29";"2452"
2025-11-21;59.80;59.90;59.05;59.95;58.90;59.95;59.7354;"184640";"11,028,778.06";"1544"
2025-11-20;59.70;59.75;59.35;60.70;59.35;59.80;59.9404;"243874";"14,617,965.06";"1690"
2025-11-19;59.15;59.20;59.30;59.55;58.90;59.10;59.1396;"139389";"8,243,606.48";"1167"
2025-11-18;59.30;59.40;59.85;60.05;58.85;59.25;59.2696;"195105";"11,563,786.23";"1335"
2025-11-17;60.10;60.25;60.00;60.30;59.70;60.15;60.1121;"181925";"10,935,871";"1336"
2025-11-14;59.85;59.90;59.65;60.00;59.05;60.00;59.814;"144474";"8,641,516.75";"1189"
2025-11-13;59.55;59.65;59.90;60.45;59.05;59.85;59.8113;"195328";"11,682,708.28";"1354"
2025-11-12;59.70;59.80;60.00;60.20;59.25;59.90;59.7764;"213471";"12,759,244.83";"1370"
2025-11-11;59.10;59.20;58.15;59.70;58.05;59.70;59.4157;"207372";"12,320,409.76";"1337"
2025-11-10;57.80;57.85;56.85;58.30;56.85;57.90;57.8425;"182361";"10,548,224.52";"1486"
2025-11-07;57.00;57.10;57.75;58.00;56.50;56.85;56.8888;"313917";"17,857,692.88";"1772"
2025-11-06;57.70;57.75;58.05;58.30;57.00;57.55;57.5405;"358507";"20,628,635.16";"2259"
2025-11-05;58.25;58.30;58.45;58.90;58.05;58.05;58.1569;"313991";"18,270,417.72";"1754"
2025-11-04;59.40;59.50;60.00;60.15;58.80;59.40;59.3982;"307978";"18,293,109.41";"2121"
2025-11-03;60.30;60.35;60.60;60.75;60.00;60.05;60.1595;"242043";"14,583,908.54";"1620"
2025-10-31;60.70;60.80;61.80;61.95;60.50;60.55;60.6784;"325570";"19,751,921.55";"1584"
2025-10-30;61.80;61.95;62.30;62.75;61.35;61.35;61.5214;"261061";"16,062,927.61";"1610"
2025-10-29;62.80;62.95;61.95;63.55;61.50;62.50;62.642;"383876";"24,046,688.17";"3366"
2025-10-28;61.20;61.30;68.90;70.70;60.80;61.00;63.2879;"827412";"52,367,294.19";"7194"
2025-10-27;68.20;68.30;68.35;68.80;67.70;68.20;68.1625;"118435";"8,072,681.01";"1114"
2025-10-24;68.15;68.25;68.05;68.40;67.40;68.35;68.2085;"101640";"6,929,721.11";936
