sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;4.748;4.756;4.70;4.788;4.648;4.734;4.7209;"1792639";"8,462,692.01";"1459"
2026-01-12;4.664;4.67;4.694;4.694;4.614;4.666;4.652;"927786";"4,316,091.74";"1142"
2026-01-09;4.682;4.688;4.732;4.772;4.67;4.694;4.7172;"1329172";"6,270,060.04";"1561"
2026-01-08;4.708;4.714;4.834;4.84;4.672;4.726;4.7265;"1718954";"8,124,641.44";"2047"
2026-01-07;4.86;4.862;4.622;4.874;4.62;4.834;4.7841;"3543647";"16,953,260.29";"3138"
2026-01-05;4.546;4.552;4.694;4.694;4.542;4.57;4.5839;"1975035";"9,053,340.72";"2155"
2026-01-02;4.614;4.616;4.48;4.622;4.468;4.622;4.5882;"2505543";"11,494,936.34";"2623"
2025-12-30;4.476;4.478;4.396;4.49;4.38;4.48;4.4697;"1941034";"8,675,930.58";"1824"
2025-12-29;4.41;4.416;4.29;4.44;4.29;4.396;4.3928;"1981602";"8,704,643.42";"2229"
2025-12-23;4.268;4.27;4.26;4.288;4.232;4.278;4.2697;"747449";"3,191,396.14";862
2025-12-22;4.262;4.266;4.266;4.304;4.212;4.266;4.2547;"838848";"3,569,078.53";"1011"
2025-12-19;4.26;4.266;4.35;4.366;4.244;4.266;4.2739;"2751967";"11,761,783.66";"1496"
2025-12-18;4.334;4.34;4.26;4.348;4.244;4.348;4.3237;"2378634";"10,284,325.48";"2021"
2025-12-17;4.244;4.248;4.29;4.34;4.232;4.232;4.2501;"2729995";"11,602,827.07";"1475"
2025-12-16;4.29;4.294;4.228;4.31;4.222;4.284;4.2808;"2621357";"11,221,439.38";"1621"
2025-12-15;4.192;4.196;4.226;4.276;4.176;4.206;4.2084;"5974768";"25,141,434.51";"1530"
2025-12-12;4.21;4.218;4.14;4.292;4.14;4.222;4.2247;"3430602";"14,493,960.03";"1939"
2025-12-11;4.12;4.128;4.11;4.16;4.066;4.12;4.1195;"2381579";"9,810,687.6";"1910"
2025-12-10;4.076;4.082;4.118;4.12;4.04;4.084;4.079;"1669202";"6,808,409.02";"1658"
2025-12-09;4.12;4.124;4.076;4.172;4.064;4.116;4.1228;"1134877";"4,678,891.84";"1294"
2025-12-08;4.074;4.078;4.03;4.12;4.03;4.076;4.0821;"1161250";"4,740,287.23";"1106"
2025-12-05;4.028;4.032;4.04;4.096;4.02;4.024;4.0516;"1089712";"4,415,084.41";"1240"
2025-12-04;3.996;4.00;4.008;4.03;3.982;4.00;4.0045;"940317";"3,765,506.58";949
2025-12-03;3.998;4.004;4.02;4.05;3.966;4.008;4.0064;"1144025";"4,583,405.82";"1118"
2025-12-02;4.01;4.016;4.02;4.03;3.99;4.02;4.014;"804069";"3,227,385.6";846
2025-12-01;4.026;4.032;4.046;4.058;3.99;4.016;4.0189;"1006526";"4,045,009.56";"1065"
2025-11-28;4.032;4.038;4.02;4.046;3.996;4.046;4.0349;"1032129";"4,164,549.38";884
