sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;32.10;32.14;32.50;32.58;32.00;32.10;32.1891;"86816";"2,794,562.54";"1071"
2026-01-12;32.30;32.32;33.30;33.36;32.02;32.30;32.4064;"101360";"3,285,390.25";"1257"
2026-01-09;33.16;33.22;32.36;33.46;32.18;33.16;32.8872;"137939";"4,533,531.75";"1541"
2026-01-08;32.34;32.36;32.72;32.76;31.74;32.34;32.1907;"123003";"3,958,042.01";"1328"
2026-01-07;32.58;32.60;32.16;32.66;31.90;32.66;32.3061;"113339";"3,660,430.84";"1424"
2026-01-05;32.14;32.18;32.02;32.48;31.34;32.16;31.9402;"106680";"3,407,466.17";"1622"
2026-01-02;32.00;32.02;32.94;33.16;31.98;31.98;32.4245;"171055";"5,549,902.74";"1866"
2025-12-30;32.84;32.86;32.48;32.96;32.38;32.94;32.7732;"129648";"4,248,903.98";"1567"
2025-12-29;32.36;32.40;32.04;32.70;32.04;32.48;32.4474;"144107";"4,676,061.75";"1786"
2025-12-23;32.12;32.16;32.32;32.52;32.04;32.04;32.2717;"88159";"2,846,419.99";"1125"
2025-12-22;32.36;32.40;31.64;32.56;31.60;32.32;32.135;"112770";"3,623,817.32";"1248"
2025-12-19;31.70;31.74;31.70;31.86;31.50;31.64;31.6652;"78283";"2,478,849.81";970
2025-12-18;31.62;31.68;31.00;31.70;30.88;31.70;31.2616;"211775";"6,620,209.46";"1049"
2025-12-17;30.96;30.98;31.16;31.30;30.76;31.00;30.9802;"98620";"3,055,227.86";"1392"
2025-12-16;31.20;31.22;31.62;31.80;31.12;31.12;31.4373;"79168";"2,489,061.83";880
2025-12-15;31.68;31.72;32.08;32.48;31.54;31.68;32.0325;"115151";"3,688,705.55";"1200"
2025-12-12;32.06;32.10;32.12;32.44;31.78;32.08;32.1156;"83735";"2,689,238.55";"1045"
2025-12-11;32.12;32.18;32.10;32.48;31.74;32.04;32.0568;"98671";"3,163,513.58";"1025"
2025-12-10;32.08;32.14;32.34;32.40;31.88;32.10;32.1169;"75418";"2,422,172.52";"1005"
2025-12-09;32.36;32.40;31.88;32.40;31.70;32.34;32.1216;"91072";"2,925,044.16";"1031"
2025-12-08;31.76;31.80;32.60;32.82;31.74;31.90;32.0926;"78888";"2,531,760.22";942
2025-12-05;32.52;32.56;32.10;32.64;31.98;32.60;32.3905;"93473";"3,027,635.76";964
2025-12-04;31.94;32.00;31.34;32.18;31.30;32.04;31.8119;"130565";"4,153,856.46";"1389"
2025-12-03;31.12;31.16;31.46;31.90;31.10;31.18;31.3532;"78234";"2,452,863.08";988
2025-12-02;31.44;31.46;32.24;32.26;31.28;31.46;31.5871;"125713";"3,971,121.13";"1300"
2025-12-01;32.28;32.32;32.06;32.38;31.52;32.22;32.0982;"63634";"2,042,537.32";902
2025-11-28;31.90;31.96;31.80;32.06;31.42;32.06;31.9034;"81726";"2,606,929.62";801
2025-11-27;31.82;31.88;31.32;32.58;31.16;31.76;31.8818;"130752";"4,168,585.03";"1276"
2025-11-26;31.22;31.28;31.50;31.60;31.02;31.28;31.2486;"72215";"2,256,585.69";992
2025-11-25;31.34;31.38;30.88;31.40;30.42;31.38;30.9753;"102287";"3,168,309.25";"1277"
2025-11-24;30.84;30.86;31.28;31.48;30.78;30.90;31.0068;"107958";"3,347,566.77";"1037"
2025-11-21;30.78;30.80;31.06;31.38;30.74;30.94;31.01;"148079";"4,592,541.13";"1760"
2025-11-20;31.14;31.20;32.00;32.30;31.12;31.26;31.6215;"100288";"3,171,001.08";"1365"
2025-11-19;31.52;31.58;31.64;31.96;31.36;31.58;31.6511;"70574";"2,233,747.5";924
2025-11-18;31.58;31.64;31.70;31.76;31.26;31.54;31.5121;"104810";"3,302,881.6";"1387"
2025-11-17;31.94;31.98;32.40;33.28;31.90;31.92;32.4422;"167455";"5,432,985.32";"1839"
2025-11-14;32.24;32.28;32.38;32.56;31.94;32.26;32.2314;"133046";"4,288,637.87";"1838"
2025-11-13;32.52;32.56;33.24;33.74;32.52;32.54;32.9131;"176360";"5,805,678.96";"2197"
2025-11-12;33.22;33.26;34.20;34.20;33.16;33.24;33.5185;"149580";"5,014,145.3";"1767"
