sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;9.838;9.842;9.89;9.912;9.832;9.874;9.8705;"3612038";"35,653,338.04";"3557"
2026-01-12;9.936;9.942;9.918;9.954;9.878;9.95;9.9369;"2310777";"22,961,897.48";"3428"
2026-01-09;9.90;9.906;9.998;10.00;9.862;9.918;9.9116;"2466710";"24,448,334.22";"3409"
2026-01-08;9.998;10.005;9.94;10.03;9.926;10.00;9.9951;"3625347";"36,235,574.54";"3628"
2026-01-07;9.952;9.958;10.33;10.335;9.91;9.93;9.9978;"5620260";"56,194,308.53";"5645"
2026-01-05;10.23;10.235;10.25;10.275;10.105;10.23;10.2017;"2393218";"24,406,486.58";"2279"
2026-01-02;10.25;10.26;10.35;10.39;10.24;10.24;10.2759;"2250948";"23,133,333.81";"2542"
2025-12-30;10.345;10.35;10.295;10.36;10.28;10.33;10.3299;"2764993";"28,562,020.77";"3055"
2025-12-29;10.285;10.295;10.295;10.30;10.225;10.285;10.2815;"2341117";"24,070,256.1";"1490"
2025-12-23;10.295;10.30;10.29;10.34;10.25;10.265;10.2762;"1319759";"13,562,693.68";"1669"
2025-12-22;10.26;10.27;10.20;10.27;10.17;10.265;10.2446;"1309635";"13,415,805.83";"1700"
2025-12-19;10.225;10.23;10.205;10.285;10.20;10.20;10.2046;"6815880";"69,554,343";"2567"
2025-12-18;10.215;10.225;10.135;10.225;10.115;10.215;10.2049;"3167262";"32,320,323.19";"1901"
2025-12-17;10.135;10.14;10.05;10.15;10.04;10.135;10.1234;"2888507";"29,239,760.06";"2294"
2025-12-16;10.045;10.05;10.025;10.08;10.00;10.04;10.0432;"2932624";"29,453,113.23";"2098"
2025-12-15;10.00;10.005;9.964;10.025;9.956;10.005;10.0024;"3357731";"33,584,741.02";"3080"
2025-12-12;9.906;9.914;10.05;10.065;9.90;9.934;9.959;"3900625";"38,846,493.15";"3875"
2025-12-11;10.035;10.04;10.02;10.055;9.984;10.01;10.0162;"2401753";"24,056,822.98";"2529"
2025-12-10;10.03;10.035;10.05;10.065;10.01;10.03;10.0321;"2507471";"25,155,626.21";"1808"
2025-12-09;10.045;10.05;10.00;10.075;9.986;10.065;10.0553;"2848433";"28,640,631.52";"2343"
2025-12-08;9.944;9.95;9.932;9.994;9.92;9.978;9.9721;"3041538";"30,330,386.88";"2351"
2025-12-05;9.94;9.946;9.94;9.99;9.874;9.938;9.9406;"2208463";"21,953,371.86";"2630"
2025-12-04;9.948;9.954;9.97;9.99;9.90;9.96;9.9584;"2995451";"29,829,231.6";"3382"
2025-12-03;9.956;9.962;10.085;10.10;9.95;9.972;9.9837;"2914883";"29,101,642.45";"2667"
2025-12-02;10.09;10.10;10.00;10.13;9.996;10.085;10.0805;"2201610";"22,192,016.44";"2383"
2025-12-01;10.14;10.145;10.14;10.17;10.115;10.15;10.1474;"2450168";"24,862,908.05";"1951"
2025-11-28;10.15;10.16;10.22;10.30;10.115;10.135;10.146;"3865738";"39,222,663.26";"2483"
2025-11-27;10.19;10.20;10.16;10.22;10.13;10.175;10.1791;"1370747";"13,953,050.16";"1682"
