sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;9.66;9.72;9.74;9.80;9.64;9.70;9.6963;"45710";"443,223.89";374
2026-01-12;9.69;9.72;9.70;9.72;9.62;9.68;9.6814;"43766";"423,715.23";362
2026-01-09;9.62;9.65;9.66;9.67;9.59;9.67;9.6363;"34994";"337,215";303
2026-01-08;9.63;9.66;9.70;9.71;9.50;9.64;9.58;"75911";"727,094.88";439
2026-01-07;9.61;9.64;9.64;9.74;9.57;9.64;9.6401;"54657";"526,894.67";409
2026-01-05;9.51;9.54;9.52;9.60;9.48;9.56;9.528;"44406";"423,047.14";326
2026-01-02;9.50;9.53;9.53;9.68;9.50;9.50;9.5662;"81366";"778,594.52";476
2025-12-30;9.53;9.54;9.45;9.55;9.40;9.50;9.4866;"52365";"496,786.29";340
2025-12-29;9.43;9.47;9.22;9.48;9.21;9.47;9.366;"64969";"608,679.18";424
2025-12-23;9.20;9.24;9.13;9.24;9.12;9.21;9.1771;"43339";"397,710.18";308
2025-12-22;9.11;9.18;9.16;9.23;9.08;9.13;9.134;"79232";"723,661.28";441
2025-12-19;9.20;9.23;9.15;9.22;9.10;9.21;9.1893;"56798";"521,932.72";313
2025-12-18;9.12;9.15;9.09;9.18;9.09;9.13;9.1262;"45421";"414,537.07";375
2025-12-17;9.10;9.13;9.09;9.16;9.02;9.11;9.055;"96427";"873,185.76";409
2025-12-16;9.09;9.10;9.15;9.20;9.09;9.09;9.1253;"43278";"394,937.74";357
2025-12-15;9.13;9.15;9.18;9.22;9.11;9.11;9.1414;"73294";"670,386.82";508
2025-12-12;9.20;9.24;9.26;9.50;9.16;9.19;9.2271;"325793";"3,007,343.84";807
2025-12-11;9.13;9.18;9.25;9.30;9.11;9.14;9.142;"213620";"1,952,880.46";371
2025-12-10;9.18;9.20;9.24;9.34;9.18;9.19;9.2385;"58683";"542,119.76";437
2025-12-09;9.24;9.27;9.30;9.43;9.24;9.24;9.2802;"60479";"561,421.54";344
2025-12-08;9.36;9.38;9.48;9.55;9.32;9.39;9.3904;"70558";"662,578.47";534
2025-12-05;9.43;9.47;9.47;9.49;9.41;9.48;9.4467;"54447";"514,389.99";301
2025-12-04;9.43;9.47;9.71;9.71;9.41;9.46;9.4842;"80957";"767,775.14";628
2025-12-03;9.68;9.70;9.84;9.86;9.59;9.67;9.6916;"64281";"623,037.11";425
2025-12-02;9.73;9.82;9.98;10.00;9.76;9.83;9.8155;"127332";"1,249,837.83";364
2025-12-01;10.00;10.14;9.51;10.06;9.45;9.97;9.807;"92727";"909,471.02";511
2025-11-28;10.06;10.12;9.68;10.10;9.37;9.37;9.4082;"538724";"5,071,845.82";522
2025-11-27;9.62;9.68;9.62;9.69;9.61;9.65;9.6576;"108357";"1,046,473.09";193
2025-11-26;9.61;9.62;9.70;9.81;9.58;9.61;9.6881;"38709";"374,710.36";282
2025-11-25;9.70;9.73;10.02;10.06;9.58;9.67;9.8138;"109541";"1,074,702.44";685
2025-11-24;10.38;10.42;10.28;10.44;10.28;10.42;10.3079;"151963";"1,566,460.48";194
2025-11-21;10.26;10.34;10.12;10.36;10.02;10.26;10.2384;"40011";"409,146.38";217
2025-11-20;10.16;10.18;10.20;10.22;10.08;10.18;10.122;"38099";"385,623.05";216
2025-11-19;10.08;10.12;9.95;10.22;9.91;10.10;10.0614;"21453";"215,846.46";196
2025-11-18;9.92;9.95;9.95;9.95;9.80;9.93;9.9055;"124699";"1,235,194.62";244
2025-11-17;9.96;10.04;10.06;10.08;9.95;9.97;10.0094;"24640";"246,645.13";212
2025-11-14;10.06;10.18;10.32;10.32;10.00;10.06;10.0877;"34671";"349,676.99";295
