sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;7.342;7.35;7.09;7.356;7.084;7.34;7.226;"45929";"331,881.26";178
2026-01-12;7.052;7.074;7.084;7.128;7.008;7.042;7.0439;"32452";"228,589.67";183
2026-01-09;7.052;7.074;6.932;7.074;6.932;7.074;7.008;"40429";"283,325.71";223
2026-01-08;6.924;6.944;6.958;6.958;6.876;6.938;6.9168;"15119";"104,575.81";123
2026-01-07;6.95;6.966;6.93;7.012;6.872;6.966;6.945;"32613";"226,498.09";211
2026-01-05;6.87;6.88;6.852;6.936;6.838;6.87;6.8824;"20532";"141,308.57";180
2026-01-02;6.804;6.816;6.506;6.832;6.506;6.67;6.7578;"29397";"198,659.98";191
2025-12-30;6.514;6.528;6.50;6.564;6.486;6.506;6.5284;"8983";"58,644.34";86
2025-12-29;6.486;6.49;6.44;6.50;6.40;6.496;6.4636;"10549";"68,184.27";109
2025-12-23;6.384;6.422;6.38;6.432;6.37;6.40;6.3946;"11367";"72,687.06";75
2025-12-22;6.364;6.372;6.476;6.484;6.336;6.382;6.3968;"13614";"87,086.39";122
2025-12-19;6.476;6.49;6.454;6.528;6.424;6.424;6.4623;"28340";"183,141.44";127
2025-12-18;6.516;6.536;6.476;6.542;6.41;6.45;6.4856;"12489";"80,999.15";137
2025-12-17;6.42;6.438;6.436;6.514;6.372;6.46;6.424;"43719";"280,849.16";171
2025-12-16;6.416;6.426;6.40;6.484;6.382;6.402;6.4301;"19336";"124,332.08";127
2025-12-15;6.466;6.49;6.516;6.52;6.43;6.452;6.4601;"18143";"117,205.28";163
2025-12-12;6.502;6.516;6.538;6.602;6.506;6.506;6.5513;"11145";"73,013.85";113
2025-12-11;6.502;6.52;6.578;6.62;6.506;6.51;6.5681;"31491";"206,835.15";166
2025-12-10;6.578;6.59;6.446;6.60;6.408;6.60;6.5085;"17510";"113,964.6";160
2025-12-09;6.44;6.454;6.424;6.50;6.406;6.436;6.4527;"25590";"165,123.55";190
2025-12-08;6.412;6.434;6.30;6.556;6.30;6.424;6.4565;"33230";"214,549.3";230
2025-12-05;6.30;6.312;6.32;6.40;6.296;6.296;6.3412;"20303";"128,745.54";164
2025-12-04;6.284;6.296;6.23;6.296;6.192;6.296;6.2469;"40840";"255,125.16";214
2025-12-03;6.226;6.24;6.208;6.26;6.12;6.244;6.2137;"60464";"375,707.23";248
2025-12-02;6.134;6.156;6.178;6.178;6.108;6.156;6.147;"10104";"62,108.84";98
