sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;7.29;7.298;7.04;7.30;7.04;7.296;7.1739;"675952";"4,849,172.26";"1231"
2026-01-12;6.986;6.996;7.004;7.076;6.95;6.984;7.0101;"328747";"2,304,564.04";820
2026-01-09;6.99;6.996;6.888;6.996;6.888;6.988;6.9517;"319310";"2,219,733.58";908
2026-01-08;6.846;6.854;6.896;6.90;6.81;6.85;6.8456;"220749";"1,511,173.49";598
2026-01-07;6.904;6.916;6.862;6.956;6.814;6.91;6.8961;"464977";"3,206,539.58";"1136"
2026-01-05;6.724;6.736;6.752;6.876;6.722;6.724;6.7932;"297628";"2,021,860.54";620
2026-01-02;6.732;6.74;6.462;6.76;6.462;6.72;6.6847;"493882";"3,301,475.4";"1064"
2025-12-30;6.452;6.46;6.418;6.49;6.396;6.444;6.4447;"199754";"1,287,349.55";572
2025-12-29;6.396;6.408;6.31;6.416;6.296;6.396;6.3779;"217188";"1,385,201.3";537
2025-12-23;6.312;6.32;6.298;6.362;6.27;6.31;6.3054;"142506";"898,556.73";417
2025-12-22;6.286;6.294;6.41;6.436;6.244;6.288;6.3086;"265525";"1,675,099.95";798
2025-12-19;6.408;6.422;6.428;6.46;6.356;6.404;6.3968;"242160";"1,549,026.09";645
2025-12-18;6.446;6.454;6.34;6.474;6.314;6.446;6.4201;"266902";"1,713,396.69";622
2025-12-17;6.34;6.348;6.36;6.434;6.284;6.338;6.3513;"277896";"1,765,005.48";598
2025-12-16;6.338;6.348;6.354;6.40;6.272;6.328;6.3396;"226028";"1,432,960.03";550
2025-12-15;6.386;6.396;6.41;6.442;6.338;6.384;6.3772;"338121";"2,156,255.34";701
2025-12-12;6.414;6.418;6.456;6.52;6.398;6.398;6.4622;"468553";"3,027,970.55";875
2025-12-11;6.41;6.418;6.49;6.516;6.398;6.41;6.4303;"512638";"3,296,396.66";"1111"
2025-12-10;6.454;6.462;6.33;6.47;6.282;6.46;6.4148;"310335";"1,990,733.43";736
2025-12-09;6.316;6.328;6.262;6.388;6.262;6.328;6.3317;"243073";"1,539,053.44";556
2025-12-08;6.302;6.314;6.222;6.434;6.222;6.296;6.3356;"460723";"2,918,945.78";959
2025-12-05;6.192;6.20;6.17;6.284;6.168;6.184;6.2233;"243542";"1,515,644.41";612
2025-12-04;6.168;6.176;6.104;6.176;6.052;6.166;6.1247;"299702";"1,835,587.25";646
2025-12-03;6.09;6.10;6.08;6.128;5.99;6.098;6.0829;"340592";"2,071,775.85";812
2025-12-02;6.03;6.038;6.02;6.048;5.984;6.032;6.016;"275287";"1,656,129.07";730
2025-12-01;6.054;6.06;6.04;6.076;6.00;6.054;6.0432;"258828";"1,564,158.56";779
2025-11-28;6.046;6.05;5.946;6.062;5.908;6.02;6.0053;"1205543";"7,263,239.4";754
2025-11-27;5.932;5.936;6.016;6.02;5.928;5.946;5.959;"250520";"1,492,853.94";730
2025-11-26;6.018;6.026;5.84;6.03;5.84;6.016;5.9821;"601250";"3,596,698.89";"1050"
2025-11-25;5.846;5.856;5.78;5.864;5.686;5.84;5.795;"353351";"2,047,660.51";790
2025-11-24;5.75;5.76;5.646;5.786;5.638;5.762;5.709;"369793";"2,111,091";970
2025-11-21;5.534;5.542;5.472;5.648;5.42;5.55;5.5222;"241663";"1,334,516.11";650
2025-11-20;5.59;5.60;5.63;5.658;5.56;5.60;5.6123;"186900";"1,048,933.44";499
2025-11-19;5.568;5.572;5.502;5.636;5.466;5.572;5.5633;"278554";"1,549,690.8";615
2025-11-18;5.502;5.51;5.556;5.628;5.466;5.504;5.5476;"276281";"1,532,690.03";632
2025-11-17;5.648;5.654;5.568;5.68;5.54;5.642;5.6438;"324802";"1,833,133.69";635
2025-11-14;5.602;5.61;5.532;5.612;5.42;5.606;5.512;"330101";"1,819,510.55";735
2025-11-13;5.59;5.598;5.52;5.666;5.50;5.58;5.5886;"422223";"2,359,626.95";640
2025-11-12;5.506;5.51;5.392;5.522;5.384;5.50;5.4568;"376224";"2,053,066.47";624
2025-11-11;5.378;5.382;5.344;5.438;5.32;5.384;5.3788;"159309";"856,885.45";426
2025-11-10;5.336;5.348;5.442;5.476;5.322;5.338;5.3726;"199646";"1,072,609.89";445
2025-11-07;5.362;5.372;5.264;5.43;5.264;5.372;5.3743;"338408";"1,818,690.15";555
2025-11-06;5.252;5.258;5.296;5.38;5.252;5.262;5.314;"264130";"1,403,606.08";463
2025-11-05;5.266;5.276;5.176;5.314;5.15;5.272;5.2274;"312554";"1,633,845.45";560
2025-11-04;5.232;5.242;5.482;5.482;5.172;5.238;5.2756;"725833";"3,829,179.21";"1188"
2025-11-03;5.534;5.538;5.384;5.538;5.36;5.538;5.481;"232645";"1,275,125.79";560
2025-10-31;5.374;5.38;5.404;5.454;5.362;5.386;5.4005;"212489";"1,147,504.12";456
2025-10-30;5.402;5.414;5.448;5.45;5.382;5.412;5.4166;"106944";"579,277.54";437
2025-10-29;5.44;5.446;5.582;5.582;5.42;5.448;5.4593;"461074";"2,517,117.61";691
