sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;10.95;11.05;10.75;11.15;10.75;10.95;11.0346;"8765";"96,718.35";45
2026-01-12;10.75;10.85;10.95;10.95;10.75;10.75;10.8575;"16335";"177,355.85";57
2026-01-09;10.85;10.95;10.90;10.95;10.80;10.95;10.9078;"3090";"33,705.25";30
2026-01-08;10.80;10.90;11.20;11.20;10.60;10.90;10.8547;"8162";"88,587.25";56
2026-01-07;10.95;11.00;11.20;11.25;10.85;11.20;11.1143;"9473";"105,288.7";69
2026-01-05;10.85;10.95;11.00;11.10;10.80;10.95;10.9826;"5532";"60,755.33";49
2026-01-02;10.85;10.95;10.65;11.00;10.65;10.85;10.8845;"7911";"86,107";64
2025-12-30;10.70;10.75;10.55;10.75;10.55;10.65;10.655;"7014";"74,734.15";63
2025-12-29;10.55;10.65;10.35;10.60;10.35;10.55;10.5113;"7693";"80,865.35";65
2025-12-23;10.35;10.40;10.40;10.40;10.25;10.35;10.3361;"1364";"14,098.4";16
2025-12-22;10.30;10.40;10.30;10.40;10.25;10.30;10.3094;"7892";"81,361.9";35
2025-12-19;10.35;10.45;10.40;10.45;10.30;10.30;10.378;"3916";"40,640.35";33
2025-12-18;10.40;10.45;10.35;10.45;10.25;10.35;10.3184;"2448";"25,259.35";19
2025-12-17;10.25;10.35;10.25;10.35;10.20;10.20;10.2778;"5620";"57,761.15";27
2025-12-16;10.20;10.35;10.25;10.40;10.15;10.20;10.2667;"2444";"25,102.57";27
2025-12-15;10.15;10.25;10.35;10.40;10.15;10.15;10.2715;"6970";"71,592.1";57
2025-12-12;10.25;10.35;10.25;10.35;10.20;10.35;10.2573;"6021";"61,758.4";40
2025-12-11;10.30;10.35;10.25;10.65;10.10;10.10;10.413;"14010";"145,895.25";78
2025-12-10;10.30;10.40;10.10;10.35;10.10;10.25;10.2506;"6742";"69,109.25";38
2025-12-09;10.15;10.25;10.30;10.30;10.10;10.25;10.2072;"7365";"75,176.1";34
2025-12-08;10.25;10.35;10.35;10.35;10.20;10.35;10.3035;"6123";"63,088.45";32
2025-12-05;10.45;10.50;10.50;10.65;10.30;10.40;10.4131;"11906";"123,978.85";44
2025-12-04;10.50;10.65;10.50;10.65;10.50;10.50;10.5177;"4353";"45,783.5";23
2025-12-03;10.35;10.50;10.20;10.70;10.20;10.35;10.3822;"3518";"36,525.15";32
2025-12-02;10.10;10.15;10.20;10.25;10.15;10.15;10.1823;"5846";"59,526";22
2025-12-01;10.20;10.30;10.25;10.35;10.15;10.25;10.2175;"15433";"157,685.8";36
2025-11-28;10.25;10.40;10.30;10.45;10.30;10.30;10.3349;"2668";"27,573.6";12
2025-11-27;10.35;10.40;10.30;10.35;10.15;10.35;10.3116;"1459";"15,044.6";13
2025-11-26;10.20;10.30;10.20;10.30;10.15;10.15;10.1916;"1144";"11,659.4";15
2025-11-25;10.25;10.35;10.20;10.35;10.05;10.25;10.1215;"1980";"20,040.5";18
2025-11-24;10.00;10.10;9.78;10.10;9.76;10.10;10.055;"11834";"118,991.2";44
2025-11-21;9.80;9.90;9.48;9.88;9.36;9.76;9.5819;"5546";"53,141.46";31
2025-11-20;9.70;9.76;10.00;10.00;9.48;9.48;9.8729;"5115";"50,499.95";36
2025-11-19;9.96;10.00;9.78;10.05;9.78;9.96;9.8803;"2278";"22,514.7";22
2025-11-18;9.78;9.88;10.15;10.15;9.78;9.78;9.9564;"5866";"58,404.51";54
2025-11-17;10.20;10.25;10.45;10.45;10.20;10.20;10.2579;"11778";"120,817.45";58
2025-11-14;10.25;10.35;10.55;11.00;10.15;10.20;10.4674;"14779";"154,697.7";98
2025-11-13;10.60;10.70;10.75;10.90;10.60;10.65;10.6552;"32882";"350,365.75";62
2025-11-12;10.70;10.80;10.60;10.80;10.50;10.75;10.6339;"9245";"98,310.45";52
2025-11-11;10.55;10.60;10.35;10.65;10.30;10.60;10.4678;"38743";"405,557.85";109
2025-11-10;10.35;10.45;10.25;10.50;10.25;10.35;10.443;"3929";"41,030.65";33
2025-11-07;10.20;10.30;10.35;10.35;10.20;10.25;10.2624;"3246";"33,311.15";19
2025-11-06;10.25;10.35;10.30;10.45;10.25;10.35;10.3767;"7105";"73,726.25";40
2025-11-05;10.25;10.30;10.15;10.35;10.15;10.25;10.2519;"11468";"117,569.25";41
2025-11-04;10.15;10.30;10.35;10.35;10.05;10.25;10.1415;"4264";"43,243.3";22
2025-11-03;10.25;10.35;10.40;10.45;10.25;10.35;10.3534;"9379";"97,104.4";55
2025-10-31;10.35;10.45;10.25;10.50;10.20;10.35;10.393;"9885";"102,734.65";61
2025-10-30;10.15;10.25;9.96;10.25;9.92;10.25;10.0551;"4457";"44,815.78";45
2025-10-29;9.90;9.96;9.98;10.10;9.90;10.00;9.9932;"5676";"56,721.48";39
2025-10-28;9.92;10.00;9.92;10.00;9.76;10.00;9.8733;"4582";"45,239.5";27
2025-10-27;9.94;10.00;10.20;10.20;9.90;9.94;9.995;"4902";"48,995.39";40
2025-10-24;10.05;10.20;9.98;10.20;9.86;10.20;9.9728;"8044";"80,221.23";55
2025-10-23;9.84;9.96;9.40;9.86;9.40;9.86;9.6391;"15715";"151,474.36";80
2025-10-22;9.10;9.16;9.04;9.22;9.04;9.08;9.0935;"5087";"46,258.58";34
2025-10-21;9.08;9.16;9.10;9.14;9.04;9.04;9.1168;"1267";"11,550.7";23
2025-10-20;9.02;9.08;9.10;9.20;8.92;9.10;9.0288;"8231";"74,315.22";59
2025-10-17;9.10;9.16;9.04;9.24;8.96;9.16;9.0247;"6687";"60,347.92";48
2025-10-16;9.04;9.08;9.34;9.34;9.04;9.04;9.106;"2694";"24,531.86";27
2025-10-15;9.18;9.26;9.22;9.30;9.16;9.26;9.2339;"3243";"29,943.94";30
2025-10-14;9.20;9.22;9.26;9.32;9.20;9.22;9.2464;"2827";"26,139.64";20
2025-10-13;9.26;9.30;9.24;9.26;9.12;9.26;9.2327;"2356";"21,752.34";30
2025-10-10;9.24;9.28;9.38;9.38;9.22;9.24;9.2761;"7565";"70,173.63";52
2025-10-09;9.40;9.44;9.58;9.68;9.36;9.46;9.4761;"14447";"136,901.2";61
2025-10-08;9.48;9.58;9.74;9.74;9.46;9.54;9.5511;"7994";"76,345.2";68
