sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;10.72;10.73;10.645;10.905;10.645;10.75;10.768;"1737150";"18,706,156.18";"3229"
2026-01-12;10.64;10.65;10.79;10.81;10.545;10.645;10.6458;"913578";"9,725,269.91";"1574"
2026-01-09;10.735;10.75;10.60;10.775;10.58;10.73;10.7123;"1033722";"11,071,763.02";"1979"
2026-01-08;10.555;10.565;10.745;10.75;10.38;10.56;10.5338;"1221977";"12,874,762.48";"2313"
2026-01-07;10.755;10.76;10.77;11.03;10.665;10.745;10.7992;"1588215";"17,152,992.96";"2897"
2026-01-05;10.76;10.775;10.90;10.97;10.665;10.745;10.7679;"761083";"8,195,318.46";"1559"
2026-01-02;10.84;10.85;10.73;10.895;10.72;10.82;10.8255;"714733";"7,737,347.11";"1564"
2025-12-30;10.705;10.715;10.595;10.73;10.55;10.705;10.6952;"1023234";"10,943,404.07";"1424"
2025-12-29;10.58;10.59;10.335;10.595;10.335;10.595;10.5637;"884637";"9,344,571.82";"1829"
2025-12-23;10.285;10.30;10.265;10.39;10.25;10.315;10.3185;"761391";"7,856,267.59";"1387"
2025-12-22;10.295;10.30;10.295;10.355;10.245;10.305;10.2974;"832775";"8,575,181.71";"1759"
2025-12-19;10.335;10.35;10.365;10.43;10.28;10.295;10.3112;"2962639";"30,550,855.87";"2926"
2025-12-18;10.37;10.385;10.165;10.41;10.125;10.365;10.345;"1878790";"19,434,450.27";"2132"
2025-12-17;10.205;10.215;10.15;10.255;10.04;10.165;10.1634;"1104353";"11,224,185.19";"1727"
2025-12-16;10.175;10.185;10.13;10.265;10.085;10.165;10.161;"3852033";"39,141,264.31";"3238"
2025-12-15;10.10;10.11;10.135;10.275;10.075;10.11;10.1434;"1583622";"16,065,040.06";"2913"
2025-12-12;10.11;10.12;10.29;10.295;10.11;10.135;10.1557;"1822169";"18,507,427.69";"2585"
2025-12-11;10.275;10.285;10.325;10.53;10.215;10.26;10.3407;"2098729";"21,704,332.72";"3696"
2025-12-10;10.27;10.29;10.12;10.315;10.045;10.315;10.2245;"1112599";"11,373,854.6";"2603"
2025-12-09;10.14;10.15;10.245;10.28;10.09;10.17;10.1636;"1200681";"12,202,847.69";"1506"
2025-12-08;10.205;10.22;10.295;10.295;10.135;10.245;10.2296;"1182213";"12,091,834.13";"1816"
2025-12-05;10.31;10.32;10.355;10.455;10.25;10.30;10.3167;"1424100";"14,695,694.21";"2837"
2025-12-04;10.405;10.41;10.27;10.475;10.225;10.40;10.3863;"2086844";"21,680,581.48";"3026"
2025-12-03;10.185;10.20;9.95;10.435;9.95;10.21;10.2283;"1394571";"14,263,975.3";"2695"
2025-12-02;9.89;9.902;10.065;10.08;9.89;9.934;9.9447;"1105883";"10,997,931.54";"2197"
2025-12-01;10.055;10.07;10.08;10.11;9.934;10.015;10.0198;"1476238";"14,791,420.59";"2352"
2025-11-28;10.125;10.135;10.18;10.23;10.07;10.13;10.1352;"1387422";"14,062,059.01";"1892"
2025-11-27;10.165;10.18;10.00;10.185;9.988;10.165;10.1334;"747460";"7,573,525.19";"1694"
2025-11-26;10.04;10.05;10.075;10.145;9.934;10.005;10.0113;"1563589";"15,662,484.56";"2695"
2025-11-25;10.095;10.11;9.876;10.135;9.752;10.04;10.0141;"1824145";"18,264,797.28";"3194"
2025-11-24;9.802;9.816;9.762;9.90;9.666;9.86;9.8405;"3376898";"33,229,352.52";"4590"
2025-11-21;9.666;9.676;9.446;9.718;9.394;9.654;9.6117;"1418356";"13,631,104.24";"2697"
2025-11-20;9.524;9.534;9.804;9.86;9.524;9.548;9.6238;"1213598";"11,680,122.05";"2576"
2025-11-19;9.812;9.82;9.702;9.928;9.67;9.80;9.811;"1269752";"12,458,202.72";"2221"
2025-11-18;9.694;9.70;9.92;9.936;9.64;9.694;9.728;"1840937";"17,911,121.98";"3158"
2025-11-17;10.05;10.06;10.24;10.245;10.025;10.03;10.0608;"1446968";"14,560,591.21";"2138"
