sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;3.595;3.599;3.626;3.633;3.59;3.592;3.6078;"428132";"1,544,646.83";572
2026-01-12;3.677;3.681;3.638;3.692;3.629;3.67;3.6654;"249289";"913,748.03";466
2026-01-09;3.639;3.646;3.682;3.682;3.612;3.64;3.6382;"439089";"1,597,440.31";779
2026-01-08;3.68;3.682;3.658;3.702;3.636;3.678;3.6807;"245499";"903,606.07";447
2026-01-07;3.662;3.667;3.627;3.688;3.627;3.661;3.6632;"337767";"1,237,332.43";767
2026-01-05;3.63;3.634;3.662;3.662;3.595;3.627;3.6282;"246826";"895,483.99";535
2026-01-02;3.667;3.67;3.649;3.698;3.647;3.667;3.6742;"532243";"1,954,899.66";513
2025-12-30;3.658;3.662;3.617;3.66;3.617;3.649;3.6404;"262109";"954,177.75";471
2025-12-29;3.626;3.63;3.592;3.63;3.581;3.625;3.6118;"426395";"1,540,061.11";557
2025-12-23;3.60;3.602;3.545;3.612;3.545;3.597;3.5978;"391393";"1,408,159.63";585
2025-12-22;3.543;3.547;3.553;3.553;3.511;3.545;3.5354;"172163";"608,672.44";552
2025-12-19;3.557;3.561;3.54;3.564;3.53;3.553;3.5486;"261634";"928,433";382
2025-12-18;3.547;3.549;3.526;3.556;3.526;3.545;3.545;"316832";"1,123,139.44";452
2025-12-17;3.525;3.529;3.466;3.528;3.466;3.521;3.5074;"253116";"887,781.94";408
2025-12-16;3.475;3.48;3.481;3.489;3.465;3.471;3.474;"137666";"478,255.8";333
2025-12-15;3.492;3.497;3.442;3.501;3.442;3.484;3.4785;"439480";"1,528,742.62";615
2025-12-12;3.448;3.451;3.465;3.474;3.442;3.442;3.4533;"157173";"542,758.13";348
2025-12-11;3.465;3.47;3.45;3.472;3.449;3.466;3.4658;"165603";"573,953.4";325
2025-12-10;3.446;3.451;3.471;3.471;3.442;3.455;3.4524;"218872";"755,627.23";558
2025-12-09;3.475;3.48;3.457;3.51;3.457;3.474;3.4895;"280463";"978,686.75";469
2025-12-08;3.468;3.472;3.50;3.507;3.452;3.467;3.4819;"189792";"660,836.09";398
2025-12-05;3.499;3.503;3.496;3.51;3.486;3.505;3.5049;"610730";"2,140,538.5";402
2025-12-04;3.503;3.504;3.468;3.505;3.448;3.496;3.4853;"347362";"1,210,663.69";490
2025-12-03;3.465;3.468;3.462;3.487;3.448;3.468;3.4691;"165894";"575,501.87";318
2025-12-02;3.461;3.464;3.443;3.467;3.43;3.462;3.454;"84977";"293,511.42";261
2025-12-01;3.444;3.445;3.468;3.468;3.443;3.443;3.4577;"135522";"468,596.05";337
2025-11-28;3.485;3.488;3.476;3.512;3.451;3.471;3.478;"413541";"1,438,315.19";473
2025-11-27;3.438;3.44;3.426;3.447;3.421;3.435;3.4338;"166671";"572,242.97";305
2025-11-26;3.434;3.44;3.40;3.44;3.40;3.423;3.4196;"149959";"512,790.17";352
2025-11-25;3.42;3.422;3.364;3.443;3.364;3.42;3.4215;"303698";"1,039,095.18";503
2025-11-24;3.365;3.371;3.37;3.379;3.353;3.364;3.3655;"158698";"534,093.49";384
2025-11-21;3.371;3.378;3.318;3.378;3.284;3.372;3.3459;"235088";"786,584.25";394
2025-11-20;3.315;3.32;3.326;3.334;3.31;3.319;3.3199;"193910";"643,776.75";378
2025-11-19;3.32;3.322;3.342;3.362;3.313;3.316;3.3355;"219806";"733,169.59";320
2025-11-18;3.341;3.343;3.37;3.37;3.323;3.342;3.3426;"209303";"699,616.18";380
2025-11-17;3.376;3.38;3.379;3.385;3.352;3.381;3.3723;"188393";"635,328.06";336
2025-11-14;3.376;3.38;3.432;3.432;3.339;3.376;3.365;"212329";"714,485.7";486
2025-11-13;3.447;3.449;3.486;3.497;3.443;3.443;3.4711;"311934";"1,082,738.82";505
2025-11-12;3.476;3.478;3.445;3.483;3.445;3.476;3.4692;"247796";"859,653.1";407
2025-11-11;3.453;3.457;3.415;3.457;3.415;3.443;3.4412;"379368";"1,305,490.7";556
2025-11-10;3.435;3.439;3.429;3.447;3.426;3.435;3.4365;"251289";"863,560.52";465
2025-11-07;3.449;3.455;3.407;3.46;3.402;3.449;3.4309;"329169";"1,129,296.37";504
2025-11-06;3.389;3.39;3.39;3.411;3.375;3.392;3.3938;"710482";"2,411,246.09";665
2025-11-05;3.374;3.379;3.363;3.384;3.35;3.378;3.3691;"302666";"1,019,707.79";427
2025-11-04;3.364;3.366;3.374;3.383;3.335;3.363;3.3599;"387107";"1,300,535.04";590
2025-11-03;3.377;3.379;3.387;3.43;3.37;3.377;3.3906;"263262";"892,606.4";431
2025-10-31;3.386;3.39;3.415;3.44;3.381;3.387;3.4106;"372707";"1,271,164.68";582
2025-10-30;3.407;3.412;3.365;3.414;3.354;3.414;3.3899;"220312";"746,520.39";384
2025-10-29;3.358;3.362;3.368;3.387;3.33;3.358;3.3614;"350816";"1,179,270.14";559
2025-10-28;3.427;3.429;3.41;3.436;3.375;3.417;3.4089;"378695";"1,290,943.95";708
2025-10-27;3.409;3.415;3.438;3.442;3.39;3.407;3.4084;"427195";"1,456,020.59";750
2025-10-24;3.431;3.437;3.462;3.496;3.428;3.436;3.4497;"495463";"1,709,201.46";729
2025-10-23;3.445;3.447;3.314;3.449;3.314;3.443;3.3994;"1862445";"6,331,524.9";"1504"
2025-10-22;3.216;3.221;3.283;3.296;3.217;3.217;3.2378;"321814";"1,041,968.47";607
2025-10-21;3.28;3.281;3.275;3.297;3.242;3.283;3.2677;"225147";"735,772.88";403
2025-10-20;3.278;3.281;3.29;3.313;3.274;3.278;3.2954;"166578";"548,949.5";642
2025-10-17;3.291;3.293;3.294;3.305;3.247;3.296;3.2829;"157029";"515,352.21";381
2025-10-16;3.289;3.292;3.296;3.307;3.249;3.295;3.2773;"275084";"901,464.98";506
2025-10-15;3.297;3.30;3.247;3.321;3.247;3.288;3.2964;"392310";"1,293,222.47";514
2025-10-14;3.246;3.25;3.212;3.272;3.212;3.247;3.2539;"216121";"703,233.49";378
2025-10-13;3.21;3.212;3.25;3.265;3.202;3.21;3.2194;"185772";"598,068.13";507
2025-10-10;3.247;3.252;3.214;3.26;3.214;3.248;3.244;"260138";"843,905.3";362
2025-10-09;3.217;3.219;3.22;3.237;3.212;3.212;3.2241;"124514";"401,439.51";333
2025-10-08;3.225;3.227;3.202;3.23;3.202;3.223;3.2164;"180984";"582,111.53";353
2025-10-07;3.211;3.213;3.233;3.242;3.206;3.212;3.2194;"163885";"527,609.48";398
2025-10-06;3.235;3.239;3.22;3.255;3.22;3.232;3.2393;"133815";"433,470.41";384
2025-10-03;3.223;3.226;3.233;3.25;3.22;3.22;3.233;"205473";"664,284.43";344
2025-10-02;3.223;3.228;3.253;3.276;3.219;3.223;3.2434;"175593";"569,564.52";382
2025-10-01;3.256;3.259;3.238;3.269;3.238;3.251;3.2555;"156821";"510,525.33";344
2025-09-30;3.248;3.25;3.21;3.248;3.196;3.242;3.2222;"182379";"587,640.09";391
2025-09-29;3.214;3.219;3.226;3.245;3.207;3.21;3.2206;"203852";"656,529.05";410
2025-09-26;3.228;3.229;3.213;3.234;3.195;3.226;3.2186;"247021";"795,064.64";353
2025-09-25;3.197;3.199;3.203;3.214;3.189;3.195;3.1999;"203529";"651,264.3";337
2025-09-24;3.188;3.193;3.182;3.21;3.171;3.187;3.189;"206593";"658,829.44";372
2025-09-23;3.182;3.184;3.195;3.21;3.178;3.181;3.1931;"218828";"698,704.87";475
2025-09-22;3.198;3.201;3.25;3.25;3.195;3.195;3.2105;"280664";"901,082.13";503
2025-09-19;3.255;3.256;3.263;3.285;3.246;3.25;3.2609;"183493";"598,356.81";381
2025-09-18;3.272;3.278;3.295;3.314;3.261;3.275;3.2812;"180159";"591,135.71";351
2025-09-17;3.291;3.293;3.268;3.305;3.266;3.294;3.2921;"216854";"713,900.16";331
2025-09-16;3.264;3.268;3.30;3.31;3.264;3.264;3.2811;"168418";"552,603.82";286
2025-09-15;3.286;3.289;3.288;3.308;3.27;3.286;3.2917;"197785";"651,046.11";405
2025-09-12;3.286;3.29;3.259;3.289;3.237;3.288;3.2628;"409211";"1,335,190.8";524
2025-09-11;3.318;3.321;3.29;3.331;3.29;3.318;3.3199;"257681";"855,473.87";343
2025-09-10;3.289;3.293;3.30;3.31;3.284;3.288;3.2975;"404682";"1,334,436.1";605
2025-09-09;3.291;3.294;3.238;3.294;3.238;3.292;3.2806;"320308";"1,050,810.24";480
2025-09-08;3.238;3.242;3.257;3.257;3.224;3.233;3.2383;"372412";"1,205,998.88";544
2025-09-05;3.254;3.257;3.239;3.267;3.23;3.257;3.2515;"267921";"871,158.37";424
2025-09-04;3.236;3.239;3.191;3.254;3.184;3.233;3.2325;"395763";"1,279,315.23";576
2025-09-03;3.188;3.19;3.202;3.211;3.162;3.191;3.1822;"226910";"722,072.01";380
2025-09-02;3.199;3.204;3.225;3.226;3.191;3.202;3.2049;"130708";"418,912.76";333
2025-09-01;3.222;3.226;3.191;3.226;3.191;3.225;3.2087;"357680";"1,147,683.62";361
2025-08-29;3.184;3.188;3.166;3.188;3.165;3.187;3.1809;"149810";"476,526.07";354
2025-08-28;3.166;3.171;3.20;3.203;3.158;3.169;3.1708;"277340";"879,376.14";384
2025-08-27;3.191;3.194;3.18;3.197;3.169;3.197;3.186;"262345";"835,833.05";500
2025-08-26;3.174;3.178;3.197;3.197;3.173;3.173;3.1803;"220801";"702,217.54";365
2025-08-25;3.19;3.192;3.222;3.222;3.186;3.194;3.1946;"172656";"551,571.44";323
2025-08-22;3.218;3.223;3.213;3.233;3.207;3.222;3.2211;"275404";"887,109.58";380
2025-08-21;3.21;3.213;3.20;3.215;3.178;3.211;3.1973;"143607";"459,154.8";270
2025-08-20;3.204;3.207;3.167;3.208;3.167;3.207;3.1927;"315176";"1,006,200.86";394
2025-08-19;3.167;3.17;3.192;3.195;3.161;3.161;3.175;"480385";"1,525,209.29";435
