sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;18.55;18.56;18.60;18.60;18.35;18.56;18.542;"434913";"8,064,164.76";943
2026-01-12;18.55;18.59;18.75;18.77;18.26;18.59;18.5043;"384629";"7,114,375.98";"1851"
2026-01-09;19.14;19.15;18.54;19.22;18.47;19.16;19.0234;"375124";"7,135,581.87";"1581"
2026-01-08;18.43;18.47;18.75;18.77;18.37;18.54;18.5102;"217227";"4,020,807.87";"1028"
2026-01-07;18.76;18.78;18.27;18.88;18.27;18.68;18.702;"389607";"7,286,481.51";"1641"
2026-01-05;18.24;18.26;18.22;18.27;18.00;18.27;18.2055;"286091";"5,208,434.37";"1079"
2026-01-02;18.14;18.15;18.28;18.44;18.12;18.12;18.2311;"271827";"4,955,695.83";"1168"
2025-12-30;18.31;18.33;18.20;18.37;18.20;18.30;18.2935;"161070";"2,946,539.19";"1066"
2025-12-29;18.21;18.23;18.00;18.25;18.00;18.18;18.1438;"234656";"4,257,562.82";"1056"
2025-12-23;18.00;18.01;18.10;18.12;17.92;18.04;18.0296;"150426";"2,712,126.01";839
2025-12-22;18.12;18.13;18.22;18.22;18.03;18.15;18.1303;"137852";"2,499,293";804
2025-12-19;18.29;18.32;18.12;18.40;18.07;18.24;18.2574;"426702";"7,790,458.93";"1416"
2025-12-18;18.12;18.13;18.04;18.28;17.98;18.21;18.1617;"264114";"4,798,517.28";"1016"
2025-12-17;18.14;18.15;18.02;18.15;17.81;18.10;18.0522;"399774";"7,216,810.85";956
2025-12-16;18.07;18.09;18.23;18.33;18.02;18.02;18.0584;"363254";"6,559,788.77";732
2025-12-15;18.37;18.39;18.28;18.53;18.24;18.30;18.34;"282112";"5,174,070.44";"1070"
2025-12-12;18.32;18.37;18.27;18.53;18.27;18.28;18.3275;"461720";"8,462,263.53";"1362"
2025-12-11;18.28;18.31;18.03;18.41;17.95;18.27;18.1863;"563808";"10,250,310.32";"1935"
2025-12-10;18.01;18.03;18.13;18.13;17.95;18.05;18.0328;"164619";"2,968,521.07";964
2025-12-09;18.08;18.10;18.28;18.28;17.97;18.13;18.119;"418965";"7,591,203.06";980
2025-12-08;18.28;18.29;18.44;18.57;18.27;18.28;18.398;"165804";"3,050,470.02";"1213"
2025-12-05;18.45;18.47;18.61;18.68;18.45;18.49;18.5245;"115019";"2,130,650.31";626
2025-12-04;18.68;18.69;18.54;18.69;18.38;18.66;18.6131;"138977";"2,586,815.74";893
2025-12-03;18.50;18.52;18.32;18.59;18.32;18.54;18.4942;"211414";"3,909,760.39";"1001"
2025-12-02;18.32;18.34;18.43;18.43;18.15;18.30;18.2946;"137265";"2,511,217.29";895
2025-12-01;18.46;18.47;18.07;18.48;17.88;18.43;18.2668;"358751";"6,553,332.12";"1494"
2025-11-28;17.87;17.88;17.83;17.90;17.72;17.90;17.8681;"186620";"3,334,516.4";787
2025-11-27;17.85;17.87;17.75;17.89;17.67;17.83;17.8001;"157398";"2,801,698.4";822
2025-11-26;17.62;17.64;17.89;17.89;17.51;17.67;17.6802;"232749";"4,115,051.83";"1328"
2025-11-25;17.70;17.71;18.19;18.19;17.68;17.84;17.8387;"473217";"8,440,948.63";"1777"
2025-11-24;18.19;18.22;17.80;18.27;17.80;18.27;18.2118;"382026";"6,957,139.94";"1136"
2025-11-21;17.79;17.81;17.50;18.16;17.50;17.80;17.8977;"393188";"7,038,281.69";"1553"
2025-11-20;17.65;17.69;17.54;18.17;17.42;17.75;17.8148;"568544";"10,127,442.1";"2417"
2025-11-19;17.38;17.41;17.32;17.44;17.19;17.33;17.3133;"187910";"3,253,599.15";"1041"
2025-11-18;17.37;17.41;17.60;17.64;17.35;17.37;17.4159;"236098";"4,112,394.73";"1017"
2025-11-17;17.77;17.79;18.07;18.12;17.76;17.79;17.8533;"148918";"2,658,725.06";831
2025-11-14;18.04;18.06;18.31;18.31;18.03;18.10;18.1142;"154802";"2,804,139.65";771
2025-11-13;18.37;18.39;18.39;18.47;18.30;18.37;18.3818;"113212";"2,081,053.53";623
2025-11-12;18.34;18.37;18.18;18.50;18.11;18.42;18.3872;"246285";"4,527,738.36";"1147"
2025-11-11;18.17;18.19;18.00;18.18;17.98;18.18;18.1435;"139141";"2,524,445.97";634
2025-11-10;18.04;18.06;17.93;18.22;17.92;17.98;18.0294;"247156";"4,456,284.95";"1040"
2025-11-07;17.88;17.89;17.78;18.03;17.66;17.84;17.8287;"302589";"5,393,176.07";"1226"
2025-11-06;17.73;17.76;17.89;17.97;17.68;17.78;17.779;"189949";"3,377,184.63";"1052"
2025-11-05;17.89;17.90;18.11;18.13;17.85;17.89;17.933;"230914";"4,140,966.34";"1158"
2025-11-04;18.17;18.19;18.54;18.54;18.07;18.19;18.1941;"203917";"3,710,016.52";"1137"
2025-11-03;18.54;18.56;18.54;18.67;18.44;18.64;18.6108;"269842";"5,021,964.36";"1276"
2025-10-31;18.54;18.56;18.34;18.61;18.26;18.61;18.5328;"373707";"6,918,564.85";"1169"
2025-10-30;18.31;18.32;18.28;18.38;18.21;18.34;18.311;"277374";"5,078,726.93";"1263"
2025-10-29;18.22;18.23;18.23;18.35;18.02;18.28;18.2336;"374540";"6,827,298.53";"1403"
2025-10-28;18.26;18.28;18.10;18.30;17.84;18.30;18.1042;"395117";"7,152,791.36";"1839"
2025-10-27;18.18;18.19;18.28;18.28;17.83;18.20;18.0998;"289131";"5,233,207.88";"1334"
2025-10-24;18.14;18.16;18.11;18.28;17.87;18.28;18.1006;"433954";"7,852,671.19";"1817"
2025-10-23;18.14;18.15;16.64;18.20;16.64;18.20;17.8071;"1522979";"27,118,358.04";"4655"
2025-10-22;16.36;16.38;16.50;16.56;16.20;16.49;16.4393;"552667";"9,085,436.02";"1471"
2025-10-21;16.54;16.55;16.26;16.59;16.21;16.59;16.4701;"304511";"5,015,222.33";"1184"
2025-10-20;16.21;16.23;16.10;16.26;15.92;16.26;16.204;"256594";"4,157,574.6";"1095"
2025-10-17;16.02;16.03;16.04;16.10;15.90;16.10;16.0221;"401429";"6,431,649.67";"2000"
2025-10-16;16.22;16.23;16.05;16.24;15.95;16.24;16.1626;"370202";"5,983,095.81";"1633"
2025-10-15;15.98;16.00;15.53;16.04;15.51;16.04;15.9196;"421566";"6,712,551.07";"1533"
2025-10-14;15.46;15.48;15.39;15.49;15.28;15.49;15.4378;"174314";"2,690,918.08";886
2025-10-13;15.39;15.40;15.38;15.56;15.36;15.46;15.441;"237181";"3,662,179.24";"1031"
2025-10-10;15.37;15.39;15.55;15.69;15.35;15.39;15.4066;"671351";"10,343,877.49";958
2025-10-09;15.59;15.60;15.60;15.75;15.54;15.54;15.5833;"217749";"3,393,409.23";839
2025-10-08;15.63;15.66;15.60;15.84;15.59;15.66;15.7074;"182388";"2,864,909.55";990
2025-10-07;15.56;15.58;15.45;15.62;15.35;15.60;15.5496;"219943";"3,419,545.42";"1017"
2025-10-06;15.45;15.47;15.61;15.61;15.33;15.41;15.4344;"297693";"4,594,883.62";"1137"
2025-10-03;15.57;15.59;15.54;15.72;15.42;15.61;15.5828;"228943";"3,567,558.44";"1149"
2025-10-02;15.51;15.54;15.49;15.70;15.37;15.52;15.5282;"290780";"4,515,498.84";"1260"
2025-10-01;15.54;15.57;15.28;15.63;15.28;15.49;15.509;"193247";"2,997,139.45";"1012"
2025-09-30;15.40;15.43;15.25;15.43;15.15;15.40;15.3622;"280989";"4,316,286.91";"1169"
2025-09-29;15.24;15.25;15.10;15.25;15.05;15.22;15.1691;"107845";"1,635,758.36";856
2025-09-26;15.09;15.10;15.23;15.29;15.00;15.09;15.0998;"175682";"2,652,912.5";"1002"
2025-09-25;15.21;15.23;15.18;15.41;15.15;15.19;15.2281;"250641";"3,816,931.38";"1209"
2025-09-24;15.11;15.12;15.55;15.55;14.99;15.18;15.1062;"516084";"7,798,913.14";"2293"
2025-09-23;15.57;15.59;15.36;15.73;15.29;15.55;15.5353;"558884";"8,678,803.38";"2294"
2025-09-22;15.35;15.36;15.21;15.39;15.04;15.39;15.2458;"334383";"5,097,211.04";"1916"
2025-09-19;15.92;15.94;16.21;16.25;15.90;15.90;15.9505;"496427";"7,918,991.56";"1644"
2025-09-18;16.15;16.17;16.04;16.26;15.99;16.12;16.131;"541511";"8,735,267.25";"1404"
2025-09-17;15.93;15.94;15.80;16.00;15.79;15.98;15.9546;"252597";"4,030,043.3";"1119"
2025-09-16;15.77;15.78;15.80;16.13;15.71;15.78;15.839;"520738";"8,247,507.08";"2258"
2025-09-15;15.75;15.77;15.93;16.10;15.70;15.70;15.845;"245749";"3,894,257.26";"1553"
2025-09-12;15.94;15.95;15.88;16.03;15.78;15.92;15.9233;"156072";"2,485,098.27";"1022"
2025-09-11;15.88;15.89;15.83;16.00;15.82;15.88;15.8892;"185416";"2,946,138.78";"1020"
2025-09-10;15.82;15.84;16.02;16.21;15.80;15.80;15.9396;"178694";"2,848,492.77";"1007"
2025-09-09;15.96;15.98;15.90;16.05;15.88;15.99;15.9763;"115864";"1,851,031.53";646
2025-09-08;15.93;15.95;15.98;16.08;15.83;15.91;15.9056;"183676";"2,921,519.91";"1044"
2025-09-05;15.95;15.96;15.75;16.03;15.75;15.98;15.9543;"168544";"2,688,698.03";719
2025-09-04;15.74;15.75;15.67;15.83;15.67;15.73;15.7611;"190535";"3,003,098.24";632
2025-09-03;15.65;15.66;15.70;15.83;15.58;15.67;15.6858;"167100";"2,621,102.97";918
2025-09-02;15.64;15.66;16.05;16.07;15.64;15.64;15.7432;"303558";"4,779,157.51";"1358"
