sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;9.67;9.69;9.83;9.83;9.62;9.70;9.6905;"101930";"987,672.22";627
2026-01-12;9.77;9.82;9.86;9.89;9.76;9.76;9.8057;"120653";"1,183,044.83";773
2026-01-09;9.87;9.88;9.83;9.94;9.80;9.86;9.8751;"90307";"891,789.05";519
2026-01-08;9.82;9.85;9.83;9.89;9.73;9.83;9.8368;"174893";"1,720,140.15";744
2026-01-07;9.81;9.83;9.62;9.83;9.62;9.82;9.7821;"190611";"1,864,577.36";982
2026-01-05;9.58;9.60;9.64;9.71;9.52;9.60;9.5903;"114320";"1,096,353.13";830
2026-01-02;9.63;9.65;9.79;9.84;9.63;9.63;9.7231;"182178";"1,771,322.16";998
2025-12-30;9.77;9.78;9.70;9.79;9.66;9.78;9.7414;"131322";"1,279,235.74";766
2025-12-29;9.67;9.69;9.63;9.69;9.58;9.67;9.6434;"177315";"1,709,930.58";984
2025-12-23;9.61;9.64;9.49;9.78;9.48;9.63;9.6256;"206812";"1,990,685.34";"1121"
2025-12-22;9.45;9.47;9.45;9.49;9.33;9.46;9.4093;"133691";"1,257,639.86";857
2025-12-19;9.46;9.48;9.42;9.49;9.40;9.49;9.4655;"160279";"1,517,104.72";645
2025-12-18;9.40;9.42;9.38;9.42;9.33;9.42;9.3835;"93204";"874,422.25";577
2025-12-17;9.38;9.40;9.36;9.43;9.33;9.38;9.3849;"87244";"818,774.12";617
2025-12-16;9.34;9.38;9.43;9.43;9.33;9.36;9.3674;"108486";"1,016,267.95";609
2025-12-15;9.42;9.44;9.25;9.44;9.23;9.43;9.376;"150315";"1,409,508.47";781
2025-12-12;9.23;9.25;9.18;9.26;9.16;9.25;9.22;"135990";"1,253,764.12";502
2025-12-11;9.16;9.17;9.23;9.23;9.10;9.18;9.1697;"134089";"1,229,290.34";809
2025-12-10;9.21;9.23;9.26;9.26;9.16;9.21;9.2134;"76931";"708,846.32";539
2025-12-09;9.23;9.24;9.31;9.32;9.20;9.24;9.2459;"130205";"1,203,806.21";692
2025-12-08;9.27;9.28;9.30;9.36;9.25;9.30;9.2957;"137137";"1,274,714.55";900
2025-12-05;9.25;9.27;9.24;9.30;9.24;9.29;9.2715;"72977";"676,508.38";500
2025-12-04;9.23;9.24;9.25;9.28;9.19;9.24;9.2256;"107037";"987,593.69";831
2025-12-03;9.22;9.23;9.20;9.28;9.20;9.23;9.2319;"108988";"1,006,427.28";724
