sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;10.69;10.71;10.55;10.76;10.52;10.72;10.6702;"458550";"4,891,625.09";"1444"
2026-01-12;10.50;10.52;10.50;10.55;10.38;10.55;10.4875;"386968";"4,057,696.65";"1116"
2026-01-09;10.43;10.45;10.32;10.50;10.32;10.50;10.4483;"518075";"5,410,704.74";"1442"
2026-01-08;10.28;10.29;10.20;10.29;10.10;10.29;10.2319;"512185";"5,238,670.82";"1317"
2026-01-07;10.22;10.25;9.75;10.26;9.75;10.23;10.157;"976272";"9,914,838.73";"2315"
2026-01-05;9.685;9.70;9.65;9.77;9.595;9.705;9.692;"596053";"5,776,615.78";"1608"
2026-01-02;9.67;9.68;9.465;9.715;9.46;9.65;9.6291;"762659";"7,345,528.73";"1957"
2025-12-30;9.48;9.495;9.355;9.495;9.33;9.465;9.4541;"438661";"4,147,049.51";"1639"
2025-12-29;9.365;9.37;9.15;9.38;9.13;9.355;9.3155;"637665";"5,939,859.45";"1853"
2025-12-23;9.145;9.155;9.08;9.21;9.025;9.15;9.1258;"313475";"2,860,486.51";936
2025-12-22;9.08;9.085;9.00;9.13;9.00;9.11;9.0787;"307119";"2,788,170.16";"1018"
2025-12-19;9.06;9.075;9.125;9.275;9.055;9.085;9.1431;"724771";"6,627,340.16";"1558"
2025-12-18;9.145;9.155;8.93;9.19;8.845;9.16;9.0607;"1845510";"16,719,552.75";"2677"
2025-12-17;8.61;8.62;8.70;8.715;8.555;8.62;8.6178;"412557";"3,555,236.5";842
2025-12-16;8.70;8.71;8.685;8.925;8.68;8.695;8.7584;"390254";"3,418,194.04";"1022"
2025-12-15;8.68;8.685;8.70;8.76;8.62;8.685;8.6904;"387197";"3,364,848.34";918
2025-12-12;8.75;8.76;8.705;8.84;8.675;8.715;8.7474;"407265";"3,562,839.39";"1017"
2025-12-11;8.695;8.705;8.705;8.73;8.63;8.705;8.6987;"258076";"2,244,890.33";761
2025-12-10;8.69;8.70;8.685;8.705;8.575;8.705;8.6593;"287534";"2,489,820.94";858
2025-12-09;8.675;8.685;8.815;8.885;8.63;8.70;8.7114;"405886";"3,535,954.33";974
2025-12-08;8.81;8.82;8.80;8.94;8.72;8.815;8.8526;"367137";"3,250,461.16";"1457"
2025-12-05;8.81;8.82;8.60;8.855;8.58;8.80;8.7662;"640626";"5,615,282.31";"1393"
2025-12-04;8.61;8.62;8.605;8.70;8.56;8.585;8.5992;"308772";"2,655,361.52";766
2025-12-03;8.625;8.63;8.525;8.76;8.525;8.605;8.6477;"297182";"2,570,105.2";911
2025-12-02;8.525;8.535;8.42;8.57;8.395;8.54;8.5247;"446483";"3,805,707.66";"1105"
2025-12-01;8.465;8.475;8.39;8.48;8.33;8.42;8.4161;"512642";"4,314,465.09";936
2025-11-28;8.38;8.39;8.41;8.43;8.335;8.405;8.3933;"245724";"2,062,397.19";711
2025-11-27;8.43;8.44;8.31;8.44;8.265;8.41;8.3856;"392940";"3,294,506.28";950
2025-11-26;8.31;8.32;8.19;8.325;8.13;8.315;8.2696;"297881";"2,463,364.79";810
2025-11-25;8.205;8.215;8.165;8.22;8.085;8.195;8.172;"268710";"2,195,680.08";701
2025-11-24;8.11;8.12;8.20;8.27;8.11;8.165;8.1765;"330534";"2,702,601.3";844
2025-11-21;8.19;8.205;8.115;8.21;8.06;8.21;8.1571;"246811";"2,012,990.96";826
2025-11-20;8.14;8.16;8.235;8.325;8.14;8.175;8.2103;"279557";"2,295,566.77";664
2025-11-19;8.22;8.225;8.13;8.28;8.115;8.185;8.2003;"265127";"2,174,138.5";671
2025-11-18;8.14;8.155;8.19;8.19;8.07;8.16;8.1419;"362894";"2,954,665.62";993
2025-11-17;8.245;8.255;8.365;8.395;8.22;8.28;8.2852;"403678";"3,344,639.62";691
2025-11-14;8.385;8.395;8.47;8.47;8.30;8.385;8.3724;"303520";"2,541,188.69";829
2025-11-13;8.50;8.515;8.42;8.59;8.39;8.48;8.4916;"362326";"3,076,597.36";899
2025-11-12;8.375;8.39;8.435;8.49;8.35;8.385;8.3906;"264555";"2,219,871.06";756
2025-11-11;8.435;8.445;8.375;8.46;8.335;8.46;8.436;"317329";"2,676,899.17";578
2025-11-10;8.375;8.39;8.38;8.535;8.34;8.395;8.4274;"268639";"2,264,169.49";"1072"
2025-11-07;8.37;8.38;8.27;8.425;8.27;8.32;8.3453;"301639";"2,517,349.41";762
2025-11-06;8.275;8.29;8.29;8.35;8.26;8.27;8.2847;"312314";"2,587,435.06";832
2025-11-05;8.28;8.29;8.395;8.395;8.19;8.355;8.321;"749408";"6,235,067.78";"1315"
2025-11-04;8.425;8.44;8.625;8.625;8.42;8.42;8.464;"619138";"5,241,569.34";"1335"
2025-11-03;8.65;8.665;8.725;8.86;8.65;8.655;8.703;"435131";"3,787,087.23";"1261"
2025-10-31;8.76;8.77;8.815;8.995;8.735;8.745;8.8575;"673563";"5,974,515.56";"1775"
2025-10-30;8.785;8.80;8.935;9.00;8.62;8.815;8.7743;"716784";"6,287,848.64";"1724"
2025-10-29;8.915;8.925;9.07;9.14;8.80;8.955;8.98;"1362014";"12,231,977.71";"3119"
2025-10-28;9.08;9.09;8.15;9.09;7.795;9.07;8.7061;"3412040";"29,685,530.67";"6333"
2025-10-27;8.175;8.18;8.485;8.56;8.15;8.15;8.2836;"895496";"7,421,736.12";"2058"
2025-10-24;8.495;8.505;8.46;8.515;8.405;8.485;8.4723;"568091";"4,812,803.73";"1342"
2025-10-23;8.43;8.435;8.11;8.46;8.10;8.46;8.3895;"909883";"7,630,787.7";"2158"
2025-10-22;8.11;8.12;8.08;8.15;8.00;8.14;8.104;"630201";"5,107,065.95";"1193"
2025-10-21;8.07;8.08;7.92;8.09;7.92;8.09;8.0467;"477658";"3,843,421.46";922
2025-10-20;7.935;7.95;8.00;8.025;7.905;7.92;7.9566;"374007";"2,975,785.32";880
2025-10-17;7.89;7.90;7.60;7.93;7.60;7.895;7.8425;"729770";"5,721,319.09";"1685"
2025-10-16;7.66;7.675;7.455;7.73;7.455;7.60;7.6081;"461064";"3,507,988.17";980
2025-10-15;7.465;7.48;7.455;7.49;7.38;7.455;7.4376;"330339";"2,457,033.23";963
2025-10-14;7.445;7.455;7.63;7.63;7.40;7.425;7.4657;"622385";"4,646,489.8";"1608"
2025-10-13;7.655;7.665;7.665;7.79;7.625;7.65;7.6873;"245645";"1,888,566.97";809
2025-10-10;7.67;7.675;7.75;7.81;7.665;7.665;7.7165;"320734";"2,475,221.6";860
2025-10-09;7.79;7.80;7.88;7.88;7.75;7.75;7.7828;"446803";"3,480,077.32";934
2025-10-08;7.88;7.89;7.91;7.93;7.86;7.89;7.8876;"186849";"1,473,934.98";690
2025-10-07;7.90;7.91;7.905;7.97;7.86;7.91;7.9096;"252949";"2,000,720.05";864
2025-10-06;7.89;7.895;8.10;8.115;7.83;7.905;7.9436;"418605";"3,324,889.97";"1099"
2025-10-03;8.07;8.08;7.90;8.15;7.90;8.05;8.0507;"475290";"3,826,459.63";"1208"
2025-10-02;7.84;7.85;7.825;7.90;7.805;7.86;7.8519;"277515";"2,178,899.77";728
2025-10-01;7.815;7.825;7.72;7.87;7.70;7.785;7.7921;"477817";"3,721,857.86";"1152"
2025-09-30;7.69;7.70;7.70;7.75;7.56;7.695;7.6664;"488438";"3,746,790.11";"1220"
2025-09-29;7.67;7.685;7.875;7.90;7.635;7.70;7.7106;"459951";"3,546,751.18";"1185"
2025-09-26;7.825;7.84;7.92;7.95;7.80;7.83;7.8401;"377623";"2,960,439.69";818
2025-09-25;7.92;7.935;8.01;8.09;7.92;7.92;7.9593;"292254";"2,326,427.42";874
2025-09-24;7.995;8.005;8.035;8.045;7.835;8.015;7.9712;"313455";"2,497,630.47";808
2025-09-23;8.045;8.05;8.015;8.13;8.015;8.035;8.0534;"258613";"2,082,874.37";737
2025-09-22;8.035;8.045;8.00;8.07;7.925;8.015;8.0087;"184130";"1,474,612.48";666
2025-09-19;7.96;7.965;8.03;8.12;7.965;8.00;8.0098;"527546";"4,225,578.92";986
2025-09-18;8.045;8.06;8.13;8.16;8.02;8.055;8.0662;"346985";"2,799,104.79";739
2025-09-17;8.13;8.14;8.02;8.18;8.02;8.13;8.1291;"458860";"3,729,656.67";920
2025-09-16;8.005;8.015;8.12;8.13;7.965;8.01;8.0219;"401685";"3,222,364.14";950
2025-09-15;8.13;8.14;8.185;8.29;8.12;8.12;8.1814;"697797";"5,709,144.31";"1365"
