sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;24.64;24.66;24.71;25.08;24.59;24.72;24.7663;"989599";"24,507,258.21";"2825"
2026-01-12;24.55;24.57;24.72;24.75;24.35;24.63;24.5632;"692615";"17,012,519.91";"2286"
2026-01-09;24.60;24.61;24.55;24.72;24.42;24.65;24.628;"905184";"22,292,347.7";"2260"
2026-01-08;24.44;24.45;24.85;24.85;23.88;24.41;24.2613;"1055664";"25,609,930.31";"3856"
2026-01-07;24.88;24.90;24.88;25.59;24.77;24.85;24.9711;"1184171";"29,571,617.08";"3526"
2026-01-05;24.78;24.81;25.32;25.39;24.56;24.83;24.8337;"763045";"18,949,207.13";"2519"
2026-01-02;25.16;25.18;24.90;25.30;24.87;25.14;25.1316;"738632";"18,563,450.76";"2112"
2025-12-30;24.89;24.91;24.67;24.93;24.67;24.79;24.8085;"745201";"18,487,297.25";"2053"
2025-12-29;24.68;24.70;24.10;24.76;24.10;24.67;24.6155;"840637";"20,692,755.98";"2856"
2025-12-23;24.11;24.13;24.05;24.27;23.95;24.06;24.0798;"641434";"15,445,604.16";"1572"
2025-12-22;23.97;23.99;24.05;24.07;23.87;24.05;24.0156;"681382";"16,362,764.44";"2113"
2025-12-19;23.98;24.00;24.15;24.32;23.90;24.05;24.0592;"3412906";"82,119,782.54";"4476"
2025-12-18;24.04;24.07;23.85;24.15;23.77;24.15;24.1016;"1648217";"39,721,214.65";"2359"
2025-12-17;23.89;23.91;23.74;23.93;23.55;23.87;23.8384;"983272";"23,439,520.22";"2445"
2025-12-16;23.85;23.87;23.81;24.01;23.63;23.81;23.8308;"1487330";"35,444,399.09";"3241"
2025-12-15;23.59;23.61;23.76;24.02;23.59;23.62;23.7059;"890436";"21,108,842.36";"2287"
2025-12-12;23.75;23.77;23.80;23.96;23.60;23.78;23.7753;"1351981";"32,147,076.38";"3022"
2025-12-11;23.81;23.84;24.00;24.25;23.70;23.70;23.8772;"1519921";"36,294,038.29";"3753"
2025-12-10;23.88;23.90;23.91;23.98;23.49;23.98;23.8326;"972873";"23,190,360.68";"2877"
2025-12-09;23.91;23.93;24.13;24.19;23.80;23.92;23.9247;"1321473";"31,615,662.47";"2242"
2025-12-08;24.13;24.15;24.12;24.23;23.92;24.18;24.1391;"865408";"20,890,061.03";"2200"
