sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;44.80;45.70;45.70;46.10;44.55;44.80;45.7062;"96742";"4,421,694.8";544
2026-01-12;45.55;45.65;45.05;45.85;44.90;45.65;45.4904;"18043";"820,947.27";498
2026-01-09;44.90;45.15;44.45;45.10;44.15;45.05;44.7203;"6623";"296,176.75";216
2026-01-08;44.20;44.30;44.70;44.80;44.10;44.35;44.3613;"8076";"358,253.71";284
2026-01-07;44.35;44.55;44.05;44.80;43.65;44.40;44.1683;"17512";"772,990.33";473
2026-01-05;43.70;43.85;43.60;44.10;43.20;44.00;43.7915;"8141";"356,498.51";340
2026-01-02;43.40;43.50;44.10;44.40;43.35;43.50;43.7961;"15022";"657,998.33";497
2025-12-30;44.05;44.15;44.00;44.40;43.85;44.05;44.0771;"9679";"426,639.71";330
2025-12-29;43.95;44.05;43.75;44.20;43.70;44.00;43.9231;"8481";"372,507.68";364
2025-12-23;43.75;44.05;44.00;44.05;43.55;43.75;43.8261;"6590";"288,801.17";261
2025-12-22;43.95;44.40;43.65;44.10;43.40;43.95;43.7872;"9363";"409,980.21";373
2025-12-19;43.35;43.50;43.35;43.55;43.00;43.40;43.3865;"42280";"1,834,372.4";383
2025-12-18;43.00;43.35;42.65;43.50;42.50;43.35;43.097;"6250";"269,245.71";230
2025-12-17;42.65;42.80;42.85;43.00;42.20;42.70;42.5329;"11248";"478,375.53";545
2025-12-16;42.85;43.00;42.50;43.00;42.50;42.85;42.781;"11119";"475,705.43";376
2025-12-15;42.75;42.90;43.20;43.40;42.60;42.80;42.9867;"11923";"512,526.85";333
2025-12-12;43.05;43.25;43.05;43.60;43.00;43.20;43.2932;"64554";"2,794,690.85";270
2025-12-11;42.90;43.00;43.10;43.55;42.60;42.80;42.9298;"9985";"428,662.27";277
2025-12-10;43.05;43.20;43.45;43.70;42.95;43.05;43.249;"10319";"446,342.73";283
2025-12-09;43.30;43.45;43.05;43.75;42.95;43.40;43.3728;"13457";"583,503.92";332
2025-12-08;42.85;43.05;43.15;43.50;42.90;42.95;43.1578;"14608";"630,448.06";366
2025-12-05;43.10;43.20;43.20;43.40;42.80;43.15;43.1065;"8529";"367,711.93";217
2025-12-04;43.10;43.25;42.40;43.35;42.40;43.15;43.068;"9662";"416,124.5";257
2025-12-03;42.40;42.50;43.00;43.20;42.40;42.40;42.6109;"12290";"523,979.64";333
2025-12-02;42.75;42.90;43.00;43.35;42.50;42.95;43.07;"33442";"1,440,295.26";337
2025-12-01;43.05;43.20;43.45;43.45;42.60;43.15;43.0871;"13820";"595,379.11";270
2025-11-28;43.50;43.70;43.05;43.65;42.90;43.45;43.3405;"16608";"719,660.56";398
2025-11-27;43.00;43.10;43.30;43.55;42.75;43.05;43.1464;"8494";"366,466.12";277
2025-11-26;43.05;43.25;42.75;43.40;42.30;43.20;42.97;"7929";"340,705.94";292
2025-11-25;42.60;42.70;42.70;43.05;42.35;42.60;42.6939;"13039";"556,979.58";425
2025-11-24;42.60;42.95;42.10;43.20;42.10;42.70;42.8004;"13511";"578,374.71";337
2025-11-21;41.90;42.10;41.60;42.20;41.60;42.00;41.9428;"17580";"737,093.77";335
2025-11-20;42.30;42.50;41.70;42.80;41.70;42.10;42.3782;"21584";"915,669.5";435
2025-11-19;41.35;41.55;41.00;42.00;41.00;41.35;41.3953;"14377";"595,272.83";337
2025-11-18;40.90;41.20;41.25;41.40;40.90;41.00;41.063;"8499";"348,979.92";247
2025-11-17;41.40;41.60;42.00;42.15;41.30;41.45;41.6052;"17389";"723,545.78";377
2025-11-14;41.85;41.95;41.50;42.00;41.05;42.00;41.6849;"17506";"729,087.88";335
2025-11-13;41.60;41.70;42.00;42.15;41.60;41.65;41.8389;"9821";"410,915.06";291
2025-11-12;41.85;42.00;41.95;42.15;41.70;41.95;41.96;"11501";"482,688.73";272
2025-11-11;41.85;41.95;41.85;42.15;41.60;41.95;41.8651;"9226";"386,263.43";292
2025-11-10;41.65;41.80;41.55;42.10;41.55;41.85;41.7856;"11556";"482,855.09";293
2025-11-07;41.25;41.45;41.70;41.85;40.85;41.35;41.2261;"15749";"649,311.13";385
2025-11-06;41.75;42.00;41.40;42.45;41.35;41.70;41.836;"9355";"391,383.78";314
2025-11-05;41.35;41.55;41.90;42.05;41.25;41.30;41.4005;"33375";"1,382,056.14";484
2025-11-04;41.85;42.00;42.60;42.60;41.65;41.90;41.9535;"22075";"926,168.69";514
2025-11-03;42.55;42.65;42.75;43.05;42.35;42.65;42.6845;"16050";"685,540.4";435
2025-10-31;42.80;42.90;43.05;43.05;42.70;42.90;42.8576;"24371";"1,044,452.2";341
2025-10-30;42.95;43.05;43.60;43.70;42.80;43.00;43.1929;"27542";"1,189,264.63";549
2025-10-29;43.55;43.75;44.05;44.25;43.55;43.55;43.7553;"21338";"933,714.23";463
2025-10-28;43.85;44.00;43.10;44.30;43.10;44.00;43.8648;"29354";"1,287,705.55";876
2025-10-27;43.10;43.20;45.00;45.10;43.00;43.00;43.6734;"123630";"5,399,990.39";798
2025-10-24;44.80;44.95;46.45;47.15;44.45;44.95;45.1822;"23286";"1,052,193.01";691
2025-10-23;46.05;46.20;45.65;47.00;43.50;46.45;45.885;"22640";"1,039,583.29";581
2025-10-22;45.75;46.00;46.25;46.25;45.45;45.70;45.7505;"6420";"293,733.84";235
2025-10-21;46.30;46.55;45.75;46.55;45.60;46.30;45.9149;"50006";"2,296,021.25";181
2025-10-20;45.60;46.45;45.35;45.80;45.05;45.80;45.4568;"7888";"358,533.91";280
2025-10-17;45.30;45.65;45.55;45.65;44.45;45.40;45.2517;"9323";"421,843.49";273
2025-10-16;45.40;46.85;46.15;46.50;45.20;45.55;45.6096;"15894";"724,934.45";382
2025-10-15;46.05;46.95;45.40;46.10;45.25;46.00;45.7809;"17862";"817,375.4";328
2025-10-14;44.45;45.05;44.70;45.05;44.35;45.05;44.7635;"13901";"622,243.21";394
2025-10-13;44.50;44.70;44.70;44.95;44.20;44.70;44.5822;"9400";"419,064.33";245
2025-10-10;44.80;45.00;45.10;45.80;44.70;44.70;45.1776;"11975";"540,992.72";362
2025-10-09;45.00;45.10;45.30;45.40;44.85;45.05;45.1264;"6693";"302,038.35";260
2025-10-08;45.15;45.35;45.10;45.60;44.70;45.25;45.253;"9548";"432,112.71";351
2025-10-07;45.05;45.15;45.45;45.45;44.65;45.15;45.1031;"7109";"320,611.51";253
2025-10-06;45.25;45.35;44.30;45.45;44.30;45.40;45.11;"18590";"838,825.83";354
2025-10-03;44.35;44.45;44.95;45.15;44.25;44.25;44.3781;"22180";"984,536.53";507
2025-10-02;44.70;44.85;44.70;45.45;44.40;44.85;44.8846;"15222";"683,233.02";520
2025-10-01;44.55;44.65;44.55;44.90;44.25;44.40;44.4752;"10702";"476,010.33";429
2025-09-30;44.35;44.55;45.70;45.70;44.30;44.50;44.6761;"16816";"751,327.02";573
2025-09-29;45.50;45.65;44.20;45.60;44.15;45.45;45.3366;"25273";"1,145,989.85";646
2025-09-26;43.95;44.00;44.50;44.80;43.80;43.80;44.0716;"16123";"710,602.66";467
2025-09-25;44.25;44.50;44.00;44.75;44.00;44.40;44.3749;"16458";"730,408.07";383
2025-09-24;44.45;44.65;44.70;44.70;44.05;44.35;44.3826;"9876";"438,341.62";323
2025-09-23;44.70;45.00;44.00;45.00;43.80;44.70;44.2367;"19627";"868,162.13";348
2025-09-22;44.10;44.35;44.25;44.70;43.90;44.15;44.3027;"13199";"584,793.62";305
2025-09-19;44.20;44.40;45.65;45.65;44.15;44.30;44.4765;"10610";"471,957.92";384
2025-09-18;45.30;45.50;44.70;45.50;44.70;45.30;45.2649;"5442";"246,382.78";282
2025-09-17;44.80;44.90;45.05;45.10;44.50;44.75;44.7349;"5806";"259,718.28";246
2025-09-16;45.10;45.20;45.10;45.70;45.00;45.10;45.2212;"6458";"292,027.16";241
2025-09-15;44.95;45.20;46.00;46.00;44.95;45.10;45.2356;"6573";"297,343.47";270
2025-09-12;45.40;45.55;44.80;46.00;44.70;45.55;45.4167;"16752";"760,837.85";424
2025-09-11;44.70;44.80;45.70;45.70;44.65;44.80;45.0764;"12352";"556,843.86";530
2025-09-10;45.60;45.65;45.55;46.25;45.45;45.75;45.7877;"5646";"258,507.4";244
2025-09-09;45.15;45.30;45.55;45.95;45.15;45.35;45.5447;"8777";"399,733.28";325
2025-09-08;45.55;45.75;44.85;45.80;44.60;45.65;45.3772;"10834";"491,610.98";365
2025-09-05;44.70;44.80;44.45;45.10;44.40;44.80;44.7551;"22384";"1,001,847.75";271
2025-09-04;44.35;44.50;44.55;44.85;44.25;44.45;44.4703;"10620";"472,415.34";303
2025-09-03;44.35;44.45;44.40;46.00;44.30;44.50;44.7183;"23380";"1,045,586.94";787
2025-09-02;44.35;44.45;45.45;45.80;44.10;44.45;44.6316;"34559";"1,542,295.58";"1024"
2025-09-01;45.35;45.75;45.80;46.10;45.30;45.45;45.7952;"25954";"1,188,390.79";407
2025-08-29;45.85;46.05;46.25;46.55;45.85;45.90;46.0807;"17062";"786,497.38";507
2025-08-28;46.05;46.30;46.45;46.75;46.05;46.05;46.3392;"14951";"692,900.66";426
2025-08-27;46.50;46.65;46.95;47.00;46.40;46.45;46.5912;"11070";"515,777.05";352
2025-08-26;46.65;46.75;46.70;47.60;46.50;46.90;46.9954;"11814";"555,761.25";349
2025-08-25;46.75;46.85;48.45;48.45;46.55;46.70;47.6208;"27073";"1,289,208.28";404
2025-08-22;48.20;48.30;47.40;48.40;47.00;48.40;47.9901;"8491";"407,458.65";277
2025-08-21;47.25;47.35;47.10;47.50;46.85;47.35;47.2404;"7551";"356,713.45";325
2025-08-20;46.95;47.15;47.15;47.30;46.80;47.10;47.0062;"58914";"2,769,322.65";253
2025-08-19;47.00;47.30;47.00;47.50;46.90;47.25;47.2181;"5733";"270,702.18";231
2025-08-18;46.70;46.85;47.50;47.50;46.65;46.85;46.8771;"12875";"603,546.55";307
2025-08-15;47.00;47.15;47.00;47.45;46.90;47.15;47.161;"5626";"265,332.95";205
2025-08-14;47.00;47.10;47.70;47.70;47.00;47.00;47.1549;"6917";"326,191.35";174
2025-08-13;47.20;47.40;47.30;47.55;47.10;47.25;47.2981;"6829";"323,026.38";234
2025-08-12;47.15;47.30;46.95;47.45;46.70;47.30;47.1198;"6564";"309,294.15";211
2025-08-11;46.80;46.95;47.25;47.25;46.60;46.75;46.8644;"6977";"326,981.13";200
2025-08-08;46.75;47.10;46.95;47.40;46.60;47.15;47.0081;"9231";"433,923.03";333
2025-08-07;46.85;47.10;46.40;47.15;46.35;46.95;46.8666;"10426";"488,652.23";354
2025-08-06;46.50;46.65;47.85;47.85;46.40;46.40;46.8464;"14620";"685,143.11";376
2025-08-05;47.10;47.40;47.20;47.65;47.05;47.10;47.2327;"7240";"342,012.08";201
2025-08-04;46.85;47.20;47.45;48.10;46.90;46.95;47.1423;"10616";"500,482.88";363
2025-08-01;47.50;47.80;47.35;47.95;46.75;47.45;47.5272;"60432";"2,872,293.81";716
2025-07-31;47.45;47.65;48.05;48.60;47.35;47.35;48.1619;"41656";"2,006,292.67";358
2025-07-30;48.10;48.20;46.95;48.25;46.95;48.05;47.844;"36713";"1,756,718.66";417
2025-07-29;47.35;47.45;47.50;47.60;45.10;45.10;47.1534;"38788";"1,829,038.23";383
2025-07-28;47.25;47.30;48.00;48.50;46.80;47.50;47.6591;"124577";"5,936,596.83";"1270"
2025-07-25;46.85;47.15;47.00;48.45;45.90;47.00;46.9641;"66357";"3,117,267.24";"1520"
2025-07-24;49.55;49.85;49.05;50.10;48.15;49.75;49.2947;"21558";"1,062,546.84";635
2025-07-23;48.65;49.00;49.60;49.65;48.55;48.70;48.9425;"17515";"857,492.87";607
2025-07-22;49.15;49.65;51.40;51.40;49.15;49.25;49.8251;"16018";"798,106.76";465
2025-07-21;50.20;50.50;51.60;51.70;49.15;50.40;50.6767;"28297";"1,436,383.85";636
2025-07-18;51.50;51.70;52.10;52.20;51.30;51.60;51.6506;"8242";"425,482.4";242
2025-07-17;51.80;52.10;51.90;52.10;51.50;52.00;51.9156;"7909";"410,338.05";243
2025-07-16;51.20;51.70;51.20;51.70;51.20;51.20;51.3227;"6461";"331,594.8";274
2025-07-15;51.00;51.40;50.90;52.00;50.90;51.20;51.3661;"8656";"444,626.6";256
2025-07-14;50.60;50.90;50.10;51.20;50.00;50.90;50.8222;"11341";"576,012.28";262
2025-07-11;50.40;50.60;51.50;51.90;50.50;50.80;50.9558;"10684";"544,457.75";275
2025-07-10;51.40;51.60;51.90;52.10;51.40;51.50;51.6181;"5562";"287,275.55";139
2025-07-09;51.40;51.90;51.30;52.60;51.00;51.50;51.8004;"10463";"541,842";222
2025-07-08;51.20;51.50;50.50;51.50;50.50;51.30;51.0642;"6209";"316,876.2";242
2025-07-07;50.30;50.60;51.00;51.40;50.20;50.50;50.7452;"6593";"334,561.25";208
2025-07-04;50.80;51.20;50.30;51.40;49.90;51.00;50.9033;"9411";"478,969.3";306
2025-07-03;50.20;50.60;50.00;50.90;50.00;50.40;50.4356;"9563";"482,314.2";243
2025-07-02;49.30;49.70;49.70;49.85;48.95;49.65;49.4273;"8579";"423,992.35";292
