sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;29.12;29.14;29.33;29.45;29.02;29.12;29.1417;"160377";"4,673,698.51";815
2026-01-12;29.37;29.39;29.36;29.50;29.07;29.33;29.3131;"106752";"3,129,338.6";999
2026-01-09;29.24;29.26;28.92;29.36;28.83;29.36;29.2505;"169937";"4,970,585.59";"1069"
2026-01-08;28.97;29.00;29.32;29.36;28.91;28.92;29.0477;"187187";"5,440,923.17";"1398"
2026-01-07;29.36;29.37;28.52;29.54;28.52;29.30;29.2096;"412944";"12,061,443.28";"2533"
2026-01-05;28.20;28.22;28.40;28.50;27.72;28.36;28.2396;"316237";"8,929,434.19";"1547"
2026-01-02;28.22;28.28;28.30;28.43;27.95;28.28;28.2155;"236685";"6,678,532.63";"1633"
2025-12-30;28.40;28.43;28.00;28.45;28.00;28.33;28.318;"291150";"8,245,653.5";"1551"
2025-12-29;27.80;27.83;27.54;27.95;27.54;27.91;27.828;"242777";"6,755,133.44";"1336"
2025-12-23;27.55;27.56;27.40;27.65;27.26;27.54;27.4825;"152305";"4,185,429.61";"1143"
2025-12-22;27.32;27.35;26.80;27.39;26.80;27.31;27.2459;"259272";"7,063,455.43";"1821"
2025-12-19;26.71;26.73;26.80;26.87;26.62;26.80;26.7873;"420523";"11,264,457.47";"1526"
2025-12-18;26.85;26.87;26.52;26.89;26.50;26.80;26.7705;"368936";"9,876,592.22";"1090"
2025-12-17;26.59;26.61;26.35;26.89;26.33;26.48;26.5256;"709073";"18,810,388.54";"1732"
2025-12-16;26.27;26.29;26.12;26.38;26.08;26.38;26.3278;"416909";"10,975,466.24";"1745"
2025-12-15;26.09;26.11;26.55;26.60;26.04;26.18;26.2093;"437385";"11,465,297.88";"1858"
2025-12-12;26.63;26.67;27.06;27.09;26.55;26.55;26.6639;"428540";"11,426,934.43";"1588"
2025-12-11;27.09;27.15;26.46;27.15;26.24;27.00;26.8107;"475888";"12,750,038.99";"2380"
2025-12-10;26.46;26.50;27.52;27.54;26.26;26.46;26.6214;"1249412";"33,234,593.36";"5584"
2025-12-09;28.36;28.37;28.66;28.70;28.20;28.35;28.3768;"171393";"4,863,661.09";"1047"
2025-12-08;28.61;28.64;28.82;28.82;28.51;28.64;28.6765;"278823";"7,995,460.56";"1074"
2025-12-05;28.78;28.82;28.90;28.92;28.60;28.86;28.8201;"166715";"4,804,330.36";979
2025-12-04;28.79;28.80;28.30;28.95;28.24;28.87;28.5584;"365590";"10,442,364.31";"1891"
