sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-01-13;32.40;32.43;32.55;32.80;31.81;32.38;32.3322;"614948";"19,882,362.92";"3184"
2026-01-12;32.33;32.37;32.22;32.56;32.20;32.42;32.4164;"620140";"20,102,804.45";"2364"
2026-01-09;32.18;32.20;31.90;32.23;31.74;32.23;32.0961;"556354";"17,855,585.5";"2799"
2026-01-08;31.61;31.64;32.00;32.00;31.49;31.79;31.8018;"580042";"18,446,201.87";"2778"
2026-01-07;32.13;32.15;31.33;32.29;31.23;32.03;31.8953;"1005135";"32,070,364.16";"3319"
2026-01-05;31.40;31.42;31.20;31.46;31.00;31.39;31.2715;"504654";"15,781,342.27";"2257"
2026-01-02;30.89;30.92;30.42;31.08;30.36;31.08;30.9779;"610138";"18,900,507.5";"2272"
2025-12-30;30.42;30.44;30.14;30.47;30.12;30.40;30.3801;"487231";"14,802,028.98";"1771"
2025-12-29;30.20;30.23;30.40;30.40;30.01;30.14;30.1562;"351591";"10,602,641.23";"1671"
2025-12-23;30.40;30.42;30.21;30.43;30.07;30.42;30.3069;"293897";"8,907,102.02";"1511"
2025-12-22;30.11;30.13;30.00;30.35;29.89;30.21;30.1833;"392564";"11,848,548.67";"1976"
2025-12-19;29.89;29.93;29.76;30.00;29.59;30.00;29.9638;"1504159";"45,068,119.34";"3485"
2025-12-18;29.62;29.64;28.86;29.72;28.80;29.55;29.4452;"1015505";"29,899,892.87";"2976"
2025-12-17;29.28;29.30;30.14;30.17;29.24;29.29;29.474;"911539";"26,875,858.66";"2720"
2025-12-16;30.06;30.09;30.20;30.20;29.88;30.08;30.0638;"706755";"21,247,634.25";"2639"
2025-12-15;30.36;30.39;30.40;30.49;29.89;30.49;30.3607;"698128";"21,191,300.67";"3173"
2025-12-12;30.21;30.25;30.73;31.03;30.20;30.40;30.481;"766125";"23,353,590.79";"2523"
2025-12-11;30.70;30.73;31.28;31.28;30.56;30.58;30.6809;"830974";"25,503,371.76";"3156"
2025-12-10;31.24;31.27;30.39;31.34;30.30;31.34;31.2053;"1210219";"37,764,341.1";"3640"
2025-12-09;30.34;30.37;30.34;30.48;29.85;30.39;30.2995;"864314";"26,185,323.74";"2212"
2025-12-08;30.26;30.30;29.82;30.43;29.82;30.34;30.2586;"1235878";"37,417,834.95";"2422"
2025-12-05;29.80;29.82;30.27;30.65;29.46;29.70;29.8009;"1323337";"39,432,265.88";"4347"
2025-12-04;29.54;29.58;28.50;29.59;28.50;29.51;29.2915;"1050493";"30,767,481.3";"3331"
2025-12-03;28.25;28.28;27.88;28.38;27.75;28.30;28.2399;"738609";"20,855,768.71";"2030"
2025-12-02;27.70;27.74;27.72;28.03;27.44;27.80;27.7588;"791474";"21,971,164.51";"2372"
2025-12-01;27.69;27.71;27.68;27.87;27.48;27.72;27.7074;"530943";"14,710,996.23";"1484"
2025-11-28;27.80;27.81;27.60;27.97;27.55;27.91;27.8576;"785265";"21,875,547.99";"1723"
2025-11-27;27.63;27.65;27.42;27.71;27.25;27.70;27.5956;"346140";"9,551,532.86";"1564"
2025-11-26;27.46;27.47;26.97;27.47;26.85;27.43;27.355;"482542";"13,199,769.64";"1813"
2025-11-25;26.72;26.75;26.99;27.10;26.43;26.83;26.8127;"479700";"12,860,936.09";"2107"
2025-11-24;26.96;26.99;26.74;27.12;26.72;26.94;26.9357;"1730739";"46,619,021.85";"3162"
2025-11-21;26.53;26.56;27.48;27.67;26.13;26.54;26.6817;"1367591";"36,495,882.88";"5671"
2025-11-20;28.20;28.23;27.50;28.88;27.50;28.24;28.2689;"1790303";"50,627,236.14";"6129"
2025-11-19;26.13;26.15;25.62;26.39;25.59;26.06;26.0691;"500620";"13,052,151.97";"1837"
2025-11-18;25.75;25.78;26.00;26.16;25.59;25.62;25.6855;"736873";"18,929,962.78";"1892"
2025-11-17;26.46;26.51;26.50;26.69;26.31;26.55;26.5289;"563976";"14,961,320.65";"2067"
2025-11-14;26.41;26.46;26.26;26.52;25.95;26.52;26.3969;"516310";"13,626,827.64";"2167"
2025-11-13;26.34;26.36;26.88;27.14;26.33;26.35;26.4607;"622899";"16,489,596.28";"2099"
2025-11-12;26.60;26.61;27.25;27.30;26.49;26.73;26.7526;"862839";"23,091,961.77";"2460"
2025-11-11;27.07;27.09;26.97;27.23;26.86;27.20;27.1564;"708234";"19,230,949.38";"1509"
2025-11-10;26.97;27.00;26.69;27.08;26.69;26.97;26.9376;"336902";"9,074,983.66";"1380"
2025-11-07;26.45;26.47;26.99;27.13;26.27;26.42;26.4856;"559222";"14,813,173.56";"2138"
2025-11-06;26.94;26.95;26.81;27.21;26.57;27.01;26.9826;"857363";"23,132,992.46";"2504"
2025-11-05;26.72;26.76;27.06;27.26;26.68;26.82;26.8589;"1017747";"27,337,498.11";"3447"
2025-11-04;27.67;27.70;28.21;28.21;27.35;27.65;27.6672;"596529";"16,504,299.06";"2105"
2025-11-03;28.48;28.50;28.28;28.62;28.11;28.57;28.5217;"578844";"16,505,803.91";"1728"
2025-10-31;28.36;28.38;28.19;28.60;28.12;28.37;28.3708;"950231";"26,959,483.62";"2337"
2025-10-30;28.05;28.06;28.25;28.25;27.71;28.00;27.9574;"892632";"24,956,063.29";"2836"
2025-10-29;28.28;28.31;27.45;28.57;27.19;28.31;28.2108;"999305";"28,188,279.05";"2950"
2025-10-28;27.45;27.55;25.38;28.00;25.00;27.47;26.9419;"2268864";"61,112,785.58";"7161"
2025-10-27;27.62;27.65;27.33;27.90;27.22;27.55;27.5423;"879912";"24,228,190.35";"2613"
2025-10-24;26.95;26.98;26.70;26.99;26.31;26.91;26.8031;"668333";"17,912,945.68";"2498"
2025-10-23;26.44;26.46;25.80;26.55;25.80;26.55;26.4513;"756418";"19,995,175.98";"2209"
2025-10-22;25.59;25.62;25.58;25.97;25.51;25.60;25.6576;"777156";"19,941,724.14";"2064"
2025-10-21;25.64;25.65;25.55;25.72;25.37;25.65;25.619;"898850";"23,025,409.25";"2939"
2025-10-20;25.58;25.61;25.23;25.67;25.15;25.54;25.4892;"757124";"19,297,429.35";"2888"
2025-10-17;25.12;25.16;26.22;26.25;24.84;25.12;25.3405;"1105744";"28,028,180.55";"3117"
2025-10-16;26.33;26.35;26.09;26.49;25.85;26.49;26.3742;"733662";"19,341,636.2";"1760"
2025-10-15;26.23;26.26;26.37;26.44;25.93;26.18;26.1786;"903397";"23,648,153.11";"1978"
2025-10-14;26.09;26.11;26.24;26.24;25.72;26.12;26.076;"925317";"24,126,506.94";"2220"
2025-10-13;26.26;26.29;26.25;26.50;25.88;26.34;26.2672;"805567";"21,154,967.82";"2755"
2025-10-10;26.15;26.18;25.48;26.58;25.43;26.26;26.1952;"1287095";"33,714,296.61";"5366"
2025-10-09;25.32;25.33;24.76;25.38;24.71;25.34;25.2739;"932235";"23,551,416.57";"3160"
2025-10-08;24.76;24.78;24.81;25.07;24.46;24.66;24.6874;"775454";"19,145,293.22";"2241"
2025-10-07;24.76;24.77;24.45;24.90;24.36;24.75;24.7276;"541637";"13,391,997.41";"1729"
2025-10-06;24.44;24.47;24.76;24.88;24.43;24.45;24.5282;"898239";"22,036,382.71";"3087"
2025-10-03;25.03;25.05;25.16;25.31;24.95;24.99;25.0128;"489846";"12,252,782.51";"1572"
2025-10-02;25.11;25.13;25.00;25.29;24.90;25.15;25.1389;"761752";"19,149,955.98";"1663"
2025-10-01;24.98;24.99;25.44;25.46;24.67;24.88;24.8512;"754402";"18,748,375.57";"2596"
2025-09-30;25.31;25.34;25.31;25.45;24.36;25.45;25.3231;"984966";"24,928,699.27";"2746"
2025-09-29;25.35;25.37;25.32;25.47;25.23;25.31;25.3219;"450614";"11,410,687.65";"1558"
2025-09-26;25.35;25.37;25.17;25.50;25.14;25.26;25.2722;"557720";"14,094,887.36";"1400"
2025-09-25;25.27;25.30;25.30;25.57;25.13;25.17;25.2119;"691965";"17,446,113.46";"1978"
