NAME,CURRENCY,URL
Elisa Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/elisa?id=TX50014
Fiskars Oyj Abp,EUR,https://www.nasdaq.com/european-market-activity/shares/fskrs?id=TX50024
Fortum Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/fortum?id=TX50028
Hiab Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/hiab?id=TX94484
Huhtamäki Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/huh1v?id=TX50031
Kalmar Oyj B,EUR,https://www.nasdaq.com/european-market-activity/shares/kalmar?id=TX5394824
Kemira Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/kemira?id=TX50045
Kesko Oyj A,EUR,https://www.nasdaq.com/european-market-activity/shares/keskoa?id=TX50042
Kesko Oyj B,EUR,https://www.nasdaq.com/european-market-activity/shares/keskob?id=TX50043
Kojamo Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/kojamo?id=TX2733050
KONE Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/knebv?id=TX94482
Konecranes Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/kcr?id=TX50039
Mandatum,EUR,https://www.nasdaq.com/european-market-activity/shares/manta?id=TX5013556
Metso Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/metso?id=TX216776
Metsä Board Oyj A,EUR,https://www.nasdaq.com/european-market-activity/shares/metsa?id=TX50058
Metsä Board Oyj B,EUR,https://www.nasdaq.com/european-market-activity/shares/metsb?id=TX50059
Neste Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/neste?id=TX82046
Nokia Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/nokia?id=TX50063
Nokian Renkaat Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/tyres?id=TX50064
Nordea Bank Abp,EUR,https://www.nasdaq.com/european-market-activity/shares/nda-fi?id=TX50060
Orion Oyj A,EUR,https://www.nasdaq.com/european-market-activity/shares/ornav?id=TX195162
Orion Oyj B,EUR,https://www.nasdaq.com/european-market-activity/shares/ornbv?id=TX195164
Outokumpu Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/out1v?id=TX50072
Qt Group Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/qtcom?id=TX2049260
Sampo Oyj A,EUR,https://www.nasdaq.com/european-market-activity/shares/sampo?id=TX50094
Sanoma Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/sanoma?id=TX50113
SSAB A,EUR,https://www.nasdaq.com/european-market-activity/shares/ssabah?id=TX1601776
SSAB B,EUR,https://www.nasdaq.com/european-market-activity/shares/ssabbh?id=TX1601778
Stora Enso Oyj A,EUR,https://www.nasdaq.com/european-market-activity/shares/steav?id=TX50106
Stora Enso Oyj R,EUR,https://www.nasdaq.com/european-market-activity/shares/sterv?id=TX50107
Telia Company,EUR,https://www.nasdaq.com/european-market-activity/shares/telia1?id=TX50126
Terveystalo Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/ttalo?id=TX2497702
TietoEVRY Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/tieto?id=TX50122
UPM-Kymmene Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/upm?id=TX50131
Vaisala Oyj A,EUR,https://www.nasdaq.com/european-market-activity/shares/vaias?id=TX50133
Valmet Oyj,EUR,https://www.nasdaq.com/european-market-activity/shares/valmt?id=TX1484768
Wärtsilä Oyj Abp,EUR,https://www.nasdaq.com/european-market-activity/shares/wrt1v?id=TX50138
